population,size_class,size_min,size_max,n
-32_153,15,13.75,17.5,19
-32_153,40,37.5,45,5
-32_153,20,17.5,22.5,39
-32_153,25,22.5,27.5,23
-32_153,30,27.5,32.5,9
-34_151,12.5,11.25,13.75,515
-34_151,15,13.75,17.5,539
-34_151,10,8.75,11.25,352
-35_151,20,17.5,22.5,321
-35_151,25,22.5,27.5,277
-35_151,12.5,11.25,13.75,288
-35_151,15,13.75,17.5,288
-35_151,40,37.5,45,8
-35_151,50,45,56.25,4
-32_153,12.5,11.25,13.75,2
-35_151,30,27.5,32.5,107
-35_151,35,32.5,37.5,46
-35_151,7.5,6.25,8.75,32
-35_151,10,8.75,11.25,156
-34_151,7.5,6.25,8.75,295
-34_151,20,17.5,22.5,167
-34_151,5,3.75,6.25,50
-34_151,30,27.5,32.5,8
-34_151,25,22.5,27.5,19
-34_151,40,37.5,45,3
-34_151,2.5,1.25,3.75,1
-32_153,35,32.5,37.5,8
-32_153,62.5,56.25,68.75,1
-33_152,15,13.75,17.5,1258
-33_152,20,17.5,22.5,479
-33_152,10,8.75,11.25,677
-33_152,40,37.5,45,23
-33_152,25,22.5,27.5,178
-33_152,12.5,11.25,13.75,1402
-33_152,30,27.5,32.5,82
-33_152,7.5,6.25,8.75,367
-32_153,10,8.75,11.25,1
-33_152,5,3.75,6.25,62
-33_152,35,32.5,37.5,40
-33_152,50,45,56.25,10
-29_154,35,32.5,37.5,13
-29_154,40,37.5,45,34
-29_154,50,45,56.25,24
-29_154,62.5,56.25,68.75,7
-29_154,25,22.5,27.5,6
-29_154,30,27.5,32.5,14
-29_154,20,17.5,22.5,1
-29_154,15,13.75,17.5,8
-35_151,62.5,56.25,68.75,3
-35_151,5,3.75,6.25,14
-35_151,75,68.75,81.25,1
-33_152,62.5,56.25,68.75,3
-34_151,35,32.5,37.5,5
-32_153,50,45,56.25,3
-32_153,75,68.75,81.25,1
-33_152,75,68.75,81.25,1
