gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-36_150__2010,Acanthopagrus australis,30,3.857142857142857,5659.8667,12.057142857142857,0.3199052132701422
-32_153__2009,Acanthopagrus australis,15,3.5,1199.414,35.72420634920635,0.09797278533740628
-35_151__2008,Acanthopagrus australis,20,1.2,561.7914000000001,14.741666666666667,0.08140192198982475
-35_151__2008,Acanthopagrus australis,25,2.25,2575.4692,14.741666666666667,0.1526286037309214
-35_151__2008,Acanthopagrus australis,30,2.125,3563.6198999999997,14.741666666666667,0.14414923685698133
-35_151__2008,Acanthopagrus australis,35,1.5,1749.8137,14.741666666666667,0.10175240248728094
-35_151__2009,Acanthopagrus australis,25,2.2,3147.7957,10.519444444444444,0.20913651967256405
-35_151__2009,Acanthopagrus australis,30,1.625,2725.1211,10.519444444444444,0.15447583839450754
-35_151__2009,Acanthopagrus australis,35,3.25,3791.2630000000004,10.519444444444444,0.3089516767890151
-34_151__2009,Acanthopagrus australis,25,2.375,5437.1019,30.06776556776557,0.078988243893525
-34_151__2009,Acanthopagrus australis,15,2.6153846153846154,1456.4312,30.06776556776557,0.08698300542120972
-34_151__2009,Acanthopagrus australis,20,2.875,4307.0683,30.06776556776557,0.09561734787110922
-35_151__2009,Acanthopagrus australis,20,1.4444444444444444,1217.2147,10.519444444444444,0.13731185635067336
-30_153__2009,Acanthopagrus australis,20,10,2808.9574000000002,36.25,0.27586206896551724
-34_151__2010,Acanthopagrus australis,10,2.875,288.39160000000004,107.45063025210084,0.02675647405003275
-35_151__2010,Acanthopagrus australis,10,2.75,137.9264,30.355413105413106,0.09059339731105845
-35_151__2010,Acanthopagrus australis,12.5,2.8333333333333335,838.2452000000001,30.355413105413106,0.09333865177502992
-35_151__2010,Acanthopagrus australis,15,3.1666666666666665,4069.4407,30.355413105413106,0.10431966963091578
-34_151__2009,Acanthopagrus australis,30,5,6288.7408,30.06776556776557,0.16629103977584211
-35_151__2010,Acanthopagrus australis,30,4.666666666666667,14673.7286,30.355413105413106,0.15373424998240223
-35_151__2010,Acanthopagrus australis,35,7,10207.246500000001,30.355413105413106,0.2306013749736033
-35_151__2010,Acanthopagrus australis,20,4.592592592592593,11610.3577,30.355413105413106,0.15129402379220536
-34_151__2010,Acanthopagrus australis,15,24.647058823529413,17948.3775,107.45063025210084,0.22938030950309407
-34_151__2010,Acanthopagrus australis,25,6.3125,14451.2451,107.45063025210084,0.05874791041420234
-34_151__2010,Acanthopagrus australis,7.5,2.5,26.2217,107.45063025210084,0.02326649917394152
-34_151__2010,Acanthopagrus australis,40,50,18545.719,107.45063025210084,0.4653299834788304
-35_151__2008,Acanthopagrus australis,15,1.6666666666666667,214.18099999999998,14.741666666666667,0.11305822498586772
-30_153__2009,Acanthopagrus australis,25,4.75,2718.551,36.25,0.1310344827586207
-36_150__2008,Acanthopagrus australis,30,3,2515.4964,7.5,0.4
-36_150__2010,Acanthopagrus australis,35,3.2,4666.1699,12.057142857142857,0.26540284360189575
-34_151__2009,Acanthopagrus australis,12.5,1.5,517.7399,30.06776556776557,0.04988731193275263
-34_151__2009,Acanthopagrus australis,7.5,1.6666666666666667,26.2217,30.06776556776557,0.05543034659194737
-34_151__2009,Acanthopagrus australis,10,2.142857142857143,188.0814,30.06776556776557,0.0712675884753609
-34_151__2009,Acanthopagrus australis,35,5.142857142857143,10498.8819,30.06776556776557,0.17104221234086617
-34_151__2009,Acanthopagrus australis,40,3.75,5563.7155999999995,30.06776556776557,0.12471827983188158
-34_151__2010,Acanthopagrus australis,30,2.7142857142857144,3982.8691999999996,107.45063025210084,0.02526077053170794
-30_153__2009,Acanthopagrus australis,12.5,3,73.9628,36.25,0.08275862068965517
-30_153__2009,Acanthopagrus australis,15,8.5,728.2157,36.25,0.23448275862068965
-30_153__2009,Acanthopagrus australis,30,9,7546.488600000001,36.25,0.2482758620689655
-30_153__2009,Acanthopagrus australis,40,1,370.9144,36.25,0.027586206896551724
-34_151__2010,Acanthopagrus australis,20,10.6875,16011.0582,107.45063025210084,0.0994642839686
-36_150__2008,Acanthopagrus australis,25,1.5,429.24490000000003,7.5,0.2
-36_150__2008,Acanthopagrus australis,35,1,583.2712,7.5,0.13333333333333333
-34_151__2010,Acanthopagrus australis,12.5,4.714285714285714,1627.1813,107.45063025210084,0.04387396987086116
-33_151__2010,Acanthopagrus australis,10,10,125.3876,11,0.9090909090909091
-33_151__2010,Acanthopagrus australis,12.5,1,24.6543,11,0.09090909090909091
-32_153__2009,Acanthopagrus australis,20,4.777777777777778,4026.1727,35.72420634920635,0.1337406276034435
-32_153__2009,Acanthopagrus australis,25,4.375,5007.8573,35.72420634920635,0.12246598167175785
-33_152__2010,Acanthopagrus australis,10,16.666666666666668,1880.8144,87.89333333333333,0.189623786407767
-33_152__2010,Acanthopagrus australis,20,10.666666666666666,23969.7714,87.89333333333333,0.12135922330097088
-33_152__2009,Acanthopagrus australis,15,17.64516129032258,23431.4141,168.97587918354048,0.10442414252010798
-33_152__2009,Acanthopagrus australis,20,18.9375,56740.9427,168.97587918354048,0.11207220871702175
-34_151__2009,Acanthopagrus australis,50,1,1470.692,30.06776556776557,0.03325820795516842
-30_153__2008,Acanthopagrus australis,25,6,858.4898,20,0.3
-30_153__2008,Acanthopagrus australis,30,8,1676.9976,20,0.4
-30_153__2008,Acanthopagrus australis,35,6,1749.8137,20,0.3
-32_153__2009,Acanthopagrus australis,30,3.5714285714285716,5240.6173,35.72420634920635,0.09997222993612886
-33_152__2010,Acanthopagrus australis,12.5,20.56,12672.2902,87.89333333333333,0.23391990291262135
-33_152__2009,Acanthopagrus australis,25,28.77777777777778,74116.2885,168.97587918354048,0.17030701610683466
-33_152__2009,Acanthopagrus australis,30,24.428571428571427,35845.8215,168.97587918354048,0.1445683937056914
-33_152__2009,Acanthopagrus australis,12.5,15.277777777777779,6779.9221,168.97587918354048,0.09041395642737363
-33_152__2010,Acanthopagrus australis,15,25,32127.1678,87.89333333333333,0.2844356796116505
-36_150__2008,Acanthopagrus australis,20,1,187.2638,7.5,0.13333333333333333
-36_150__2009,Acanthopagrus australis,30,7.5,3144.3702,11,0.6818181818181818
-36_150__2009,Acanthopagrus australis,35,2.5,1458.1781,11,0.22727272727272727
-35_151__2010,Acanthopagrus australis,25,3.3461538461538463,12448.101999999999,30.355413105413106,0.11023252539946972
-33_152__2008,Acanthopagrus australis,25,65.66666666666667,28187.083,138.16666666666669,0.47527141133896256
-33_152__2008,Acanthopagrus australis,30,5.5,2305.8716999999997,138.16666666666669,0.03980699638118214
-33_152__2008,Acanthopagrus australis,35,2,583.2712,138.16666666666669,0.01447527141133896
