gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-33_152__2009,Arothron hispidus,50,1,1975.1694,4,0.25
-34_151__2010,Arothron hispidus,15,1,138.8101,1,1
-30_153__2008,Arothron hispidus,40,1,1042.3286,1,1
-30_153__2009,Arothron hispidus,25,1,428.1749,1,1
-33_152__2009,Arothron hispidus,30,1,611.6908,4,0.25
-33_152__2009,Arothron hispidus,25,1,428.1749,4,0.25
-33_152__2010,Arothron hispidus,20,1.5,864.4468,1.5,1
-33_152__2009,Arothron hispidus,15,1,277.6202,4,0.25
-32_153__2009,Arothron hispidus,25,2,856.3498,2,1
-32_159__2009,Arothron hispidus,15,1,138.8101,1,1
-32_159__2010,Arothron hispidus,25,1,428.1749,1,1
-33_152__2011,Arothron hispidus,20,1,288.1489,2,0.5
-34_151__2011,Arothron hispidus,15,1,138.8101,1,1
-21_117__2010,Arothron hispidus,15,1,138.8101,1,1
-16_123__2010,Arothron hispidus,25,1,428.1749,1,1
-20_118__2010,Arothron hispidus,20,1,288.1489,1,1
-26_113__2010,Arothron hispidus,15,1,138.8101,1,1
11_-86__2008,Arothron hispidus,15,1,138.8101,2,0.5
11_-86__2008,Arothron hispidus,20,1,288.1489,2,0.5
6_-87__2008,Arothron hispidus,25,1,428.1749,2,0.5
-8_116__2009,Arothron hispidus,7.5,1,19.5212,3,0.3333333333333333
-8_116__2009,Arothron hispidus,10,1,44.0639,3,0.3333333333333333
-8_116__2009,Arothron hispidus,20,1,288.1489,3,0.3333333333333333
9_-79__2011,Arothron hispidus,20,1,288.1489,2,0.5
6_-87__2008,Arothron hispidus,30,1,611.6908,2,0.5
9_-84__2011,Arothron hispidus,20,1,288.1489,1,1
-15_145__2010,Arothron hispidus,10,1,44.0639,3,0.3333333333333333
-28_153__2010,Arothron hispidus,7.5,1,19.5212,1,1
-15_145__2010,Arothron hispidus,30,2,1223.3816,3,0.6666666666666666
-27_154__2010,Arothron hispidus,40,1,1042.3286,3,0.3333333333333333
-27_154__2010,Arothron hispidus,12.5,1,82.8587,3,0.3333333333333333
-27_154__2010,Arothron hispidus,30,1,611.6908,3,0.3333333333333333
-27_153__2010,Arothron hispidus,10,1,44.0639,1,1
-26_153__2010,Arothron hispidus,25,1,428.1749,1,1
8_-82__2011,Arothron hispidus,15,1.3333333333333333,555.2404,6.333333333333333,0.21052631578947367
