gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-17_146__2010,Arothron nigropunctatus,12.5,1.5,568.7316,5.892857142857142,0.2545454545454546
-17_146__2010,Arothron nigropunctatus,15,1.1428571428571428,857.7896,5.892857142857142,0.19393939393939394
-17_146__2010,Arothron nigropunctatus,10,2.25,297.76140000000004,5.892857142857142,0.38181818181818183
-10_106__2010,Arothron nigropunctatus,20,1,226.6379,3,0.3333333333333333
-10_106__2010,Arothron nigropunctatus,25,2,680.1759,3,0.6666666666666666
-8_116__2008,Arothron nigropunctatus,20,1,NA,1,1
6_95__2009,Arothron nigropunctatus,12.5,1,379.1544,3.166666666666667,0.3157894736842105
6_95__2009,Arothron nigropunctatus,20,1.1666666666666667,1586.4653,3.166666666666667,0.3684210526315789
6_95__2009,Arothron nigropunctatus,15,1,750.5658999999999,3.166666666666667,0.3157894736842105
-8_122__2009,Arothron nigropunctatus,30,1,NA,1,1
-8_116__2009,Arothron nigropunctatus,7.5,1,14.3649,3,0.3333333333333333
-8_116__2009,Arothron nigropunctatus,10,1,99.25380000000001,3,0.3333333333333333
-8_116__2009,Arothron nigropunctatus,12.5,1,63.1924,3,0.3333333333333333
-17_146__2010,Arothron nigropunctatus,20,1,453.2758,5.892857142857142,0.1696969696969697
-15_145__2010,Arothron nigropunctatus,25,1,340.0879,1,1
-16_146__2010,Arothron nigropunctatus,20,2,906.5516,3,0.6666666666666666
-16_146__2010,Arothron nigropunctatus,15,1,107.2237,3,0.3333333333333333
-27_154__2010,Arothron nigropunctatus,12.5,1,63.1924,1,1
-20_-175__2009,Arothron nigropunctatus,20,1,453.2758,2,0.5
-19_-174__2009,Arothron nigropunctatus,25,1,340.0879,2,0.5
-20_-175__2009,Arothron nigropunctatus,12.5,1,63.1924,2,0.5
-19_-174__2009,Arothron nigropunctatus,12.5,1,63.1924,2,0.5
-19_-170__2011,Arothron nigropunctatus,30,1,980.3106,1,1
-18_147__2012,Arothron nigropunctatus,15,1.5,321.671,1.5,1
-19_148__2012,Arothron nigropunctatus,20,1,226.6379,1,1
4_73__2012,Arothron nigropunctatus,25,1,340.0879,2,0.5
4_73__2012,Arothron nigropunctatus,15,1,107.2237,2,0.5
-10_40__2012,Arothron nigropunctatus,15,1,107.2237,1,1
-15_-168__2012,Arothron nigropunctatus,20,1,226.6379,1,1
-16_-174__2012,Arothron nigropunctatus,25,1,340.0879,3,0.3333333333333333
-16_-174__2012,Arothron nigropunctatus,20,1,226.6379,3,0.3333333333333333
-16_-174__2012,Arothron nigropunctatus,15,1,107.2237,3,0.3333333333333333
-20_-174__2012,Arothron nigropunctatus,25,1,680.1758,1,1
-8_157__2011,Arothron nigropunctatus,15,2.25,965.0129,3.25,0.6923076923076923
-8_116__2012,Arothron nigropunctatus,10,1,66.1692,3,0.3333333333333333
-8_116__2012,Arothron nigropunctatus,12.5,1,63.1924,3,0.3333333333333333
-8_116__2012,Arothron nigropunctatus,15,1,107.2237,3,0.3333333333333333
-8_157__2011,Arothron nigropunctatus,12.5,1,63.1924,3.25,0.3076923076923077
-19_152__2012,Arothron nigropunctatus,12.5,3.5,442.34680000000003,9.5,0.3684210526315789
-19_152__2012,Arothron nigropunctatus,10,4,132.3384,9.5,0.42105263157894735
-19_152__2012,Arothron nigropunctatus,20,1,226.6379,9.5,0.10526315789473684
-17_149__2012,Arothron nigropunctatus,15,1.75,750.5658,2.75,0.6363636363636364
-17_149__2012,Arothron nigropunctatus,12.5,1,126.3848,2.75,0.36363636363636365
-17_150__2012,Arothron nigropunctatus,15,2,214.4473,4,0.5
