gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-30_153__2008,Arothron stellatus,30,1,882.7692,1,1
-30_153__2009,Arothron stellatus,25,3,1844.4551999999999,5,0.6
-30_153__2009,Arothron stellatus,15,2,392.3396,5,0.4
-10_106__2010,Arothron stellatus,50,1,2898.1106,1,1
-15_145__2010,Arothron stellatus,50,1,2898.1106,3,0.3333333333333333
-15_145__2010,Arothron stellatus,40,1,1515.6244,3,0.3333333333333333
-15_145__2010,Arothron stellatus,62.5,1,5498.531,3,0.3333333333333333
-28_153__2010,Arothron stellatus,40,1,1515.6244,1,1
-23_151__2010,Arothron stellatus,75,1,9317.555,2,0.5
-23_151__2010,Arothron stellatus,25,1,614.8184,2,0.5
-27_154__2010,Arothron stellatus,40,1,1515.6244,1,1
-26_153__2010,Arothron stellatus,35,1,1206.9052,1,1
-23_-135__2012,Arothron stellatus,50,1,2898.1106,2,0.5
-23_-135__2012,Arothron stellatus,40,1,1515.6244,2,0.5
-33_152__2012,Arothron stellatus,35,1,1206.9052,1,1
-21_154__2013,Arothron stellatus,75,1,9317.555,1,1
-18_150__2013,Arothron stellatus,30,2,1765.5385,3,0.6666666666666666
-18_150__2013,Arothron stellatus,20,1,411.4447,3,0.3333333333333333
-17_150__2013,Arothron stellatus,40,1,1515.6244,2,0.5
-17_150__2013,Arothron stellatus,75,1,9317.555,2,0.5
-18_119__2013,Arothron stellatus,62.5,1,10997.062,1,1
-17_119__2013,Arothron stellatus,87.5,1,14493.775,1,1
-20_117__2013,Arothron stellatus,50,1,2898.1106,1,1
-23_114__2015,Arothron stellatus,30,1,882.7692,1,1
-22_114__2015,Arothron stellatus,40,1,1515.6244,1,1
-24_152__2015,Arothron stellatus,40,1,1515.6244,1,1
-15_145__2015,Arothron stellatus,50,2,5796.2212,2,1
-17_146__2015,Arothron stellatus,40,1,3031.2488,1,1
-23_114__2016,Arothron stellatus,20,1,411.4447,1,1
-33_152__2016,Arothron stellatus,35,1,1206.9052,1,1
-11_134__2015,Arothron stellatus,50,2,5796.2212,2,1
-10_144__2015,Arothron stellatus,62.5,1,5498.531,1,1
-22_155__2017,Arothron stellatus,35,1,1206.9052,1,1
-22_153__2017,Arothron stellatus,15,1,196.1698,2,0.5
-22_153__2017,Arothron stellatus,100,1,21319.533,2,0.5
-14_145__2015,Arothron stellatus,40,1,1515.6244,1,1
-15_145__2017,Arothron stellatus,35,1,1206.9052,2,0.5
-15_145__2017,Arothron stellatus,30,1,882.7692,2,0.5
-30_153__2017,Arothron stellatus,30,1,882.7692,1,1
-23_114__2017,Arothron stellatus,50,1,2898.1106,4,0.25
-23_114__2017,Arothron stellatus,62.5,1,5498.531,4,0.25
-23_114__2017,Arothron stellatus,40,1,1515.6244,4,0.25
-23_114__2017,Arothron stellatus,75,1,9317.555,4,0.25
-30_153__2019,Arothron stellatus,40,1,1515.6244,1,1
-23_114__2019,Arothron stellatus,62.5,1,5498.531,1,1
-22_114__2019,Arothron stellatus,62.5,1,5498.531,1,1
-33_152__2019,Arothron stellatus,30,1,1765.5384,1,1
-27_154__2021,Arothron stellatus,40,1,1515.6244,2,0.5
-27_153__2021,Arothron stellatus,50,1,2898.1106,1,1
-27_154__2021,Arothron stellatus,75,1,9317.555,2,0.5
-22_114__2021,Arothron stellatus,35,1,1206.9052,1,1
-23_114__2021,Arothron stellatus,40,1,1515.6244,1,1
-12_131__2021,Arothron stellatus,35,1,1206.9052,3,0.3333333333333333
-12_131__2021,Arothron stellatus,40,1,1515.6244,3,0.3333333333333333
-12_131__2021,Arothron stellatus,50,1,2898.1106,3,0.3333333333333333
-17_146__2021,Arothron stellatus,50,1,2898.1106,1,1
-17_150__2021,Arothron stellatus,50,1,2898.1106,1,1
-10_145__2021,Arothron stellatus,35,1,1206.9052,1,1
