gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-34_151__2010,Chirodactylus spectabilis,12.5,2,209.66049999999998,3,0.6666666666666666
-36_150__2008,Chirodactylus spectabilis,20,1,195.5,3,0.3333333333333333
-34_151__2010,Chirodactylus spectabilis,15,1,90.3919,3,0.3333333333333333
-36_150__2008,Chirodactylus spectabilis,35,1,1199.2698,3,0.3333333333333333
-36_150__2008,Chirodactylus spectabilis,40,1,760.1632,3,0.3333333333333333
-36_150__2010,Chirodactylus spectabilis,50,1,5972.5956,6.933333333333334,0.14423076923076922
-30_153__2008,Chirodactylus spectabilis,35,1,599.6349,1,1
-36_150__2010,Chirodactylus spectabilis,40,1.6,6081.3057,6.933333333333334,0.23076923076923078
-36_150__2009,Chirodactylus spectabilis,50,1,1493.1489,1,1
-32_153__2010,Chirodactylus spectabilis,12.5,1,52.4151,1,1
-37_150__2008,Chirodactylus spectabilis,20,1,586.5,40.5,0.024691358024691357
-37_150__2008,Chirodactylus spectabilis,10,1.3333333333333333,107.61,40.5,0.03292181069958847
-37_150__2008,Chirodactylus spectabilis,12.5,1.3333333333333333,209.6605,40.5,0.03292181069958847
-37_150__2008,Chirodactylus spectabilis,7.5,2,22.7709,40.5,0.04938271604938271
-37_150__2008,Chirodactylus spectabilis,25,25,7425.999,40.5,0.6172839506172839
-37_150__2008,Chirodactylus spectabilis,30,1.3333333333333333,1731.7656,40.5,0.03292181069958847
-37_150__2008,Chirodactylus spectabilis,35,3.75,8994.5234,40.5,0.09259259259259259
-37_150__2008,Chirodactylus spectabilis,40,2.75,8361.7955,40.5,0.06790123456790123
-37_150__2008,Chirodactylus spectabilis,50,2,5972.5957,40.5,0.04938271604938271
-35_151__2010,Chirodactylus spectabilis,25,1,297.04,1,1
-36_150__2010,Chirodactylus spectabilis,35,1.3333333333333333,2398.5396,6.933333333333334,0.1923076923076923
-37_150__2011,Chirodactylus spectabilis,40,1,760.1632,1,1
-36_150__2010,Chirodactylus spectabilis,10,1,26.9025,6.933333333333334,0.14423076923076922
-36_150__2010,Chirodactylus spectabilis,25,1,891.1200000000001,6.933333333333334,0.14423076923076922
-36_150__2010,Chirodactylus spectabilis,30,1,432.9414,6.933333333333334,0.14423076923076922
-36_150__2011,Chirodactylus spectabilis,35,3,1798.9047,7,0.42857142857142855
-36_150__2011,Chirodactylus spectabilis,40,2,3040.6529,7,0.2857142857142857
-36_150__2011,Chirodactylus spectabilis,50,1,2986.2978,7,0.14285714285714285
-36_150__2011,Chirodactylus spectabilis,30,1,865.8828,7,0.14285714285714285
-38_149__2009,Chirodactylus spectabilis,30,1.875,6494.121,27.133333333333333,0.0691031941031941
-38_149__2009,Chirodactylus spectabilis,35,3.625,17389.4119,27.133333333333333,0.13359950859950862
-38_149__2009,Chirodactylus spectabilis,40,4.1,31166.6915,27.133333333333333,0.1511056511056511
-38_149__2009,Chirodactylus spectabilis,50,4.5,53753.3627,27.133333333333333,0.16584766584766586
-38_149__2009,Chirodactylus spectabilis,25,1.3333333333333333,2376.32,27.133333333333333,0.04914004914004914
-38_149__2009,Chirodactylus spectabilis,62.5,2.2,32000.727000000003,27.133333333333333,0.08108108108108109
-38_149__2009,Chirodactylus spectabilis,75,3,60464.590000000004,27.133333333333333,0.11056511056511056
-38_149__2009,Chirodactylus spectabilis,20,1,586.5,27.133333333333333,0.036855036855036855
-38_149__2008,Chirodactylus spectabilis,35,5.333333333333333,38376.6326,25.935897435897434,0.2056351952545724
-38_149__2008,Chirodactylus spectabilis,40,2.769230769230769,27365.8756,25.935897435897434,0.10677212061295106
-38_149__2008,Chirodactylus spectabilis,20,2.3333333333333335,2737.0005,25.935897435897434,0.08996539792387544
-38_149__2008,Chirodactylus spectabilis,30,3.4,14720.0076,25.935897435897434,0.13109243697478992
-38_149__2008,Chirodactylus spectabilis,50,2.9,43301.3197,25.935897435897434,0.11181413741967376
-38_149__2008,Chirodactylus spectabilis,62.5,2.6,37819.042,25.935897435897434,0.10024715768660407
