gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-28_114__2010,Choerodon rubescens,12.5,4.333333333333333,789.7699,31.833333333333332,0.13612565445026178
-28_114__2010,Choerodon rubescens,25,1,352.5731,31.833333333333332,0.031413612565445025
-28_114__2010,Choerodon rubescens,10,9,556.1507,31.833333333333332,0.28272251308900526
-28_114__2010,Choerodon rubescens,15,10.5,2216.643,31.833333333333332,0.3298429319371728
-28_114__2010,Choerodon rubescens,20,4,1845.7768,31.833333333333332,0.1256544502617801
-28_114__2010,Choerodon rubescens,5,2,7.5654,31.833333333333332,0.06282722513089005
-28_114__2010,Choerodon rubescens,7.5,1,12.9228,31.833333333333332,0.031413612565445025
-34_115__2009,Choerodon rubescens,7.5,1,12.9228,1,1
-32_116__2009,Choerodon rubescens,5,1,3.7827,4,0.25
-32_116__2010,Choerodon rubescens,40,1,913.9847,5,0.2
-32_116__2010,Choerodon rubescens,20,1,461.4442,5,0.2
-32_116__2010,Choerodon rubescens,7.5,1,25.8456,5,0.2
-28_114__2008,Choerodon rubescens,35,1.8,6467.678,13.8,0.13043478260869565
-28_114__2008,Choerodon rubescens,40,1.75,6397.893099999999,13.8,0.12681159420289853
-28_114__2008,Choerodon rubescens,50,1.5,5435.985,13.8,0.10869565217391304
-28_114__2008,Choerodon rubescens,62.5,1,3562.8237,13.8,0.07246376811594203
-28_114__2008,Choerodon rubescens,25,2,1410.2924,13.8,0.14492753623188406
-28_114__2008,Choerodon rubescens,30,1.75,3615.8113999999996,13.8,0.12681159420289853
-23_114__2010,Choerodon rubescens,40,1,1827.9694,6.25,0.16
-22_114__2010,Choerodon rubescens,25,1,352.5731,1,1
-23_114__2010,Choerodon rubescens,35,1.25,3593.1545,6.25,0.2
-23_114__2010,Choerodon rubescens,50,1,1811.995,6.25,0.16
-32_116__2009,Choerodon rubescens,10,1,30.8973,4,0.25
-29_114__2008,Choerodon rubescens,35,2,12935.3559,16.15,0.12383900928792571
-32_116__2010,Choerodon rubescens,30,1,1033.089,5,0.2
-29_114__2008,Choerodon rubescens,20,1.3333333333333333,922.8884,16.15,0.0825593395252838
-29_114__2008,Choerodon rubescens,25,1.6666666666666667,1762.8654999999999,16.15,0.10319917440660475
-29_114__2008,Choerodon rubescens,30,1.75,7231.622899999999,16.15,0.108359133126935
-29_114__2008,Choerodon rubescens,40,2.4,10967.816799999999,16.15,0.14860681114551083
-29_114__2008,Choerodon rubescens,7.5,1,12.9228,16.15,0.061919504643962855
-29_114__2008,Choerodon rubescens,12.5,1,121.503,16.15,0.061919504643962855
-30_115__2009,Choerodon rubescens,25,1.3333333333333333,1410.2924,13.523809523809524,0.09859154929577464
-30_115__2009,Choerodon rubescens,50,1,3623.99,13.523809523809524,0.07394366197183098
-30_115__2009,Choerodon rubescens,35,1,718.6309,13.523809523809524,0.07394366197183098
-30_115__2009,Choerodon rubescens,40,1,2741.9541,13.523809523809524,0.07394366197183098
-30_115__2009,Choerodon rubescens,15,1.2857142857142858,949.9898000000001,13.523809523809524,0.09507042253521128
-30_115__2009,Choerodon rubescens,20,1.5714285714285714,2537.9431000000004,13.523809523809524,0.11619718309859155
-30_115__2009,Choerodon rubescens,30,1,1033.089,13.523809523809524,0.07394366197183098
-23_114__2010,Choerodon rubescens,25,1,352.5731,6.25,0.16
-23_114__2010,Choerodon rubescens,30,2,1033.089,6.25,0.32
-26_113__2010,Choerodon rubescens,25,2.3333333333333335,2468.0118,23.833333333333332,0.09790209790209792
-28_114__2008,Choerodon rubescens,15,1,105.5544,13.8,0.07246376811594203
-28_114__2008,Choerodon rubescens,20,2,461.4442,13.8,0.14492753623188406
-30_115__2009,Choerodon rubescens,12.5,1.3333333333333333,486.0122,13.523809523809524,0.09859154929577464
-28_114__2008,Choerodon rubescens,5,1,3.7827,13.8,0.07246376811594203
