gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-17_146__2010,Choerodon schoenleinii,15,2.5,434.06149999999997,2.5,1
-26_114__2010,Choerodon schoenleinii,10,4,100.8237,9,0.4444444444444444
-26_114__2010,Choerodon schoenleinii,12.5,2,99.5654,9,0.2222222222222222
-26_114__2010,Choerodon schoenleinii,20,2,381.4746,9,0.2222222222222222
-26_114__2010,Choerodon schoenleinii,7.5,1,10.4819,9,0.1111111111111111
-21_117__2010,Choerodon schoenleinii,30,1.2857142857142858,3863.7324000000003,15.202380952380953,0.08457321848081441
-21_117__2010,Choerodon schoenleinii,35,2.5,5985.62,15.202380952380953,0.1644479248238058
-21_117__2010,Choerodon schoenleinii,25,1.75,2046.0168999999999,15.202380952380953,0.11511354737666406
-22_114__2010,Choerodon schoenleinii,35,1,598.562,2,0.5
-21_117__2010,Choerodon schoenleinii,10,2,50.4119,15.202380952380953,0.13155833985904464
-21_117__2010,Choerodon schoenleinii,12.5,2,99.5654,15.202380952380953,0.13155833985904464
-21_117__2010,Choerodon schoenleinii,15,1,86.8123,15.202380952380953,0.06577916992952232
-21_117__2010,Choerodon schoenleinii,20,1,190.7373,15.202380952380953,0.06577916992952232
-21_117__2010,Choerodon schoenleinii,40,1.6666666666666667,3812.4275,15.202380952380953,0.1096319498825372
-21_116__2010,Choerodon schoenleinii,25,1.5,876.8643999999999,4.5,0.3333333333333333
-21_116__2010,Choerodon schoenleinii,30,1,429.3036,4.5,0.2222222222222222
-21_117__2010,Choerodon schoenleinii,50,1,1518.4883,15.202380952380953,0.06577916992952232
-21_116__2010,Choerodon schoenleinii,35,2,1197.124,4.5,0.4444444444444444
-16_123__2010,Choerodon schoenleinii,25,2,2338.305,6,0.3333333333333333
-21_117__2010,Choerodon schoenleinii,62.5,1,2999.0728,15.202380952380953,0.06577916992952232
-16_123__2010,Choerodon schoenleinii,30,1,1287.9108,6,0.16666666666666666
-16_123__2010,Choerodon schoenleinii,20,1,381.4746,6,0.16666666666666666
-16_123__2010,Choerodon schoenleinii,15,2,173.6246,6,0.3333333333333333
-22_114__2010,Choerodon schoenleinii,50,1,4555.4649,2,0.5
-20_118__2010,Choerodon schoenleinii,50,1,1518.4883,2,0.5
-20_118__2010,Choerodon schoenleinii,15,1,86.8123,2,0.5
-20_119__2010,Choerodon schoenleinii,40,1,762.4855,3,0.3333333333333333
-20_119__2010,Choerodon schoenleinii,30,1,429.3036,3,0.3333333333333333
-20_119__2010,Choerodon schoenleinii,35,1,598.562,3,0.3333333333333333
-12_131__2008,Choerodon schoenleinii,20,1.6666666666666667,953.6865,13.5,0.1234567901234568
-12_131__2008,Choerodon schoenleinii,10,2.1666666666666665,327.6771,13.5,0.16049382716049382
-12_131__2008,Choerodon schoenleinii,12.5,1.3333333333333333,398.2616,13.5,0.09876543209876543
