gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-35_151__2010,Kyphosus bigibbus,20,2,394.2316,2,1
-32_159__2010,Kyphosus bigibbus,20,7.25,11432.7174,118.01688034188034,0.06143188990420392
-32_159__2010,Kyphosus bigibbus,25,2.875,6879.7139,118.01688034188034,0.02436092185856362
-32_159__2010,Kyphosus bigibbus,35,20.444444444444443,110869.9273,118.01688034188034,0.17323322210534128
-32_159__2010,Kyphosus bigibbus,30,11.933333333333334,77950.185,118.01688034188034,0.10111547855496553
-32_159__2010,Kyphosus bigibbus,10,1,54.5746,118.01688034188034,0.008473364124717782
-32_159__2010,Kyphosus bigibbus,62.5,1.2,17456.706,118.01688034188034,0.010168036949661338
-32_159__2010,Kyphosus bigibbus,40,31.23076923076923,309907.26139999996,118.01688034188034,0.2646296795873399
-32_159__2010,Kyphosus bigibbus,50,33.25,199008.12840000002,118.01688034188034,0.2817393571468662
-32_159__2010,Kyphosus bigibbus,12.5,4.666666666666667,742.8153,118.01688034188034,0.039542365915349646
-32_159__2010,Kyphosus bigibbus,15,4.166666666666667,2283.7729,118.01688034188034,0.03530568385299076
-34_151__2010,Kyphosus bigibbus,25,2,598.236,2,1
-36_150__2011,Kyphosus bigibbus,25,3,897.3539,7,0.42857142857142855
-36_150__2011,Kyphosus bigibbus,30,4,1741.9036,7,0.5714285714285714
-21_116__2010,Kyphosus bigibbus,40,1,763.3184,1,1
-23_114__2010,Kyphosus bigibbus,25,5.5,3290.298,50.5,0.10891089108910891
-23_114__2010,Kyphosus bigibbus,30,30,13064.276,50.5,0.594059405940594
-23_114__2010,Kyphosus bigibbus,35,15,9038.31,50.5,0.297029702970297
-22_114__2008,Kyphosus bigibbus,12.5,1,53.0582,5,0.2
-22_114__2008,Kyphosus bigibbus,15,3,274.0527,5,0.6
-22_114__2008,Kyphosus bigibbus,20,1,197.1158,5,0.2
-10_106__2010,Kyphosus bigibbus,15,3,274.0527,3,1
-10_106__2009,Kyphosus bigibbus,15,1,91.3509,1,1
24_36__2011,Kyphosus bigibbus,35,1,602.554,1,1
-27_154__2010,Kyphosus bigibbus,30,1,435.4759,8,0.125
-27_154__2010,Kyphosus bigibbus,25,3,897.354,8,0.375
-27_154__2010,Kyphosus bigibbus,15,1,91.3509,8,0.125
-27_154__2010,Kyphosus bigibbus,20,3,591.3475,8,0.375
-19_-170__2011,Kyphosus bigibbus,25,1,299.118,5,0.2
-19_-170__2011,Kyphosus bigibbus,15,1,91.3509,5,0.2
-19_-170__2011,Kyphosus bigibbus,20,2,394.2316,5,0.4
-19_-170__2011,Kyphosus bigibbus,30,1,435.4759,5,0.2
-35_151__2009,Kyphosus bigibbus,30,1,435.4759,1,1
-35_151__2012,Kyphosus bigibbus,25,1,299.118,1,1
-23_114__2012,Kyphosus bigibbus,25,16,9571.775000000001,123,0.13008130081300814
-23_114__2012,Kyphosus bigibbus,30,90,39192.83,123,0.7317073170731707
-23_114__2012,Kyphosus bigibbus,35,10,12051.0792,123,0.08130081300813008
-23_114__2012,Kyphosus bigibbus,40,7,21372.9135,123,0.056910569105691054
-16_-146__2012,Kyphosus bigibbus,30,8,3483.8072,13,0.6153846153846154
-16_-146__2012,Kyphosus bigibbus,12.5,1,53.0582,13,0.07692307692307693
-16_-146__2012,Kyphosus bigibbus,25,4,1196.4719,13,0.3076923076923077
-29_-178__2012,Kyphosus bigibbus,40,1,763.3184,2,0.5
-29_-178__2012,Kyphosus bigibbus,50,1,1496.3018,2,0.5
-29_159__2013,Kyphosus bigibbus,25,2,598.236,2,1
-32_159__2012,Kyphosus bigibbus,20,11.857142857142858,16360.613099999999,136.5809523809524,0.08681402970504148
-32_159__2012,Kyphosus bigibbus,25,10.75,38586.2206,136.5809523809524,0.07870790042535387
-32_159__2012,Kyphosus bigibbus,30,16.866666666666667,110175.40179999999,136.5809523809524,0.12349208562861724
-32_159__2012,Kyphosus bigibbus,50,6.25,37407.5438,136.5809523809524,0.04576040722404295
-32_159__2012,Kyphosus bigibbus,62.5,1,2909.451,136.5809523809524,0.007321665155846872
-32_159__2012,Kyphosus bigibbus,35,54.714285714285715,230778.1673,136.5809523809524,0.400599679241336
-32_159__2012,Kyphosus bigibbus,40,29.142857142857142,155716.9489,136.5809523809524,0.21337424168468025
-32_159__2012,Kyphosus bigibbus,15,6,548.1055,136.5809523809524,0.04392999093508123
-22_155__2013,Kyphosus bigibbus,40,5,11449.7754,10.5,0.47619047619047616
-22_155__2013,Kyphosus bigibbus,35,2.5,3012.7698,10.5,0.23809523809523808
-22_155__2013,Kyphosus bigibbus,30,2,870.9518,10.5,0.19047619047619047
-22_155__2013,Kyphosus bigibbus,50,1,1496.3018,10.5,0.09523809523809523
-22_154__2013,Kyphosus bigibbus,40,1,763.3184,1,1
-17_156__2013,Kyphosus bigibbus,20,3,591.3475,12.5,0.24
-17_156__2013,Kyphosus bigibbus,25,4,1196.472,12.5,0.32
-21_154__2013,Kyphosus bigibbus,25,3,897.3539,4,0.75
-17_156__2013,Kyphosus bigibbus,30,5.5,4790.2349,12.5,0.44
-21_154__2013,Kyphosus bigibbus,20,1,197.1158,4,0.25
-14_122__2013,Kyphosus bigibbus,25,2,598.236,2,1
-32_159__2014,Kyphosus bigibbus,30,6.705882352941177,49644.252499999995,40.29553436759319,0.166417506509958
-32_159__2014,Kyphosus bigibbus,35,2.5384615384615383,19884.2807,40.29553436759319,0.0629961006424335
-32_159__2014,Kyphosus bigibbus,40,3.875,23662.869,40.29553436759319,0.0961645021170481
-32_159__2014,Kyphosus bigibbus,20,4.083333333333333,9658.6752,40.29553436759319,0.10133463663947004
-32_159__2014,Kyphosus bigibbus,25,9.2,27518.8549,40.29553436759319,0.2283131405101529
-32_159__2014,Kyphosus bigibbus,50,1.5,4488.9053,40.29553436759319,0.03722496856143798
-32_159__2014,Kyphosus bigibbus,62.5,5.5,32003.959000000003,40.29553436759319,0.13649155139193925
-32_159__2014,Kyphosus bigibbus,15,3.642857142857143,4658.8965,40.29553436759319,0.09040349507777794
-32_159__2014,Kyphosus bigibbus,12.5,2.25,477.5241,40.29553436759319,0.055837452842156965
-32_159__2014,Kyphosus bigibbus,10,1,27.2873,40.29553436759319,0.024816645707625318
-20_117__2013,Kyphosus bigibbus,35,3.5,4217.8777,4.5,0.7777777777777778
-20_117__2013,Kyphosus bigibbus,40,1,763.3184,4.5,0.2222222222222222
-35_151__2014,Kyphosus bigibbus,50,1,1496.3018,1,1
-23_114__2015,Kyphosus bigibbus,35,3,3615.3238,51,0.058823529411764705
-23_114__2015,Kyphosus bigibbus,30,1,435.4759,51,0.0196078431372549
-23_114__2015,Kyphosus bigibbus,50,11,49377.9553,51,0.21568627450980393
-23_114__2015,Kyphosus bigibbus,40,35,26716.141799999998,51,0.6862745098039216
-23_114__2015,Kyphosus bigibbus,62.5,1,2909.451,51,0.0196078431372549
-17_146__2015,Kyphosus bigibbus,20,5.5,2168.274,20.5,0.2682926829268293
-17_146__2015,Kyphosus bigibbus,25,13,7777.0679,20.5,0.6341463414634146
-17_146__2015,Kyphosus bigibbus,30,2,870.9518,20.5,0.0975609756097561
-32_159__2016,Kyphosus bigibbus,30,7.2272727272727275,69240.6669,52.0189393939394,0.13893541105366636
-32_159__2016,Kyphosus bigibbus,40,7.125,87018.2928,52.0189393939394,0.13696934391611446
-32_159__2016,Kyphosus bigibbus,35,6.9523809523809526,87972.8789,52.0189393939394,0.13365095546701897
-32_159__2016,Kyphosus bigibbus,20,3.7142857142857144,10250.0227,52.0189393939394,0.07140256524950328
-32_159__2016,Kyphosus bigibbus,25,5.5,32902.9794,52.0189393939394,0.10573072161945678
-32_159__2016,Kyphosus bigibbus,10,4,218.2986,52.0189393939394,0.07689507026869584
-35_151__2016,Kyphosus bigibbus,30,1,435.4759,1,1
-23_114__2016,Kyphosus bigibbus,40,1.5,2289.9551,18.833333333333336,0.07964601769911503
-23_114__2016,Kyphosus bigibbus,50,2,5985.207,18.833333333333336,0.10619469026548671
-23_114__2016,Kyphosus bigibbus,30,2,870.9518,18.833333333333336,0.10619469026548671
-23_114__2016,Kyphosus bigibbus,35,8.333333333333334,15063.848899999999,18.833333333333336,0.44247787610619466
-22_114__2016,Kyphosus bigibbus,50,10,14963.018,15,0.6666666666666666
-22_114__2016,Kyphosus bigibbus,62.5,5,14547.254,15,0.3333333333333333
-23_114__2016,Kyphosus bigibbus,62.5,4,11637.804,18.833333333333336,0.21238938053097342
-23_114__2016,Kyphosus bigibbus,20,1,197.1158,18.833333333333336,0.053097345132743355
-32_159__2016,Kyphosus bigibbus,50,1.1666666666666667,10474.1126,52.0189393939394,0.02242772882836962
-32_159__2016,Kyphosus bigibbus,15,9.833333333333334,5389.7037,52.0189393939394,0.18903371441054395
-32_159__2016,Kyphosus bigibbus,62.5,2,5818.902,52.0189393939394,0.03844753513434792
-32_159__2016,Kyphosus bigibbus,12.5,4.5,477.52410000000003,52.0189393939394,0.08650695405228281
-22_155__2017,Kyphosus bigibbus,35,1,1205.108,4,0.25
-22_155__2017,Kyphosus bigibbus,50,1,1496.3018,4,0.25
-22_155__2017,Kyphosus bigibbus,40,2,1526.6368,4,0.5
-16_146__2016,Kyphosus bigibbus,30,30,13064.276,30,1
-32_159__2018,Kyphosus bigibbus,30,1.7142857142857142,5225.710800000001,27.330952380952382,0.06272323373116125
-32_159__2018,Kyphosus bigibbus,25,2.3333333333333335,4187.652,27.330952380952382,0.08537329035630281
-32_159__2018,Kyphosus bigibbus,35,1.3333333333333333,4820.4319,27.330952380952382,0.048784737346458745
-32_159__2018,Kyphosus bigibbus,40,1.2,4579.9104,27.330952380952382,0.04390626361181287
-29_159__2018,Kyphosus bigibbus,25,2,598.236,8,0.25
-32_159__2018,Kyphosus bigibbus,50,7.75,46385.353599999995,27.330952380952382,0.2835612858262915
-30_159__2018,Kyphosus bigibbus,25,2,598.236,7,0.2857142857142857
-30_159__2018,Kyphosus bigibbus,35,2,1205.1079,7,0.2857142857142857
-30_159__2018,Kyphosus bigibbus,40,2,1526.6367,7,0.2857142857142857
-29_159__2018,Kyphosus bigibbus,20,2,394.2316,8,0.25
-29_159__2018,Kyphosus bigibbus,30,1,435.4759,8,0.125
-29_159__2018,Kyphosus bigibbus,35,1,1205.108,8,0.125
-29_159__2018,Kyphosus bigibbus,40,2,1526.6367,8,0.25
-30_159__2018,Kyphosus bigibbus,20,1,197.1158,7,0.14285714285714285
-30_153__2017,Kyphosus bigibbus,15,22.5,4110.7912,36,0.625
-30_153__2017,Kyphosus bigibbus,20,10.5,4139.4322,36,0.2916666666666667
-30_153__2017,Kyphosus bigibbus,30,1,435.4759,36,0.027777777777777776
-30_153__2017,Kyphosus bigibbus,35,2,2410.2158,36,0.05555555555555555
-23_114__2017,Kyphosus bigibbus,50,24.75,148133.869,123.25,0.20081135902636918
-23_114__2017,Kyphosus bigibbus,62.5,80,698268.21,123.25,0.6490872210953347
-23_114__2017,Kyphosus bigibbus,40,13.833333333333334,63355.423599999995,123.25,0.11223799864773495
-23_114__2017,Kyphosus bigibbus,30,1.6666666666666667,2177.3795,123.25,0.013522650439486139
-23_114__2017,Kyphosus bigibbus,35,1,1205.108,123.25,0.008113590263691683
-23_114__2017,Kyphosus bigibbus,25,1,299.118,123.25,0.008113590263691683
-23_114__2017,Kyphosus bigibbus,20,1,197.1158,123.25,0.008113590263691683
-32_159__2018,Kyphosus bigibbus,15,1,91.3509,27.330952380952382,0.03658855300984406
-32_159__2018,Kyphosus bigibbus,20,7.5,8870.2119,27.330952380952382,0.2744141475738305
-32_159__2018,Kyphosus bigibbus,75,1,5030.897,27.330952380952382,0.03658855300984406
-32_159__2018,Kyphosus bigibbus,62.5,3.5,20366.156000000003,27.330952380952382,0.12805993553445422
-32_159__2006,Kyphosus bigibbus,25,10.857142857142858,22732.9673,29.65714285714286,0.36608863198458574
-32_159__2006,Kyphosus bigibbus,30,4,12193.3252,29.65714285714286,0.1348747591522158
-32_159__2008,Kyphosus bigibbus,40,6.5,69461.97009999999,96.14305555555556,0.06760758707366048
-32_159__2008,Kyphosus bigibbus,35,3.888888888888889,21089.3886,96.14305555555556,0.04044898371928405
-32_159__2008,Kyphosus bigibbus,50,3.5,31422.3375,96.14305555555556,0.03640408534735565
-32_159__2008,Kyphosus bigibbus,30,49.1875,342719.5175,96.14305555555556,0.511607413720873
-32_159__2006,Kyphosus bigibbus,20,5,3942.3165,29.65714285714286,0.16859344894026973
-32_159__2008,Kyphosus bigibbus,20,18.8,18528.8872,96.14305555555556,0.19554194415151033
-32_159__2008,Kyphosus bigibbus,15,5.666666666666667,1552.9656,96.14305555555556,0.058939947705242475
-32_159__2008,Kyphosus bigibbus,25,8.6,12862.0735,96.14305555555556,0.08945003828207386
-32_159__2006,Kyphosus bigibbus,35,2.8,8435.7555,29.65714285714286,0.09441233140655104
-32_159__2006,Kyphosus bigibbus,40,7,16029.685099999999,29.65714285714286,0.23603082851637763
-34_151__2018,Kyphosus bigibbus,15,5,456.7546,5,1
-22_114__2013,Kyphosus bigibbus,25,1,299.118,1,1
-28_114__2013,Kyphosus bigibbus,30,110,95804.69799999999,185,0.5945945945945946
-28_114__2013,Kyphosus bigibbus,20,35,6899.0537,185,0.1891891891891892
-28_114__2013,Kyphosus bigibbus,25,40,11964.72,185,0.21621621621621623
-19_-170__2019,Kyphosus bigibbus,20,2,394.2316,2,1
-23_114__2019,Kyphosus bigibbus,40,27.75,84728.336,43.48809523809524,0.6381056665754175
-23_114__2019,Kyphosus bigibbus,30,1.1666666666666667,3048.3313000000003,43.48809523809524,0.02682726526142896
-23_114__2019,Kyphosus bigibbus,35,7.571428571428571,31935.3596,43.48809523809524,0.17410347659457978
-23_114__2019,Kyphosus bigibbus,50,7,31422.3378,43.48809523809524,0.16096359156857376
-34_151__2020,Kyphosus bigibbus,35,1,602.554,1,1
-32_159__2020,Kyphosus bigibbus,25,5.111111111111111,13759.427899999999,50.919444444444444,0.10037641154328732
-32_159__2020,Kyphosus bigibbus,30,5.625,19596.4152,50.919444444444444,0.11046860509519393
-32_159__2020,Kyphosus bigibbus,20,3.8333333333333335,4533.6638,50.919444444444444,0.0752823086574655
-32_159__2020,Kyphosus bigibbus,35,3.6,21691.9428,50.919444444444444,0.07069990726092412
-32_159__2020,Kyphosus bigibbus,40,2.75,16793.004,50.919444444444444,0.054006873602094815
-32_159__2020,Kyphosus bigibbus,62.5,4,34913.41,50.919444444444444,0.07855545251213791
-32_159__2020,Kyphosus bigibbus,50,5.333333333333333,23940.8288,50.919444444444444,0.10474060334951721
-32_159__2020,Kyphosus bigibbus,15,4.666666666666667,1278.9128,50.919444444444444,0.09164802793082756
-32_159__2020,Kyphosus bigibbus,10,5,136.4366,50.919444444444444,0.09819431564017239
-32_159__2020,Kyphosus bigibbus,12.5,10,530.5824,50.919444444444444,0.19638863128034478
-32_159__2020,Kyphosus bigibbus,7.5,1,11.5783,50.919444444444444,0.01963886312803448
-22_155__2019,Kyphosus bigibbus,40,1,763.3184,3,0.3333333333333333
-22_155__2019,Kyphosus bigibbus,50,2,2992.6035,3,0.6666666666666666
-21_154__2019,Kyphosus bigibbus,40,1.5,2289.9551,2.5,0.6
-21_154__2019,Kyphosus bigibbus,35,1,602.554,2.5,0.4
-30_153__2020,Kyphosus bigibbus,35,1,602.554,1,1
-29_154__2021,Kyphosus bigibbus,30,5,2177.3794,12,0.4166666666666667
-29_154__2021,Kyphosus bigibbus,35,5,3012.7698,12,0.4166666666666667
-29_154__2021,Kyphosus bigibbus,50,2,2992.6035,12,0.16666666666666666
-27_154__2021,Kyphosus bigibbus,30,1,870.9518,2,0.5
-27_154__2021,Kyphosus bigibbus,35,1,602.554,2,0.5
-23_114__2021,Kyphosus bigibbus,40,9.2,35112.6442,136.86666666666667,0.06721870433511933
-23_114__2021,Kyphosus bigibbus,25,3,897.3539,136.86666666666667,0.021919142717973697
-23_114__2021,Kyphosus bigibbus,30,1,870.9518,136.86666666666667,0.007306380905991232
-22_114__2021,Kyphosus bigibbus,35,3,1807.6619,13,0.23076923076923078
-22_114__2021,Kyphosus bigibbus,20,4,788.4633,13,0.3076923076923077
-22_114__2021,Kyphosus bigibbus,25,6,1794.7079,13,0.46153846153846156
-23_114__2021,Kyphosus bigibbus,50,33.666666666666664,151126.4718,136.86666666666667,0.24598149050170479
-23_114__2021,Kyphosus bigibbus,62.5,60,174567.046,136.86666666666667,0.43838285435947394
-23_114__2021,Kyphosus bigibbus,75,30,150926.9,136.86666666666667,0.21919142717973697
-23_152__2020,Kyphosus bigibbus,30,6,2612.8555,6,1
-19_152__2020,Kyphosus bigibbus,35,1,602.554,1,1
-29_114__2021,Kyphosus bigibbus,15,3,274.0527,4,0.75
-29_114__2021,Kyphosus bigibbus,50,1,1496.3018,4,0.25
-32_159__2022,Kyphosus bigibbus,15,5,2740.5272999999997,49.923809523809524,0.10015261350629531
-32_159__2022,Kyphosus bigibbus,35,2.8,8435.7555,49.923809523809524,0.05608546356352537
-32_159__2022,Kyphosus bigibbus,50,1.6666666666666667,7481.509,49.923809523809524,0.03338420450209844
-32_159__2022,Kyphosus bigibbus,25,2.857142857142857,5982.36,49.923809523809524,0.05723006486074018
-32_159__2022,Kyphosus bigibbus,40,3.1666666666666665,14503.0486,49.923809523809524,0.06342998855398703
-32_159__2022,Kyphosus bigibbus,20,12.6,12418.296999999999,49.923809523809524,0.25238458603586417
