gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-29_154__2010,Lethrinus miniatus,35,2,1075.5428,2,1
-23_152__2015,Lethrinus miniatus,40,1,682.3337,1,1
-20_149__2015,Lethrinus miniatus,40,1,682.3337,2,0.5
-20_149__2015,Lethrinus miniatus,50,1,1343.6067,2,0.5
-23_114__2016,Lethrinus miniatus,10,2,47.7059,30,0.06666666666666667
-23_114__2016,Lethrinus miniatus,30,10,3878.1035,30,0.3333333333333333
-23_114__2016,Lethrinus miniatus,12.5,3,139.7635,30,0.1
-23_114__2016,Lethrinus miniatus,15,5,402.5188,30,0.16666666666666666
-23_114__2016,Lethrinus miniatus,20,6,1047.6534,30,0.2
-23_114__2016,Lethrinus miniatus,25,4,1062.8281,30,0.13333333333333333
-24_152__2017,Lethrinus miniatus,35,4,2151.0857,6,0.6666666666666666
-24_152__2017,Lethrinus miniatus,40,1,682.3337,6,0.16666666666666666
-24_152__2017,Lethrinus miniatus,50,1,1343.6067,6,0.16666666666666666
-23_152__2017,Lethrinus miniatus,50,1.3333333333333333,5374.4268,1.3333333333333333,1
-22_153__2017,Lethrinus miniatus,30,4,1551.2414,21,0.19047619047619047
-22_153__2017,Lethrinus miniatus,35,7,3764.3999999999996,21,0.3333333333333333
-22_153__2017,Lethrinus miniatus,40,6,4094.0024000000003,21,0.2857142857142857
-22_153__2017,Lethrinus miniatus,50,4,5374.427,21,0.19047619047619047
-22_152__2017,Lethrinus miniatus,30,1,387.8104,1,1
-20_149__2018,Lethrinus miniatus,50,1.2,8061.6402,1.2,1
-20_149__2020,Lethrinus miniatus,35,1,537.7714,1,1
-21_152__2019,Lethrinus miniatus,40,2.6666666666666665,5458.669800000001,5.666666666666666,0.4705882352941177
-21_152__2019,Lethrinus miniatus,35,3,1613.3143,5.666666666666666,0.5294117647058824
-23_152__2020,Lethrinus miniatus,75,1,4554.417,3,0.3333333333333333
-23_152__2020,Lethrinus miniatus,35,1,537.7714,3,0.3333333333333333
-23_152__2020,Lethrinus miniatus,40,1,682.3337,3,0.3333333333333333
-24_152__2020,Lethrinus miniatus,50,1,1343.6067,4,0.25
-24_152__2020,Lethrinus miniatus,40,1,1364.6674,4,0.25
-22_153__2020,Lethrinus miniatus,35,1,537.7714,1,1
-24_152__2020,Lethrinus miniatus,15,1,80.5038,4,0.25
-24_152__2020,Lethrinus miniatus,30,1,387.8104,4,0.25
-32_159__2022,Lethrinus miniatus,20,2,349.2178,6,0.3333333333333333
-32_159__2022,Lethrinus miniatus,25,4,1062.8281,6,0.6666666666666666
-21_151__2022,Lethrinus miniatus,50,1,1343.6067,2,0.5
-21_151__2022,Lethrinus miniatus,40,1,1364.6674,2,0.5
-17_152__2022,Lethrinus miniatus,35,2,1075.5428,2,1
-21_152__2022,Lethrinus miniatus,35,2,1075.5428,2,1
-23_152__2022,Lethrinus miniatus,40,2.3333333333333335,4776.336,8.433333333333334,0.2766798418972332
-23_152__2022,Lethrinus miniatus,50,2,10748.8538,8.433333333333334,0.23715415019762845
-23_152__2022,Lethrinus miniatus,30,1.5,1163.4311,8.433333333333334,0.17786561264822134
-23_152__2022,Lethrinus miniatus,35,1.6,4302.1712,8.433333333333334,0.18972332015810278
-23_152__2022,Lethrinus miniatus,15,1,80.5038,8.433333333333334,0.11857707509881422
