gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-32_159__2009,Lethrinus nebulosus,30,3,2642.0634,41,0.07317073170731707
-32_159__2010,Lethrinus nebulosus,35,8.333333333333334,15248.85,54.583333333333336,0.15267175572519084
-32_159__2009,Lethrinus nebulosus,20,20.5,8150.3832999999995,41,0.5
-32_159__2009,Lethrinus nebulosus,25,2,604.1614,41,0.04878048780487805
-32_159__2009,Lethrinus nebulosus,62.5,3,17764.708700000003,41,0.07317073170731707
-32_159__2009,Lethrinus nebulosus,15,2,183.7785,41,0.04878048780487805
-32_159__2010,Lethrinus nebulosus,40,18,27839.024400000002,54.583333333333336,0.3297709923664122
-32_159__2009,Lethrinus nebulosus,40,4.5,6959.7559,41,0.10975609756097561
-32_159__2010,Lethrinus nebulosus,50,8.25,50137.1706,54.583333333333336,0.15114503816793892
-32_159__2010,Lethrinus nebulosus,62.5,1,8882.3541,54.583333333333336,0.0183206106870229
-32_159__2009,Lethrinus nebulosus,35,6,3659.7239,41,0.14634146341463414
-32_159__2010,Lethrinus nebulosus,25,14,4229.1304,54.583333333333336,0.2564885496183206
-32_159__2010,Lethrinus nebulosus,30,5,2201.7195,54.583333333333336,0.0916030534351145
-34_151__2010,Lethrinus nebulosus,25,1,302.0807,3,0.3333333333333333
-34_151__2010,Lethrinus nebulosus,35,1,609.954,3,0.3333333333333333
-34_151__2010,Lethrinus nebulosus,30,1,440.3439,3,0.3333333333333333
-33_152__2011,Lethrinus nebulosus,20,3,1192.739,5,0.6
-34_151__2011,Lethrinus nebulosus,30,1,880.6878,1,1
-33_152__2011,Lethrinus nebulosus,15,2,183.7785,5,0.4
-21_117__2010,Lethrinus nebulosus,35,2,1219.908,37.5,0.05333333333333334
-21_117__2010,Lethrinus nebulosus,15,2.6666666666666665,735.1142,37.5,0.07111111111111111
-21_117__2010,Lethrinus nebulosus,2.5,4,1.7324,37.5,0.10666666666666667
-21_117__2010,Lethrinus nebulosus,5,3.3333333333333335,34.409,37.5,0.08888888888888889
-21_117__2010,Lethrinus nebulosus,7.5,10.5,485.7742,37.5,0.28
-21_117__2010,Lethrinus nebulosus,10,10.75,1175.4938,37.5,0.2866666666666667
-21_117__2010,Lethrinus nebulosus,12.5,4.25,905.6529,37.5,0.11333333333333333
-16_123__2010,Lethrinus nebulosus,25,1,302.0807,1,1
-23_114__2010,Lethrinus nebulosus,50,2,3038.6165,52.9,0.03780718336483932
-23_114__2010,Lethrinus nebulosus,12.5,30,1598.2109,52.9,0.5671077504725898
-23_114__2010,Lethrinus nebulosus,15,7.5,1378.339,52.9,0.14177693761814744
-23_114__2010,Lethrinus nebulosus,20,4,2385.478,52.9,0.07561436672967864
-23_114__2010,Lethrinus nebulosus,25,2.4,3624.9685,52.9,0.045368620037807186
-23_114__2010,Lethrinus nebulosus,35,2,3659.7239999999997,52.9,0.03780718336483932
-23_114__2010,Lethrinus nebulosus,40,2,6186.4497,52.9,0.03780718336483932
-23_114__2010,Lethrinus nebulosus,30,3,2642.0634,52.9,0.05671077504725898
-23_114__2008,Lethrinus nebulosus,62.5,1,2960.7847,5,0.2
-23_114__2008,Lethrinus nebulosus,35,1,609.954,5,0.2
-23_114__2008,Lethrinus nebulosus,40,2,1546.6124,5,0.4
-23_114__2008,Lethrinus nebulosus,50,1,1519.3082,5,0.2
-20_119__2010,Lethrinus nebulosus,25,2,604.1614,2,1
-28_114__2008,Lethrinus nebulosus,35,1,609.954,1,1
-29_114__2008,Lethrinus nebulosus,25,1,302.0807,1,1
-26_113__2010,Lethrinus nebulosus,30,1,440.3439,1,1
-32_116__2012,Lethrinus nebulosus,25,1,302.0807,1,1
-15_145__2010,Lethrinus nebulosus,30,4,1761.3756,5,0.8
-15_145__2010,Lethrinus nebulosus,35,1,609.954,5,0.2
-23_151__2010,Lethrinus nebulosus,40,1,773.3062,1,1
-23_114__2012,Lethrinus nebulosus,40,1.25,3866.531,21.75,0.05747126436781609
-23_114__2012,Lethrinus nebulosus,35,1,609.954,21.75,0.04597701149425287
-34_151__2012,Lethrinus nebulosus,5,5,17.2045,32,0.15625
-34_151__2012,Lethrinus nebulosus,7.5,24,277.5852,32,0.75
-34_151__2012,Lethrinus nebulosus,10,3,82.0112,32,0.09375
-32_159__2012,Lethrinus nebulosus,30,1.5,1321.0317,5,0.3
-32_159__2012,Lethrinus nebulosus,35,1.5,1829.8619999999999,5,0.3
-32_159__2012,Lethrinus nebulosus,75,1,5129.0786,5,0.2
-32_159__2012,Lethrinus nebulosus,40,1,1546.6124,5,0.2
-23_114__2012,Lethrinus nebulosus,12.5,5.5,586.0106999999999,21.75,0.25287356321839083
-23_114__2012,Lethrinus nebulosus,25,2,1208.3229000000001,21.75,0.09195402298850575
-23_114__2012,Lethrinus nebulosus,20,1,397.5796,21.75,0.04597701149425287
-23_114__2012,Lethrinus nebulosus,15,7,1929.6745999999998,21.75,0.3218390804597701
-23_114__2012,Lethrinus nebulosus,7.5,1,11.5661,21.75,0.04597701149425287
-23_114__2012,Lethrinus nebulosus,10,2,54.6741,21.75,0.09195402298850575
-23_114__2012,Lethrinus nebulosus,30,1,440.3439,21.75,0.04597701149425287
-33_152__2013,Lethrinus nebulosus,40,1,773.3062,1,1
-17_156__2013,Lethrinus nebulosus,40,2,1546.6124,2,1
-17_152__2013,Lethrinus nebulosus,50,1,3038.6164,3,0.3333333333333333
-17_152__2013,Lethrinus nebulosus,62.5,1,2960.7847,3,0.3333333333333333
-17_152__2013,Lethrinus nebulosus,35,1,609.954,3,0.3333333333333333
-18_151__2013,Lethrinus nebulosus,62.5,2,5921.5694,4,0.5
-17_151__2013,Lethrinus nebulosus,40,2,1546.6124,2,1
-18_151__2013,Lethrinus nebulosus,35,1,609.954,4,0.25
-18_148__2013,Lethrinus nebulosus,40,1,773.3062,1,1
-18_151__2013,Lethrinus nebulosus,50,1,1519.3082,4,0.25
-19_148__2013,Lethrinus nebulosus,35,8,4879.632,8,1
-16_148__2013,Lethrinus nebulosus,40,1.5,2319.9186,1.5,1
-32_159__2014,Lethrinus nebulosus,25,10,3020.8071,30,0.3333333333333333
-32_159__2014,Lethrinus nebulosus,30,10,4403.439,30,0.3333333333333333
-32_159__2014,Lethrinus nebulosus,35,10,6099.54,30,0.3333333333333333
-20_116__2013,Lethrinus nebulosus,25,12,7249.9376,28.5,0.42105263157894735
-20_116__2013,Lethrinus nebulosus,30,13.5,23778.57,28.5,0.47368421052631576
-20_116__2013,Lethrinus nebulosus,35,3,3659.7239999999997,28.5,0.10526315789473684
-21_116__2013,Lethrinus nebulosus,40,16,12372.8999,21,0.7619047619047619
-21_116__2013,Lethrinus nebulosus,35,5,3049.77,21,0.23809523809523808
-21_115__2013,Lethrinus nebulosus,35,3,5489.5859,7,0.42857142857142855
-23_114__2015,Lethrinus nebulosus,15,2,551.3356,10.833333333333334,0.1846153846153846
-23_114__2015,Lethrinus nebulosus,25,1.3333333333333333,2416.6457,10.833333333333334,0.12307692307692307
-23_114__2015,Lethrinus nebulosus,30,1,440.3439,10.833333333333334,0.0923076923076923
-23_114__2015,Lethrinus nebulosus,20,2.5,993.9492,10.833333333333334,0.23076923076923075
-23_114__2015,Lethrinus nebulosus,50,1,3038.6164,10.833333333333334,0.0923076923076923
-23_114__2015,Lethrinus nebulosus,10,1,27.3371,10.833333333333334,0.0923076923076923
-23_114__2015,Lethrinus nebulosus,12.5,2,106.5474,10.833333333333334,0.1846153846153846
-22_114__2015,Lethrinus nebulosus,30,1,440.3439,1,1
-18_146__2015,Lethrinus nebulosus,40,1,773.3062,1,1
-23_152__2015,Lethrinus nebulosus,62.5,4,11843.139,4,1
-17_146__2015,Lethrinus nebulosus,40,1,773.3062,1,1
-15_145__2015,Lethrinus nebulosus,40,1,773.3062,1,1
-10_145__2015,Lethrinus nebulosus,40,5,3866.5312,5,1
-24_152__2015,Lethrinus nebulosus,40,1,773.3062,1,1
-21_115__2013,Lethrinus nebulosus,30,3,2642.0634,7,0.42857142857142855
-21_115__2013,Lethrinus nebulosus,25,1,302.0807,7,0.14285714285714285
-21_117__2013,Lethrinus nebulosus,30,1,440.3439,3,0.3333333333333333
-21_117__2013,Lethrinus nebulosus,25,2,604.1614,3,0.6666666666666666
-19_152__2016,Lethrinus nebulosus,50,1,1519.3082,1,1
-34_151__2015,Lethrinus nebulosus,40,1,773.3062,1,1
-34_151__2016,Lethrinus nebulosus,35,1.5,1829.8619999999999,6.5,0.23076923076923078
-23_114__2016,Lethrinus nebulosus,35,1.5,3659.7239,24.833333333333332,0.06040268456375839
-23_114__2016,Lethrinus nebulosus,20,2.3333333333333335,1391.5289,24.833333333333332,0.09395973154362418
-23_114__2016,Lethrinus nebulosus,30,7,18494.4443,24.833333333333332,0.2818791946308725
-23_114__2016,Lethrinus nebulosus,15,3.5,643.2248999999999,24.833333333333332,0.14093959731543626
-23_114__2016,Lethrinus nebulosus,25,6,3624.9685,24.833333333333332,0.24161073825503357
-23_114__2016,Lethrinus nebulosus,40,1.5,2319.9186,24.833333333333332,0.06040268456375839
-22_114__2016,Lethrinus nebulosus,40,2,1546.6124,4,0.5
-23_114__2016,Lethrinus nebulosus,50,1,1519.3082,24.833333333333332,0.04026845637583893
-22_114__2016,Lethrinus nebulosus,30,2,880.6878,4,0.5
-23_114__2016,Lethrinus nebulosus,7.5,2,23.1321,24.833333333333332,0.08053691275167786
-34_151__2014,Lethrinus nebulosus,20,1.5,596.3695,2.5,0.6
-34_151__2014,Lethrinus nebulosus,40,1,773.3062,2.5,0.4
-32_159__2016,Lethrinus nebulosus,25,28,16916.5204,91,0.3076923076923077
-32_159__2016,Lethrinus nebulosus,30,36,31704.7619,91,0.3956043956043956
-32_159__2016,Lethrinus nebulosus,50,2.3333333333333335,10635.1579,91,0.025641025641025644
-32_159__2016,Lethrinus nebulosus,62.5,3.6666666666666665,32568.632400000002,91,0.04029304029304029
-32_159__2016,Lethrinus nebulosus,40,2,3093.2249,91,0.02197802197802198
-32_159__2016,Lethrinus nebulosus,35,1,609.954,91,0.01098901098901099
-32_159__2016,Lethrinus nebulosus,20,14,2783.0577000000003,91,0.15384615384615385
-32_159__2016,Lethrinus nebulosus,15,4,367.5571,91,0.04395604395604396
-16_148__2016,Lethrinus nebulosus,50,2,3038.6165,2,1
-15_145__2017,Lethrinus nebulosus,30,1,440.3439,1,1
-12_143__2016,Lethrinus nebulosus,30,13,11448.941700000001,13,1
-32_159__2018,Lethrinus nebulosus,35,2,2439.8159,27.5,0.07272727272727272
-29_159__2018,Lethrinus nebulosus,35,1,609.954,6.666666666666667,0.15
-29_159__2018,Lethrinus nebulosus,40,1.6666666666666667,3866.531,6.666666666666667,0.25
-29_159__2018,Lethrinus nebulosus,20,2,397.5797,6.666666666666667,0.3
-29_159__2018,Lethrinus nebulosus,25,1,302.0807,6.666666666666667,0.15
-29_159__2018,Lethrinus nebulosus,50,1,1519.3082,6.666666666666667,0.15
-23_152__2017,Lethrinus nebulosus,50,1,1519.3082,3,0.3333333333333333
-23_152__2017,Lethrinus nebulosus,62.5,2,5921.5693,3,0.6666666666666666
-20_149__2017,Lethrinus nebulosus,62.5,2,5921.5693,6,0.3333333333333333
-20_149__2017,Lethrinus nebulosus,75,3,15387.235,6,0.5
-22_152__2017,Lethrinus nebulosus,50,1,1519.3082,1,1
-20_149__2017,Lethrinus nebulosus,50,1,1519.3082,6,0.16666666666666666
-23_114__2017,Lethrinus nebulosus,25,2.6666666666666665,4833.2913,24.666666666666668,0.1081081081081081
-23_114__2017,Lethrinus nebulosus,20,6,7156.4341,24.666666666666668,0.24324324324324323
-23_114__2017,Lethrinus nebulosus,35,2.1666666666666665,7929.402,24.666666666666668,0.08783783783783783
-23_114__2017,Lethrinus nebulosus,30,2,3522.7512,24.666666666666668,0.08108108108108107
-23_114__2017,Lethrinus nebulosus,40,1.3333333333333333,3093.2248,24.666666666666668,0.05405405405405405
-23_114__2017,Lethrinus nebulosus,50,1.5,4557.9247,24.666666666666668,0.06081081081081081
-23_114__2017,Lethrinus nebulosus,7.5,2,23.1322,24.666666666666668,0.08108108108108107
-23_114__2017,Lethrinus nebulosus,10,3,82.0112,24.666666666666668,0.12162162162162161
-23_114__2017,Lethrinus nebulosus,12.5,1,106.5474,24.666666666666668,0.040540540540540536
-23_114__2017,Lethrinus nebulosus,15,2,551.3357,24.666666666666668,0.08108108108108107
-23_114__2017,Lethrinus nebulosus,5,1,3.4409,24.666666666666668,0.040540540540540536
-22_114__2017,Lethrinus nebulosus,25,1,604.1614,1,1
-34_151__2017,Lethrinus nebulosus,35,1,609.954,2,0.5
-34_151__2017,Lethrinus nebulosus,20,1,198.7898,2,0.5
-34_151__2016,Lethrinus nebulosus,30,1,440.3439,6.5,0.15384615384615385
-34_151__2016,Lethrinus nebulosus,40,1,773.3062,6.5,0.15384615384615385
-34_151__2016,Lethrinus nebulosus,10,2,54.6741,6.5,0.3076923076923077
-34_151__2016,Lethrinus nebulosus,25,1,302.0807,6.5,0.15384615384615385
-32_159__2018,Lethrinus nebulosus,20,4,795.1594,27.5,0.14545454545454545
-32_159__2018,Lethrinus nebulosus,25,5.5,3322.8878,27.5,0.2
-32_159__2018,Lethrinus nebulosus,30,2,880.6878,27.5,0.07272727272727272
-32_159__2018,Lethrinus nebulosus,62.5,1,2960.7847,27.5,0.03636363636363636
-32_159__2018,Lethrinus nebulosus,50,6,18231.699500000002,27.5,0.21818181818181817
-32_159__2018,Lethrinus nebulosus,40,7,5413.1436,27.5,0.2545454545454545
-32_159__2006,Lethrinus nebulosus,40,3,2319.9187,30,0.1
-32_159__2008,Lethrinus nebulosus,20,10,1987.8984,36.5,0.273972602739726
-32_159__2008,Lethrinus nebulosus,25,4.5,2718.7264999999998,36.5,0.1232876712328767
-32_159__2008,Lethrinus nebulosus,30,15,6605.1587,36.5,0.410958904109589
-32_159__2008,Lethrinus nebulosus,35,3,3659.7239999999997,36.5,0.0821917808219178
-32_159__2008,Lethrinus nebulosus,40,3,2319.9187,36.5,0.0821917808219178
-32_159__2008,Lethrinus nebulosus,50,1,1519.3082,36.5,0.0273972602739726
-32_159__2006,Lethrinus nebulosus,25,2,604.1614,30,0.06666666666666667
-34_151__2018,Lethrinus nebulosus,7.5,2,23.1321,4,0.5
-20_149__2018,Lethrinus nebulosus,35,6,3659.7239,31,0.1935483870967742
-20_149__2018,Lethrinus nebulosus,40,25,19332.656,31,0.8064516129032258
-21_149__2018,Lethrinus nebulosus,40,2,1546.6124,2,1
-14_125__2018,Lethrinus nebulosus,30,1,440.3439,1,1
-14_126__2019,Lethrinus nebulosus,40,1,773.3062,1,1
-16_123__2018,Lethrinus nebulosus,30,1,440.3439,1,1
-15_123__2018,Lethrinus nebulosus,35,1,609.954,1,1
