gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-17_146__2010,Lutjanus carponotatus,25,1.25,2520.928,5.75,0.21739130434782608
-17_146__2010,Lutjanus carponotatus,30,1.5,1099.6536,5.75,0.2608695652173913
-17_146__2010,Lutjanus carponotatus,12.5,1,44.9771,5.75,0.17391304347826086
-17_146__2010,Lutjanus carponotatus,20,1,499.0779,5.75,0.17391304347826086
-26_114__2010,Lutjanus carponotatus,12.5,1,44.9771,7,0.14285714285714285
-26_114__2010,Lutjanus carponotatus,15,3,231.8893,7,0.42857142857142855
-26_114__2010,Lutjanus carponotatus,20,3,499.078,7,0.42857142857142855
-22_114__2010,Lutjanus carponotatus,30,1,1099.6536,4,0.25
-21_117__2010,Lutjanus carponotatus,12.5,1.8888888888888888,764.6104,56.01565500203271,0.03372073197787912
-21_117__2010,Lutjanus carponotatus,15,4.636363636363637,3942.1179,56.01565500203271,0.08276906940024875
-21_117__2010,Lutjanus carponotatus,20,10.631578947368421,33604.586800000005,56.01565500203271,0.18979656574546205
-21_117__2010,Lutjanus carponotatus,25,8.058823529411764,34536.713899999995,56.01565500203271,0.14386734439005175
-21_117__2010,Lutjanus carponotatus,30,6.9,25292.0337,56.01565500203271,0.12317985034272315
-21_117__2010,Lutjanus carponotatus,10,1.5,278.1949,56.01565500203271,0.026778228335374597
-22_114__2010,Lutjanus carponotatus,20,1,166.3593,4,0.25
-22_114__2010,Lutjanus carponotatus,15,1,77.2964,4,0.25
-21_117__2010,Lutjanus carponotatus,5,1,2.9588,56.01565500203271,0.017852152223583065
-21_117__2010,Lutjanus carponotatus,35,8.4,21278.5741,56.01565500203271,0.14995807867809774
-21_117__2010,Lutjanus carponotatus,7.5,4,39.4602,56.01565500203271,0.07140860889433226
-21_116__2010,Lutjanus carponotatus,7.5,4,39.4603,20.5,0.1951219512195122
-21_116__2010,Lutjanus carponotatus,30,1,1099.6536,20.5,0.04878048780487805
-21_116__2010,Lutjanus carponotatus,35,1,506.6327,20.5,0.04878048780487805
-21_116__2010,Lutjanus carponotatus,5,1,2.9588,20.5,0.04878048780487805
-21_116__2010,Lutjanus carponotatus,10,2,46.3659,20.5,0.0975609756097561
-21_116__2010,Lutjanus carponotatus,25,2,1512.5568,20.5,0.0975609756097561
-21_116__2010,Lutjanus carponotatus,15,4.5,695.6678999999999,20.5,0.21951219512195122
-21_116__2010,Lutjanus carponotatus,20,5,1663.5934,20.5,0.24390243902439024
-16_123__2010,Lutjanus carponotatus,7.5,4.5,177.57129999999998,29.34404761904762,0.15335307720394337
-16_123__2010,Lutjanus carponotatus,10,2.2857142857142856,370.9267,29.34404761904762,0.07789362651628869
-16_123__2010,Lutjanus carponotatus,12.5,2.2222222222222223,899.5414,29.34404761904762,0.075729914668614
-16_123__2010,Lutjanus carponotatus,15,3.6666666666666665,2550.7824,29.34404761904762,0.12495435920321311
-16_123__2010,Lutjanus carponotatus,20,5.625,7486.1705,29.34404761904762,0.19169134650492922
-16_123__2010,Lutjanus carponotatus,25,4.444444444444445,10083.7121,29.34404761904762,0.151459829337228
-16_123__2010,Lutjanus carponotatus,30,2.6,9530.3315,29.34404761904762,0.08860400016227839
-21_117__2010,Lutjanus carponotatus,40,9,5771.661,56.01565500203271,0.16066937001224757
-16_123__2010,Lutjanus carponotatus,5,2,5.9175,29.34404761904762,0.06815692320175261
-22_114__2010,Lutjanus carponotatus,25,1,504.1856,4,0.25
-16_123__2010,Lutjanus carponotatus,35,2,1013.2654,29.34404761904762,0.06815692320175261
-23_114__2010,Lutjanus carponotatus,20,1,166.3593,2,0.5
-22_114__2008,Lutjanus carponotatus,20,2,332.7186,2,1
-23_114__2010,Lutjanus carponotatus,30,1,366.5512,2,0.5
-20_118__2010,Lutjanus carponotatus,20,25,4158.9834,211,0.11848341232227488
-20_118__2010,Lutjanus carponotatus,25,57,14369.29,211,0.27014218009478674
-20_118__2010,Lutjanus carponotatus,30,71,26025.135000000002,211,0.33649289099526064
-20_118__2010,Lutjanus carponotatus,35,30,15198.981,211,0.14218009478672985
-20_118__2010,Lutjanus carponotatus,40,25,16032.393,211,0.11848341232227488
-20_118__2010,Lutjanus carponotatus,15,3,231.8893,211,0.014218009478672985
-20_119__2010,Lutjanus carponotatus,25,4,1008.3712,36,0.1111111111111111
-20_119__2010,Lutjanus carponotatus,30,3,1099.6537,36,0.08333333333333333
-20_119__2010,Lutjanus carponotatus,35,3,1519.8981,36,0.08333333333333333
-20_119__2010,Lutjanus carponotatus,40,3,1923.8871,36,0.08333333333333333
-20_119__2010,Lutjanus carponotatus,12.5,2,89.9541,36,0.05555555555555555
-20_119__2010,Lutjanus carponotatus,15,11,850.2607,36,0.3055555555555556
-20_119__2010,Lutjanus carponotatus,20,10,1663.5934,36,0.2777777777777778
-26_113__2010,Lutjanus carponotatus,12.5,1,44.9771,4,0.25
-26_113__2010,Lutjanus carponotatus,20,2,332.7187,4,0.5
-26_113__2010,Lutjanus carponotatus,25,1,252.0928,4,0.25
-12_131__2008,Lutjanus carponotatus,25,7,3529.2992,111.16666666666667,0.06296851574212893
-12_131__2009,Lutjanus carponotatus,30,3,2199.3072,65.17857142857143,0.046027397260273974
-12_131__2009,Lutjanus carponotatus,40,20,12825.914,65.17857142857143,0.30684931506849317
-12_131__2009,Lutjanus carponotatus,5,5,118.3503,65.17857142857143,0.07671232876712329
-12_131__2009,Lutjanus carponotatus,7.5,10,789.2058,65.17857142857143,0.15342465753424658
-12_131__2009,Lutjanus carponotatus,15,6,2782.6713999999997,65.17857142857143,0.09205479452054795
-12_131__2009,Lutjanus carponotatus,10,12.428571428571429,2016.9153000000001,65.17857142857143,0.19068493150684931
-12_131__2009,Lutjanus carponotatus,12.5,4.75,854.5643,65.17857142857143,0.07287671232876712
-13_131__2009,Lutjanus carponotatus,7.5,3,29.5952,4,0.75
-13_131__2009,Lutjanus carponotatus,12.5,1,44.9771,4,0.25
-12_131__2009,Lutjanus carponotatus,20,1,166.3593,65.17857142857143,0.015342465753424657
-12_131__2009,Lutjanus carponotatus,25,1,252.0928,65.17857142857143,0.015342465753424657
-12_131__2010,Lutjanus carponotatus,20,3,998.156,18.5,0.16216216216216217
-12_131__2010,Lutjanus carponotatus,25,4.5,2268.8352,18.5,0.24324324324324326
-12_131__2010,Lutjanus carponotatus,5,2,5.9175,18.5,0.10810810810810811
-12_131__2010,Lutjanus carponotatus,10,3,139.0976,18.5,0.16216216216216217
-12_131__2010,Lutjanus carponotatus,15,2,309.1858,18.5,0.10810810810810811
-12_131__2010,Lutjanus carponotatus,12.5,3,134.9312,18.5,0.16216216216216217
-12_131__2010,Lutjanus carponotatus,7.5,1,19.7302,18.5,0.05405405405405406
-12_131__2008,Lutjanus carponotatus,12.5,5.5,989.4955,111.16666666666667,0.04947526236881559
-12_131__2008,Lutjanus carponotatus,10,16.666666666666668,1159.1468,111.16666666666667,0.14992503748125938
-12_131__2008,Lutjanus carponotatus,87.5,3,19903.82,111.16666666666667,0.026986506746626684
-12_131__2008,Lutjanus carponotatus,20,11.666666666666666,5822.577,111.16666666666667,0.10494752623688156
-12_131__2008,Lutjanus carponotatus,15,6.333333333333333,1468.6321,111.16666666666667,0.05697151424287856
-12_131__2009,Lutjanus carponotatus,2.5,2,0.7552,65.17857142857143,0.030684931506849315
-12_131__2008,Lutjanus carponotatus,7.5,60,591.9045000000001,111.16666666666667,0.5397301349325337
-12_131__2008,Lutjanus carponotatus,30,1,366.5512,111.16666666666667,0.008995502248875561
-15_145__2010,Lutjanus carponotatus,15,1,77.2964,9.5,0.10526315789473684
-15_145__2010,Lutjanus carponotatus,25,1.5,2268.8352,9.5,0.15789473684210525
-15_145__2010,Lutjanus carponotatus,20,1.5,998.1559,9.5,0.15789473684210525
-15_145__2010,Lutjanus carponotatus,10,1,23.1829,9.5,0.10526315789473684
-17_146__2010,Lutjanus carponotatus,15,1,77.2964,5.75,0.17391304347826086
-15_145__2010,Lutjanus carponotatus,30,1.5,2199.3072,9.5,0.15789473684210525
-15_145__2010,Lutjanus carponotatus,35,2,1013.2654,9.5,0.21052631578947367
-15_145__2010,Lutjanus carponotatus,12.5,1,44.9771,9.5,0.10526315789473684
-23_151__2010,Lutjanus carponotatus,25,1.25,1260.464,10.333333333333334,0.12096774193548386
-23_151__2010,Lutjanus carponotatus,20,1.25,831.7966,10.333333333333334,0.12096774193548386
-23_151__2010,Lutjanus carponotatus,12.5,2,539.7248999999999,10.333333333333334,0.1935483870967742
-18_146__2010,Lutjanus carponotatus,25,5.615384615384615,18402.7754,16.798717948717947,0.33427459360451806
-18_146__2010,Lutjanus carponotatus,20,3.25,4325.3427,16.798717948717947,0.1934671449286423
-18_146__2010,Lutjanus carponotatus,30,1.6,2932.4096,16.798717948717947,0.09524536365717776
-23_151__2010,Lutjanus carponotatus,7.5,1,19.7302,10.333333333333334,0.0967741935483871
-18_146__2010,Lutjanus carponotatus,15,1.3333333333333333,309.1857,16.798717948717947,0.07937113638098146
-18_146__2010,Lutjanus carponotatus,12.5,2,89.9541,16.798717948717947,0.1190567045714722
-23_151__2010,Lutjanus carponotatus,15,1.3333333333333333,618.3713,10.333333333333334,0.12903225806451613
-23_151__2010,Lutjanus carponotatus,5,1,2.9588,10.333333333333334,0.0967741935483871
-23_151__2010,Lutjanus carponotatus,35,1,506.6327,10.333333333333334,0.0967741935483871
-23_151__2010,Lutjanus carponotatus,10,1.5,69.5488,10.333333333333334,0.14516129032258063
-18_146__2010,Lutjanus carponotatus,35,2,1013.2654,16.798717948717947,0.1190567045714722
-18_146__2010,Lutjanus carponotatus,10,1,23.1829,16.798717948717947,0.0595283522857361
-16_139__2010,Lutjanus carponotatus,12.5,3,404.79359999999997,22.46666666666667,0.13353115727002965
-16_139__2010,Lutjanus carponotatus,15,3,1391.3357999999998,22.46666666666667,0.13353115727002965
-16_139__2010,Lutjanus carponotatus,25,3.8,4789.763199999999,22.46666666666667,0.1691394658753709
-16_139__2010,Lutjanus carponotatus,10,2,139.0976,22.46666666666667,0.08902077151335311
-16_139__2010,Lutjanus carponotatus,20,4.166666666666667,4158.9834,22.46666666666667,0.18545994065281898
-16_139__2010,Lutjanus carponotatus,30,2.5,1832.7559999999999,22.46666666666667,0.11127596439169138
-16_139__2010,Lutjanus carponotatus,35,2,2026.5308,22.46666666666667,0.08902077151335311
-16_139__2010,Lutjanus carponotatus,40,2,1282.5914,22.46666666666667,0.08902077151335311
-16_140__2010,Lutjanus carponotatus,15,3.875,2396.1891,20.575,0.18833535844471447
-16_140__2010,Lutjanus carponotatus,20,4.8,3992.6241,20.575,0.2332928311057108
-16_140__2010,Lutjanus carponotatus,25,3.4,4285.5777,20.575,0.1652490886998785
-16_140__2010,Lutjanus carponotatus,10,2,185.4635,20.575,0.09720534629404617
-16_140__2010,Lutjanus carponotatus,12.5,3.3333333333333335,899.5412,20.575,0.16200891049007696
-16_140__2010,Lutjanus carponotatus,30,1.6666666666666667,1832.7559999999999,20.575,0.08100445524503848
-20_148__2010,Lutjanus carponotatus,7.5,2,39.4603,4.5,0.4444444444444444
-16_140__2010,Lutjanus carponotatus,35,1.5,1519.8980999999999,20.575,0.07290400972053464
-20_148__2010,Lutjanus carponotatus,10,1.5,69.5488,4.5,0.3333333333333333
-20_148__2010,Lutjanus carponotatus,5,1,2.9588,4.5,0.2222222222222222
-25_152__2010,Lutjanus carponotatus,7.5,1.5,29.5953,4.166666666666667,0.36
-25_152__2010,Lutjanus carponotatus,10,1.6666666666666667,115.91470000000001,4.166666666666667,0.39999999999999997
-25_152__2010,Lutjanus carponotatus,5,1,2.9588,4.166666666666667,0.24
-20_149__2010,Lutjanus carponotatus,25,2,1008.3712,3,0.6666666666666666
-20_149__2010,Lutjanus carponotatus,15,1,77.2964,3,0.3333333333333333
-19_148__2012,Lutjanus carponotatus,30,1,366.5512,2,0.5
-19_148__2012,Lutjanus carponotatus,20,1,166.3593,2,0.5
