gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-20_119__2010,Lutjanus sebae,35,1,611.654,1,1
-15_145__2010,Lutjanus sebae,20,1,196.3763,1,1
-18_146__2010,Lutjanus sebae,30,1,879.3012,2,0.5
-18_146__2010,Lutjanus sebae,35,1,611.654,2,0.5
-23_151__2010,Lutjanus sebae,30,1,439.6506,4,0.25
-23_151__2010,Lutjanus sebae,40,1,777.9271,4,0.25
-23_151__2010,Lutjanus sebae,15,2,179.6827,4,0.5
-16_139__2010,Lutjanus sebae,30,1,439.6506,3,0.3333333333333333
-16_140__2010,Lutjanus sebae,50,1,1542.2577000000001,1,1
-16_139__2010,Lutjanus sebae,25,1,300.0883,3,0.3333333333333333
-16_139__2010,Lutjanus sebae,35,1,611.654,3,0.3333333333333333
-12_143__2013,Lutjanus sebae,25,1,300.0883,2,0.5
-12_143__2013,Lutjanus sebae,30,1,439.6506,2,0.5
-11_137__2013,Lutjanus sebae,62.5,1,3032.4543,1,1
-12_137__2013,Lutjanus sebae,50,1,1542.2577000000001,1,1
-21_116__2013,Lutjanus sebae,35,1,611.654,1,1
-19_146__2015,Lutjanus sebae,30,1,439.6506,2,0.5
-19_146__2015,Lutjanus sebae,35,1,611.654,2,0.5
-18_146__2015,Lutjanus sebae,40,1,777.9271,1,1
-24_152__2015,Lutjanus sebae,25,1,300.0883,1,1
-12_137__2015,Lutjanus sebae,30,1,439.6506,1,1
-16_139__2015,Lutjanus sebae,35,1,611.654,3,0.3333333333333333
-16_139__2015,Lutjanus sebae,40,2,1555.8542,3,0.6666666666666666
-16_140__2015,Lutjanus sebae,35,2,1223.308,5,0.4
-16_140__2015,Lutjanus sebae,62.5,1,3032.4543,5,0.2
-16_140__2015,Lutjanus sebae,30,2,879.3012,5,0.4
-15_140__2015,Lutjanus sebae,50,2,3084.5154000000002,4,0.5
-15_140__2015,Lutjanus sebae,40,2,1555.8542,4,0.5
-10_143__2015,Lutjanus sebae,35,2,1223.308,2,1
-10_144__2015,Lutjanus sebae,35,1,611.654,1,1
-11_143__2015,Lutjanus sebae,40,1,777.9271,2.5,0.4
-11_143__2015,Lutjanus sebae,30,1.5,1318.9518,2.5,0.6
-11_143__2016,Lutjanus sebae,30,1,879.3012,3,0.3333333333333333
-24_152__2017,Lutjanus sebae,50,2,3084.5154000000002,2,1
-11_143__2016,Lutjanus sebae,25,1,300.0883,3,0.3333333333333333
-11_143__2016,Lutjanus sebae,35,1,611.654,3,0.3333333333333333
-15_145__2017,Lutjanus sebae,35,2,1223.308,2,1
-22_150__2017,Lutjanus sebae,30,2,879.3012,2,1
-19_148__2017,Lutjanus sebae,40,1,777.9271,1,1
-21_149__2020,Lutjanus sebae,35,3.6666666666666665,6728.1939,6.666666666666666,0.55
-21_149__2020,Lutjanus sebae,30,3,1318.9518,6.666666666666666,0.45000000000000007
-11_135__2021,Lutjanus sebae,25,2,600.1766,2,1
-20_149__2020,Lutjanus sebae,35,1,611.654,1,1
-12_143__2020,Lutjanus sebae,35,1,611.654,1,1
-15_145__2020,Lutjanus sebae,35,1,611.654,1,1
-21_149__2022,Lutjanus sebae,30,1,439.6506,1,1
-23_152__2022,Lutjanus sebae,40,2,1555.8541,3,0.6666666666666666
-23_152__2022,Lutjanus sebae,30,1,439.6506,3,0.3333333333333333
-11_134__2021,Lutjanus sebae,35,2,1223.308,2,1
