gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-43_148__2009,Mendosoma lineatum,25,2,505.8218,2,1
-43_146__2006,Mendosoma lineatum,35,5,3900.5290999999997,5,1
-44_146__1994,Mendosoma lineatum,30,30,17143.0356,30,1
-43_148__1996,Mendosoma lineatum,15,2,255.7726,3,0.6666666666666666
-43_148__1996,Mendosoma lineatum,10,1,80.3248,3,0.3333333333333333
-42_148__2006,Mendosoma lineatum,15,25,3197.1573000000003,117,0.21367521367521367
-42_148__2006,Mendosoma lineatum,20,52,13899.322,117,0.4444444444444444
-42_148__2006,Mendosoma lineatum,25,40,15946.4902,117,0.3418803418803419
-43_147__2006,Mendosoma lineatum,30,1,571.4345,1,1
-43_148__2006,Mendosoma lineatum,35,120,93612.698,120,1
-44_146__2013,Mendosoma lineatum,20,118.66666666666667,95156.89660000001,118.66666666666667,1
-42_148__2014,Mendosoma lineatum,25,70,27906.357,70,1
-43_148__2021,Mendosoma lineatum,12.5,26.5,2323.1214,54.5,0.48623853211009177
-43_148__2021,Mendosoma lineatum,20,3,994.4123999999999,54.5,0.05504587155963303
-43_148__2021,Mendosoma lineatum,15,25,1900.4805,54.5,0.45871559633027525
