gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-36_150__2010,Nemadactylus douglasii,62.5,1,10267.124,3,0.3333333333333333
-32_153__2009,Nemadactylus douglasii,30,1.6666666666666667,3697.7219999999998,57.00952380952381,0.02923488138990979
-32_153__2009,Nemadactylus douglasii,35,1.1428571428571428,4119.9855,57.00952380952381,0.020046775810223853
-35_151__2009,Nemadactylus douglasii,40,1,1966.5486,7.833333333333334,0.1276595744680851
-35_151__2009,Nemadactylus douglasii,20,1,1153.0778,7.833333333333334,0.1276595744680851
-35_151__2009,Nemadactylus douglasii,25,1.1666666666666667,1764.5194,7.833333333333334,0.14893617021276595
-35_151__2009,Nemadactylus douglasii,30,1.5,1109.3166,7.833333333333334,0.19148936170212766
-35_151__2010,Nemadactylus douglasii,30,1.5,4437.2665,10.5,0.14285714285714285
-35_151__2010,Nemadactylus douglasii,35,1,2574.991,10.5,0.09523809523809523
-35_151__2008,Nemadactylus douglasii,30,1.1666666666666667,2588.4054,4.666666666666667,0.25
-35_151__2008,Nemadactylus douglasii,40,1,1311.0324,4.666666666666667,0.21428571428571427
-35_151__2008,Nemadactylus douglasii,50,1,1302.5139,4.666666666666667,0.21428571428571427
-35_151__2009,Nemadactylus douglasii,35,1.1666666666666667,3604.9873,7.833333333333334,0.14893617021276595
-35_151__2009,Nemadactylus douglasii,50,1,3907.5416999999998,7.833333333333334,0.1276595744680851
-36_150__2008,Nemadactylus douglasii,35,1,514.9982,2.5,0.4
-32_153__2009,Nemadactylus douglasii,25,2.2,2772.8159,57.00952380952381,0.03859004343468092
-32_153__2009,Nemadactylus douglasii,40,1,1966.5486,57.00952380952381,0.01754092883394587
-32_153__2009,Nemadactylus douglasii,15,25,1879.1741,57.00952380952381,0.4385232208486468
-32_153__2009,Nemadactylus douglasii,20,25,4118.1353,57.00952380952381,0.4385232208486468
-36_150__2010,Nemadactylus douglasii,50,1,1302.5139,3,0.3333333333333333
-37_150__2008,Nemadactylus douglasii,35,1.6666666666666667,5149.9817,7.7023809523809526,0.21638330757341576
-36_150__2008,Nemadactylus douglasii,40,1.5,1966.5485,2.5,0.6
-32_153__2009,Nemadactylus douglasii,50,1,1302.5139,57.00952380952381,0.01754092883394587
-32_153__2010,Nemadactylus douglasii,20,1,164.7254,1,1
-37_150__2008,Nemadactylus douglasii,15,1,75.167,7.7023809523809526,0.12982998454404945
-37_150__2008,Nemadactylus douglasii,25,1.5,756.2225,7.7023809523809526,0.1947449768160742
