gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-36_150__2008,Notolabrus tetricus,12.5,1.5,196.62269999999998,3.5,0.42857142857142855
-36_150__2008,Notolabrus tetricus,15,2,226.0967,3.5,0.5714285714285714
-36_150__2010,Notolabrus tetricus,35,2.25,13507.3184,9.807142857142857,0.2294246176256373
-36_150__2010,Notolabrus tetricus,30,1.8,4875.6672,9.807142857142857,0.18353969410050985
-36_150__2010,Notolabrus tetricus,25,1.8571428571428572,4831.3213000000005,9.807142857142857,0.18936635105608157
-37_150__2008,Notolabrus tetricus,15,1.75,791.3386,17.46666666666667,0.10019083969465647
-37_150__2008,Notolabrus tetricus,5,1.75,29.6326,17.46666666666667,0.10019083969465647
-37_150__2008,Notolabrus tetricus,7.5,1.2,85.3759,17.46666666666667,0.06870229007633587
-37_150__2008,Notolabrus tetricus,12.5,1.5,196.62269999999998,17.46666666666667,0.08587786259541984
-37_150__2008,Notolabrus tetricus,20,1.7,4157.5998,17.46666666666667,0.09732824427480914
-37_150__2008,Notolabrus tetricus,25,1.6666666666666667,5574.6015,17.46666666666667,0.09541984732824427
-37_150__2008,Notolabrus tetricus,30,1.6,4333.9264,17.46666666666667,0.0916030534351145
-37_150__2008,Notolabrus tetricus,35,1.8,6753.6592,17.46666666666667,0.10305343511450381
-37_150__2008,Notolabrus tetricus,50,2,7476.622,17.46666666666667,0.11450381679389311
-37_150__2008,Notolabrus tetricus,40,1.5,8562.3616,17.46666666666667,0.08587786259541984
-37_150__2008,Notolabrus tetricus,10,1,33.6319,17.46666666666667,0.057251908396946556
-36_150__2010,Notolabrus tetricus,15,1,113.0484,9.807142857142857,0.10196649672250546
-36_150__2010,Notolabrus tetricus,40,1.4,6659.614500000001,9.807142857142857,0.14275309541150763
-36_150__2010,Notolabrus tetricus,20,1.5,733.6940999999999,9.807142857142857,0.1529497450837582
-37_150__2011,Notolabrus tetricus,25,2,743.2802,9.166666666666666,0.2181818181818182
-37_150__2011,Notolabrus tetricus,30,1.6666666666666667,2708.704,9.166666666666666,0.18181818181818185
-37_150__2011,Notolabrus tetricus,35,2.5,3752.0328,9.166666666666666,0.27272727272727276
-37_150__2011,Notolabrus tetricus,15,1,113.0484,9.166666666666666,0.1090909090909091
-37_150__2011,Notolabrus tetricus,40,1,951.3735,9.166666666666666,0.1090909090909091
-37_150__2011,Notolabrus tetricus,20,1,244.5647,9.166666666666666,0.1090909090909091
-36_150__2011,Notolabrus tetricus,20,1.5,733.6940999999999,5.833333333333333,0.2571428571428572
-36_150__2011,Notolabrus tetricus,40,1.3333333333333333,3805.494,5.833333333333333,0.22857142857142856
-36_150__2011,Notolabrus tetricus,30,1,541.7408,5.833333333333333,0.17142857142857143
-38_144__2010,Notolabrus tetricus,35,1,750.4066,1,1
-38_145__2009,Notolabrus tetricus,12.5,5.11214953271028,35850.872299999995,38.657972421256375,0.13224049820831593
-38_145__2009,Notolabrus tetricus,15,5.815126050420168,78229.4738,38.657972421256375,0.15042501420024496
-38_145__2009,Notolabrus tetricus,20,4.257425742574258,105162.8135,38.657972421256375,0.11013060116503369
-38_145__2009,Notolabrus tetricus,25,3.4523809523809526,107775.6282,38.657972421256375,0.08930579479855584
-38_145__2009,Notolabrus tetricus,30,2.8548387096774195,95888.1214,38.657972421256375,0.07384864054866119
-38_145__2009,Notolabrus tetricus,35,2.5813953488372094,83295.1294,38.657972421256375,0.06677523902981032
-38_145__2009,Notolabrus tetricus,10,3.5,9652.3554,38.657972421256375,0.09053759886474282
-38_145__2009,Notolabrus tetricus,40,2.7142857142857144,72304.3878,38.657972421256375,0.07021283177265769
-38_149__2009,Notolabrus tetricus,15,3.5555555555555554,7235.0957,36.886482798247506,0.09639182935935767
-38_149__2009,Notolabrus tetricus,20,5.222222222222222,22989.0802,36.886482798247506,0.14157549937155658
-38_149__2009,Notolabrus tetricus,25,4.176470588235294,26386.4469,36.886482798247506,0.11322496132468668
-38_149__2009,Notolabrus tetricus,30,4.333333333333333,35213.151600000005,36.886482798247506,0.11747754203171715
-38_149__2009,Notolabrus tetricus,35,4.428571428571429,46525.2067,36.886482798247506,0.12005946603241424
-38_149__2009,Notolabrus tetricus,40,4,53276.9182,36.886482798247506,0.10844080802927737
-38_149__2009,Notolabrus tetricus,50,3.4285714285714284,44859.733,36.886482798247506,0.09294926402509489
-38_145__2009,Notolabrus tetricus,50,2.1666666666666665,24299.021500000003,38.657972421256375,0.05604708501150745
-38_145__2009,Notolabrus tetricus,7.5,2.9814814814814814,2290.9225,38.657972421256375,0.07712462125515128
-38_145__2009,Notolabrus tetricus,5,2.2222222222222223,253.9937,38.657972421256375,0.05748418975539226
-38_149__2009,Notolabrus tetricus,12.5,3.3846153846153846,2883.7996,36.886482798247506,0.09175760679400394
-38_149__2009,Notolabrus tetricus,10,1.8571428571428572,437.2147,36.886482798247506,0.05034751801359307
-38_149__2008,Notolabrus tetricus,15,3.0625,5539.3701,35.388415982881924,0.08653961797785444
-38_149__2008,Notolabrus tetricus,20,4.7894736842105265,22255.3863,35.388415982881924,0.13534015443153177
-38_149__2008,Notolabrus tetricus,25,5.315789473684211,37535.6496,35.388415982881924,0.15021269887455724
-38_149__2008,Notolabrus tetricus,30,6.526315789473684,67175.8591,35.388415982881924,0.1844195510935158
-38_149__2008,Notolabrus tetricus,10,1.3333333333333333,403.5828,35.388415982881924,0.03767711258899785
-38_149__2008,Notolabrus tetricus,35,4.117647058823529,52528.459500000004,35.388415982881924,0.11635578887778747
-38_149__2008,Notolabrus tetricus,40,3.4615384615384617,42811.808900000004,35.388415982881924,0.09781558075989827
-38_149__2008,Notolabrus tetricus,12.5,2.1818181818181817,1572.9815999999998,35.388415982881924,0.06165345696381466
-38_150__2008,Notolabrus tetricus,20,3,733.6940999999999,5,0.6
-38_150__2008,Notolabrus tetricus,30,2,1083.4816,5,0.4
-38_149__2008,Notolabrus tetricus,7.5,1,56.9172,35.388415982881924,0.02825783444174839
-38_149__2008,Notolabrus tetricus,50,1.6,14953.244,35.388415982881924,0.04521253510679742
-38_149__2008,Notolabrus tetricus,5,1,4.2332,35.388415982881924,0.02825783444174839
-38_150__2009,Notolabrus tetricus,20,2.7777777777777777,6114.1172,20.439393939393938,0.13590313812700766
-38_150__2009,Notolabrus tetricus,7.5,1,14.2293,20.439393939393938,0.048925129725722764
-38_150__2009,Notolabrus tetricus,12.5,2.6666666666666665,1572.9815999999998,20.439393939393938,0.13046701260192736
-38_150__2009,Notolabrus tetricus,25,2.2222222222222223,7432.8019,20.439393939393938,0.10872251050160614
-38_150__2009,Notolabrus tetricus,30,2,7584.3712000000005,20.439393939393938,0.09785025945144553
-38_150__2009,Notolabrus tetricus,15,4.2727272727272725,5313.2735,20.439393939393938,0.20904373610081542
-38_145__2010,Notolabrus tetricus,30,2.6,28170.5214,31.65300351822091,0.08214070423058974
-38_150__2009,Notolabrus tetricus,10,1.5,100.8957,20.439393939393938,0.07338769458858414
-38_150__2009,Notolabrus tetricus,35,2,10505.6919,20.439393939393938,0.09785025945144553
-38_145__2008,Notolabrus tetricus,10,2.5,1008.9570000000001,45.46161191749427,0.05499145090889232
