gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-32_116__2010,Othos dentex,40,1,423.7,3,0.3333333333333333
-35_118__2009,Othos dentex,50,1,828.6879,3,0.3333333333333333
-35_118__2009,Othos dentex,25,1,166.5561,3,0.3333333333333333
-35_118__2009,Othos dentex,30,1,484.356,3,0.3333333333333333
-32_116__2009,Othos dentex,35,1,334.729,1,1
-32_116__2010,Othos dentex,30,1,242.178,3,0.3333333333333333
-32_116__2010,Othos dentex,50,1,828.6879,3,0.3333333333333333
-32_116__2011,Othos dentex,25,1,166.5561,4,0.25
-32_116__2011,Othos dentex,30,1,484.356,4,0.25
-32_116__2011,Othos dentex,7.5,1,6.5178,4,0.25
-32_116__2011,Othos dentex,35,1,669.458,4,0.25
-32_116__2012,Othos dentex,40,1,847.4,2,0.5
-32_116__2012,Othos dentex,35,1,1004.1869999999999,2,0.5
-36_137__2009,Othos dentex,50,1,828.6879,1,1
-36_138__2005,Othos dentex,30,1,968.712,5.666666666666667,0.1764705882352941
-36_138__2005,Othos dentex,25,1,333.1122,5.666666666666667,0.1764705882352941
-36_138__2006,Othos dentex,25,1,333.1122,3.5,0.2857142857142857
-36_138__2006,Othos dentex,35,1.5,2008.3738999999998,3.5,0.42857142857142855
-36_138__2007,Othos dentex,30,1.3333333333333333,968.7121,3.333333333333333,0.4
-36_138__2005,Othos dentex,35,1,1004.1869999999999,5.666666666666667,0.1764705882352941
-36_138__2005,Othos dentex,40,1.6666666666666667,2118.5,5.666666666666667,0.29411764705882354
-36_138__2007,Othos dentex,35,1,2343.103,3.333333333333333,0.30000000000000004
-36_138__2006,Othos dentex,40,1,423.7,3.5,0.2857142857142857
-36_138__2007,Othos dentex,40,1,423.7,3.333333333333333,0.30000000000000004
-36_138__2005,Othos dentex,50,1,828.6879,5.666666666666667,0.1764705882352941
-35_136__2007,Othos dentex,50,1,828.6879,1,1
-34_120__1997,Othos dentex,75,1,2774.9172,2,0.5
-34_135__2007,Othos dentex,50,1,828.6879,1,1
-34_120__1997,Othos dentex,25,1,166.5561,2,0.5
-34_119__1997,Othos dentex,35,1,1004.1869999999999,2,0.5
-34_119__1997,Othos dentex,50,1,828.6879,2,0.5
-32_133__2009,Othos dentex,25,1,166.5561,2,0.5
-32_133__2009,Othos dentex,50,1,828.6879,2,0.5
-32_134__2009,Othos dentex,30,1,242.178,2,0.5
-32_134__2009,Othos dentex,35,1,334.729,2,0.5
-36_138__2012,Othos dentex,35,1,669.458,1,1
-35_137__2013,Othos dentex,40,1,423.7,1,1
-36_138__2016,Othos dentex,50,1,3314.7516,5,0.2
-36_138__2016,Othos dentex,40,1,1271.1,5,0.2
-36_138__2016,Othos dentex,20,1,109.9125,5,0.2
-36_138__2016,Othos dentex,30,1,242.178,5,0.2
-36_138__2016,Othos dentex,35,1,334.729,5,0.2
-32_116__2013,Othos dentex,35,1,334.729,2,0.5
-32_116__2013,Othos dentex,20,1,109.9125,2,0.5
-35_118__2013,Othos dentex,30,1,242.178,3,0.3333333333333333
-35_118__2013,Othos dentex,35,1,669.458,3,0.3333333333333333
-35_118__2013,Othos dentex,50,1,828.6879,3,0.3333333333333333
-34_123__2014,Othos dentex,35,1,334.729,2,0.5
-34_123__2014,Othos dentex,62.5,1,1607.7323,2,0.5
-32_133__2015,Othos dentex,40,1,847.4,3,0.3333333333333333
-32_133__2015,Othos dentex,75,1,2774.9172,3,0.3333333333333333
-32_133__2015,Othos dentex,35,1,334.729,3,0.3333333333333333
-32_116__2015,Othos dentex,35,1,334.729,2,0.5
-32_116__2015,Othos dentex,125,1,12695.017,2,0.5
-32_116__2014,Othos dentex,35,1,334.729,3,0.3333333333333333
-32_116__2014,Othos dentex,20,1,109.9125,3,0.3333333333333333
-32_116__2014,Othos dentex,40,1,847.4,3,0.3333333333333333
-35_138__2016,Othos dentex,30,1,242.178,1,1
-32_115__2017,Othos dentex,35,1,334.729,2,0.5
-32_115__2017,Othos dentex,40,1,423.7,2,0.5
-34_115__2017,Othos dentex,50,1,2486.0637,2,0.5
-34_115__2017,Othos dentex,40,1,423.7,2,0.5
-32_116__2017,Othos dentex,50,1,828.6879,1,1
