gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-36_150__2010,Pagrus auratus,50,3,5873.3345,6.5,0.46153846153846156
-36_150__2010,Pagrus auratus,25,1.5,1186.8627000000001,6.5,0.23076923076923078
-32_153__2009,Pagrus auratus,15,1.4444444444444444,1583.2528,15.177777777777777,0.0951683748169839
-32_153__2009,Pagrus auratus,40,2,4013.0248,15.177777777777777,0.13177159590043924
-32_153__2009,Pagrus auratus,25,3,7121.1767,15.177777777777777,0.19765739385065886
-32_153__2009,Pagrus auratus,30,1.3333333333333333,4596.1698,15.177777777777777,0.08784773060029283
-32_153__2009,Pagrus auratus,20,2.9,7581.7911,15.177777777777777,0.1910688140556369
-34_151__2009,Pagrus auratus,12.5,11.391304347826088,18600.8022,52.15494071146245,0.21841275615375288
-35_151__2008,Pagrus auratus,12.5,1.4666666666666666,1561.8992,16.586111111111112,0.08842739909562886
-35_151__2008,Pagrus auratus,25,1.8,7121.1763,16.586111111111112,0.10852453525372634
-35_151__2009,Pagrus auratus,12.5,4.444444444444445,2839.8173,15.061111111111112,0.2950940612320177
-35_151__2009,Pagrus auratus,20,2.2,5751.7037,15.061111111111112,0.14607156030984877
-35_151__2009,Pagrus auratus,15,2.8666666666666667,5236.9132,15.061111111111112,0.19033566949465142
-35_151__2009,Pagrus auratus,25,1.3,5143.0719,15.061111111111112,0.08631501291036518
-35_151__2009,Pagrus auratus,30,1.25,2872.6061,15.061111111111112,0.08299520472150497
-35_151__2009,Pagrus auratus,35,1,3172.8636,15.061111111111112,0.06639616377720398
-34_151__2009,Pagrus auratus,15,17.363636363636363,46523.2723,52.15494071146245,0.33292409360979747
-34_151__2009,Pagrus auratus,10,5.666666666666667,3117.4227,52.15494071146245,0.10865062042763025
-34_151__2010,Pagrus auratus,5,1,4.7133,34.266666666666666,0.029182879377431907
-34_151__2010,Pagrus auratus,10,3,550.1335,34.266666666666666,0.08754863813229573
-34_151__2010,Pagrus auratus,7.5,2.5,234.77360000000002,34.266666666666666,0.07295719844357977
-35_151__2010,Pagrus auratus,40,1,1003.2562,15.908899923605805,0.06285789745375095
-34_151__2009,Pagrus auratus,20,8.4,21961.0492,52.15494071146245,0.16105856675154603
-35_151__2010,Pagrus auratus,15,1.4705882352941178,3044.717,15.908899923605805,0.09243808449081023
-35_151__2010,Pagrus auratus,50,1,3915.5562,15.908899923605805,0.06285789745375095
-35_151__2010,Pagrus auratus,20,4.2727272727272725,12287.729800000001,15.908899923605805,0.26857465275693587
-35_151__2010,Pagrus auratus,25,1.2727272727272727,5538.6928,15.908899923605805,0.08000096039568302
-35_151__2010,Pagrus auratus,7.5,1,15.6516,15.908899923605805,0.06285789745375095
-35_151__2010,Pagrus auratus,10,1.75,256.72900000000004,15.908899923605805,0.11000132054406415
-35_151__2010,Pagrus auratus,12.5,1.1428571428571428,567.9633,15.908899923605805,0.07183759709000108
-34_151__2010,Pagrus auratus,20,4.6,6013.1444,34.266666666666666,0.13424124513618677
-34_151__2010,Pagrus auratus,12.5,12.666666666666666,2697.8262,34.266666666666666,0.36964980544747084
-35_151__2008,Pagrus auratus,15,1.375,4019.0266,16.586111111111112,0.08290068665215207
-35_151__2008,Pagrus auratus,20,1.3888888888888888,6536.0271,16.586111111111112,0.08373806732540612
-32_153__2009,Pagrus auratus,12.5,1,141.9908,15.177777777777777,0.06588579795021962
-34_151__2009,Pagrus auratus,30,1.5,1723.5637000000002,52.15494071146245,0.02876045834849036
-30_153__2009,Pagrus auratus,25,1,395.6209,6,0.16666666666666666
-30_153__2009,Pagrus auratus,20,1,522.8822,6,0.16666666666666666
-30_153__2009,Pagrus auratus,40,1,1003.2562,6,0.16666666666666666
-34_151__2010,Pagrus auratus,25,1.5,1186.8627999999999,34.266666666666666,0.043774319066147864
-34_151__2010,Pagrus auratus,30,1,574.5212,34.266666666666666,0.029182879377431907
-34_151__2009,Pagrus auratus,2.5,1,0.6057,52.15494071146245,0.019173638898993574
-33_151__2009,Pagrus auratus,20,1,261.4411,1,1
-36_150__2008,Pagrus auratus,25,1,395.6209,1,1
-36_150__2009,Pagrus auratus,35,1,793.2159,1,1
-30_153__2009,Pagrus auratus,30,1,574.5212,6,0.16666666666666666
-34_151__2010,Pagrus auratus,15,8,2922.9282000000003,34.266666666666666,0.23346303501945526
-34_151__2009,Pagrus auratus,40,2,2006.5123,52.15494071146245,0.03834727779798715
-36_150__2010,Pagrus auratus,30,1,574.5212,6.5,0.15384615384615385
-34_151__2009,Pagrus auratus,25,1.3333333333333333,1582.4836,52.15494071146245,0.025564851865324763
-33_152__2009,Pagrus auratus,15,5.571428571428571,23748.7909,51.2049114331723,0.10880652686412437
-33_152__2009,Pagrus auratus,20,2.6956521739130435,16209.3466,51.2049114331723,0.052644406531806
-32_153__2009,Pagrus auratus,35,1.5,2379.6477,15.177777777777777,0.09882869692532943
-32_153__2009,Pagrus auratus,62.5,1,3789.8071,15.177777777777777,0.06588579795021962
-36_150__2010,Pagrus auratus,20,1,261.4411,6.5,0.15384615384615385
-33_152__2010,Pagrus auratus,10,4.266666666666667,2347.2361,32.15137566137566,0.13270557103384947
-33_152__2009,Pagrus auratus,40,1.5,6019.5372,51.2049114331723,0.029294064924956564
-33_152__2009,Pagrus auratus,25,2.4166666666666665,11473.0069,51.2049114331723,0.0471959934902078
-33_152__2009,Pagrus auratus,12.5,15.25925925925926,29250.1168,51.2049114331723,0.29800382096499023
-33_152__2010,Pagrus auratus,15,3.185185185185185,10473.8259,32.15137566137566,0.09906839504263068
-33_152__2010,Pagrus auratus,20,2.466666666666667,9673.3196,32.15137566137566,0.07672040825394423
-34_151__2009,Pagrus auratus,7.5,3.5,109.561,52.15494071146245,0.06710773614647751
-33_152__2008,Pagrus auratus,20,3,784.3232,97.66666666666667,0.030716723549488054
-33_152__2008,Pagrus auratus,25,2,1582.4838,97.66666666666667,0.020477815699658702
-33_152__2008,Pagrus auratus,40,1,1003.2562,97.66666666666667,0.010238907849829351
-33_152__2008,Pagrus auratus,10,29,2127.1825,97.66666666666667,0.29692832764505117
-33_152__2008,Pagrus auratus,12.5,12.666666666666666,2697.8264,97.66666666666667,0.1296928327645051
-33_152__2008,Pagrus auratus,15,32,3897.2374999999997,97.66666666666667,0.32764505119453924
-33_152__2009,Pagrus auratus,7.5,5.5,516.5022,51.2049114331723,0.10741157139150741
-33_152__2009,Pagrus auratus,10,8.5,5611.3608,51.2049114331723,0.16599970124142052
-33_152__2008,Pagrus auratus,30,2,1149.0425,97.66666666666667,0.020477815699658702
-33_152__2008,Pagrus auratus,7.5,16,250.4253,97.66666666666667,0.16382252559726962
-33_152__2010,Pagrus auratus,12.5,3.84,6815.5615,32.15137566137566,0.11943501393046452
-33_152__2010,Pagrus auratus,50,1,1957.7781,32.15137566137566,0.03110286821105847
-33_152__2010,Pagrus auratus,7.5,5.75,359.98630000000003,32.15137566137566,0.1788414922135862
-33_152__2009,Pagrus auratus,30,2.4285714285714284,9766.8609,51.2049114331723,0.04742848606897729
-33_152__2009,Pagrus auratus,35,4.333333333333333,10311.8064,51.2049114331723,0.08462729867209673
-33_152__2009,Pagrus auratus,50,2,3915.5562,51.2049114331723,0.03905875323327542
-29_154__2010,Pagrus auratus,20,1,261.4411,41.666666666666664,0.024
-29_154__2010,Pagrus auratus,25,3,2373.7255999999998,41.666666666666664,0.07200000000000001
-29_154__2010,Pagrus auratus,30,7,8043.2973999999995,41.666666666666664,0.168
-29_154__2010,Pagrus auratus,35,4.333333333333333,10311.8059,41.666666666666664,0.104
-29_154__2010,Pagrus auratus,40,8,32104.1982,41.666666666666664,0.192
-29_154__2010,Pagrus auratus,15,8,974.3093,41.666666666666664,0.192
-29_154__2010,Pagrus auratus,50,7.333333333333333,43071.1189,41.666666666666664,0.176
-29_154__2010,Pagrus auratus,62.5,3,22738.8423,41.666666666666664,0.07200000000000001
-32_153__2009,Pagrus auratus,10,1,36.6756,15.177777777777777,0.06588579795021962
-33_152__2009,Pagrus auratus,5,1,4.7133,51.2049114331723,0.01952937661663771
-33_152__2010,Pagrus auratus,25,3.142857142857143,8703.6602,32.15137566137566,0.09775187152046948
-33_152__2010,Pagrus auratus,30,6.5,7468.776100000001,32.15137566137566,0.20216864337188006
