gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-17_146__2010,Plectropomus leopardus,40,1,679.5635,3,0.3333333333333333
-17_146__2010,Plectropomus leopardus,35,1,1066.9342,3,0.3333333333333333
-22_114__2010,Plectropomus leopardus,50,2,2706.699,2,1
-28_114__2008,Plectropomus leopardus,15,2,309.48510000000005,14.333333333333334,0.13953488372093023
-28_114__2008,Plectropomus leopardus,40,1,2038.6905,14.333333333333334,0.06976744186046512
-28_114__2008,Plectropomus leopardus,35,1,2133.8684,14.333333333333334,0.06976744186046512
-28_114__2008,Plectropomus leopardus,20,4,1359.9537,14.333333333333334,0.27906976744186046
-28_114__2008,Plectropomus leopardus,25,2.3333333333333335,1823.5084,14.333333333333334,0.16279069767441862
-28_114__2008,Plectropomus leopardus,30,2,2295.6954,14.333333333333334,0.13953488372093023
-23_114__2010,Plectropomus leopardus,35,1,533.4671,1,1
-29_114__2008,Plectropomus leopardus,20,1,339.9884,7,0.14285714285714285
-29_114__2008,Plectropomus leopardus,30,1,382.6159,7,0.14285714285714285
-29_114__2008,Plectropomus leopardus,15,2,309.48510000000005,7,0.2857142857142857
-29_114__2008,Plectropomus leopardus,35,2,1066.9342,7,0.2857142857142857
-29_114__2008,Plectropomus leopardus,40,1,2038.6905,7,0.14285714285714285
-28_114__2008,Plectropomus leopardus,12.5,1,44.3687,14.333333333333334,0.06976744186046512
-28_114__2008,Plectropomus leopardus,62.5,1,2672.917,14.333333333333334,0.06976744186046512
-8_122__2009,Plectropomus leopardus,25,1,260.5012,1,1
-15_145__2010,Plectropomus leopardus,30,1,2295.6954,11.151515151515152,0.08967391304347826
-15_145__2010,Plectropomus leopardus,10,1,22.4647,11.151515151515152,0.08967391304347826
-15_145__2010,Plectropomus leopardus,40,1.8181818181818181,13591.270199999999,11.151515151515152,0.16304347826086954
-17_146__2010,Plectropomus leopardus,30,1,382.6159,3,0.3333333333333333
-15_145__2010,Plectropomus leopardus,35,1.8333333333333333,5868.1383,11.151515151515152,0.16440217391304346
-15_145__2010,Plectropomus leopardus,62.5,1,5345.834,11.151515151515152,0.08967391304347826
-15_145__2010,Plectropomus leopardus,12.5,1,44.3687,11.151515151515152,0.08967391304347826
-15_145__2010,Plectropomus leopardus,25,1,781.5036,11.151515151515152,0.08967391304347826
-15_145__2010,Plectropomus leopardus,50,1.5,4060.0485,11.151515151515152,0.13451086956521738
-15_145__2010,Plectropomus leopardus,20,1,169.9942,11.151515151515152,0.08967391304347826
-18_146__2010,Plectropomus leopardus,30,1,382.6159,4,0.25
-18_146__2010,Plectropomus leopardus,35,1,533.4671,4,0.25
-18_146__2010,Plectropomus leopardus,40,2,1359.1271,4,0.5
-20_149__2010,Plectropomus leopardus,30,1.5,1147.8477,4.5,0.3333333333333333
-20_149__2010,Plectropomus leopardus,35,1,533.4671,4.5,0.2222222222222222
-20_149__2010,Plectropomus leopardus,20,1,169.9942,4.5,0.2222222222222222
-20_149__2010,Plectropomus leopardus,25,1,260.5012,4.5,0.2222222222222222
-19_148__2012,Plectropomus leopardus,35,1,533.4671,3,0.3333333333333333
-18_147__2012,Plectropomus leopardus,40,2,2718.2541,4,0.5
-18_147__2012,Plectropomus leopardus,30,1,382.6159,4,0.25
-19_148__2012,Plectropomus leopardus,30,1,382.6159,3,0.3333333333333333
-19_148__2012,Plectropomus leopardus,15,1,154.7426,3,0.3333333333333333
-18_147__2012,Plectropomus leopardus,50,1,1353.3495,4,0.25
-19_147__2012,Plectropomus leopardus,25,1,260.5012,1,1
-22_114__2012,Plectropomus leopardus,30,1,382.6159,3,0.3333333333333333
-22_114__2012,Plectropomus leopardus,20,2,339.9884,3,0.6666666666666666
32_130__2010,Plectropomus leopardus,12.5,1,44.3687,1,1
-8_157__2011,Plectropomus leopardus,40,1,679.5635,1,1
-19_152__2012,Plectropomus leopardus,40,1.5,2038.6906,4.5,0.3333333333333333
-19_152__2012,Plectropomus leopardus,50,1,2706.699,4.5,0.2222222222222222
-19_152__2012,Plectropomus leopardus,30,1,382.6159,4.5,0.2222222222222222
-19_152__2012,Plectropomus leopardus,35,1,1066.9342,4.5,0.2222222222222222
-10_40__2012,Plectropomus leopardus,20,2,339.9884,2,1
-21_156__2013,Plectropomus leopardus,50,1,1353.3495,1,1
-17_152__2013,Plectropomus leopardus,25,2,521.0024,4,0.5
-17_152__2013,Plectropomus leopardus,50,1,2706.699,4,0.25
-17_152__2013,Plectropomus leopardus,40,1,679.5635,4,0.25
-18_150__2013,Plectropomus leopardus,50,3,4060.0485,3,1
-18_148__2013,Plectropomus leopardus,20,1,169.9942,1,1
-18_151__2013,Plectropomus leopardus,50,1,1353.3495,1,1
-19_148__2013,Plectropomus leopardus,35,5,5334.671,10,0.5
-19_148__2013,Plectropomus leopardus,40,4,5436.5082999999995,10,0.4
-19_148__2013,Plectropomus leopardus,30,1,382.6159,10,0.1
-12_143__2013,Plectropomus leopardus,25,2,1563.0072,6.5,0.3076923076923077
-12_143__2013,Plectropomus leopardus,30,1,1147.8477,6.5,0.15384615384615385
-12_143__2013,Plectropomus leopardus,40,1,679.5635,6.5,0.15384615384615385
-12_143__2013,Plectropomus leopardus,20,1.5,509.98260000000005,6.5,0.23076923076923078
-12_143__2013,Plectropomus leopardus,50,1,1353.3495,6.5,0.15384615384615385
-12_123__2013,Plectropomus leopardus,25,1,260.5012,3,0.3333333333333333
-12_123__2013,Plectropomus leopardus,30,1,382.6159,3,0.3333333333333333
-12_123__2013,Plectropomus leopardus,62.5,1,5345.834,3,0.3333333333333333
-14_122__2013,Plectropomus leopardus,40,7,4756.945,10,0.7
-14_122__2013,Plectropomus leopardus,87.5,1,7487.2173,10,0.1
-14_122__2013,Plectropomus leopardus,75,1,9363.4648,10,0.1
-14_122__2013,Plectropomus leopardus,30,1,382.6159,10,0.1
-20_117__2013,Plectropomus leopardus,25,1,260.5012,1,1
-21_116__2013,Plectropomus leopardus,25,2,2605.0119999999997,9.166666666666666,0.2181818181818182
-21_116__2013,Plectropomus leopardus,50,1,1353.3495,9.166666666666666,0.1090909090909091
-21_116__2013,Plectropomus leopardus,30,1.3333333333333333,3060.9272,9.166666666666666,0.14545454545454545
-20_116__2013,Plectropomus leopardus,35,1.75,3734.2697,4.75,0.3684210526315789
-20_116__2013,Plectropomus leopardus,30,2,1530.4636,4.75,0.42105263157894735
-20_116__2013,Plectropomus leopardus,40,1,1359.127,4.75,0.21052631578947367
-21_116__2013,Plectropomus leopardus,35,1.3333333333333333,2133.8684,9.166666666666666,0.14545454545454545
-21_115__2013,Plectropomus leopardus,25,2,1042.0048,6,0.3333333333333333
-21_115__2013,Plectropomus leopardus,30,1,382.6159,6,0.16666666666666666
-21_115__2013,Plectropomus leopardus,35,3,1600.4013,6,0.5
-20_115__2013,Plectropomus leopardus,40,1,679.5635,1,1
-21_116__2013,Plectropomus leopardus,20,1.5,509.98260000000005,9.166666666666666,0.16363636363636364
-21_116__2013,Plectropomus leopardus,40,1,679.5635,9.166666666666666,0.1090909090909091
-21_116__2013,Plectropomus leopardus,15,1,77.3713,9.166666666666666,0.1090909090909091
-1_131__2014,Plectropomus leopardus,30,1,382.6159,1,1
10_170__2014,Plectropomus leopardus,40,1,679.5635,2,0.5
10_170__2014,Plectropomus leopardus,30,1,382.6159,2,0.5
11_167__2014,Plectropomus leopardus,62.5,2,5345.834,4,0.5
11_167__2014,Plectropomus leopardus,40,1,679.5635,4,0.25
11_167__2014,Plectropomus leopardus,50,1,1353.3495,4,0.25
-23_114__2015,Plectropomus leopardus,35,1,1600.4013,3,0.3333333333333333
-23_114__2015,Plectropomus leopardus,40,2,2718.2541,3,0.6666666666666666
-24_152__2015,Plectropomus leopardus,12.5,1,44.3687,6.5,0.15384615384615385
-24_152__2015,Plectropomus leopardus,20,1,339.9884,6.5,0.15384615384615385
-24_152__2015,Plectropomus leopardus,50,1.5,4060.0485,6.5,0.23076923076923078
-24_152__2015,Plectropomus leopardus,7.5,1,9.342,6.5,0.15384615384615385
-24_152__2015,Plectropomus leopardus,30,1,1147.8477,6.5,0.15384615384615385
-23_152__2015,Plectropomus leopardus,40,2.25,6116.0716999999995,11.916666666666666,0.18881118881118883
-23_152__2015,Plectropomus leopardus,50,1.6666666666666667,6766.7475,11.916666666666666,0.13986013986013987
-23_152__2015,Plectropomus leopardus,15,2,154.7425,11.916666666666666,0.16783216783216784
-23_152__2015,Plectropomus leopardus,35,1,2667.3354999999997,11.916666666666666,0.08391608391608392
-24_152__2015,Plectropomus leopardus,40,1,679.5635,6.5,0.15384615384615385
-23_152__2015,Plectropomus leopardus,20,1,509.98260000000005,11.916666666666666,0.08391608391608392
-23_151__2015,Plectropomus leopardus,35,1,533.4671,1,1
-18_146__2015,Plectropomus leopardus,12.5,1,44.3687,12.833333333333334,0.07792207792207792
-18_146__2015,Plectropomus leopardus,30,1.8333333333333333,4208.7749,12.833333333333334,0.14285714285714285
-18_146__2015,Plectropomus leopardus,35,1.8,4801.2038999999995,12.833333333333334,0.14025974025974025
-18_146__2015,Plectropomus leopardus,40,1.8,6116.0719,12.833333333333334,0.14025974025974025
-18_146__2015,Plectropomus leopardus,50,1.4,9473.4463,12.833333333333334,0.10909090909090909
-23_152__2015,Plectropomus leopardus,30,2,765.2318,11.916666666666666,0.16783216783216784
-20_149__2015,Plectropomus leopardus,35,1,533.4671,2,0.5
-20_149__2015,Plectropomus leopardus,62.5,1,2672.917,2,0.5
-18_146__2015,Plectropomus leopardus,25,3,1563.0071,12.833333333333334,0.23376623376623376
-17_146__2015,Plectropomus leopardus,40,1.5,4077.3812,5.5,0.2727272727272727
-23_152__2015,Plectropomus leopardus,7.5,1,9.342,11.916666666666666,0.08391608391608392
-17_146__2015,Plectropomus leopardus,62.5,1,2672.917,5.5,0.18181818181818182
-17_146__2015,Plectropomus leopardus,35,1,1066.9342,5.5,0.18181818181818182
-17_146__2015,Plectropomus leopardus,50,2,5413.3978,5.5,0.36363636363636365
-18_146__2015,Plectropomus leopardus,20,2,339.9884,12.833333333333334,0.15584415584415584
-23_152__2015,Plectropomus leopardus,10,1,22.4647,11.916666666666666,0.08391608391608392
-15_145__2015,Plectropomus leopardus,35,1,533.4671,3,0.3333333333333333
-15_145__2015,Plectropomus leopardus,30,1,382.6159,3,0.3333333333333333
-15_146__2015,Plectropomus leopardus,40,1,2718.254,3,0.3333333333333333
-15_147__2015,Plectropomus leopardus,62.5,4,10691.668,6,0.6666666666666666
-15_147__2015,Plectropomus leopardus,75,2,9363.465,6,0.3333333333333333
-14_144__2015,Plectropomus leopardus,35,1.5,1600.4013,7,0.21428571428571427
-14_144__2015,Plectropomus leopardus,40,3,4077.3810999999996,7,0.42857142857142855
-15_145__2015,Plectropomus leopardus,20,1,169.9942,3,0.3333333333333333
-14_147__2015,Plectropomus leopardus,50,1,1353.3495,2,0.5
-14_147__2015,Plectropomus leopardus,62.5,1,2672.917,2,0.5
-10_145__2015,Plectropomus leopardus,40,3.6,12232.1438,10.183333333333334,0.353518821603928
-12_143__2015,Plectropomus leopardus,25,2.75,2865.5131,10.416666666666666,0.264
-12_143__2015,Plectropomus leopardus,30,1.75,2678.3113000000003,10.416666666666666,0.168
-10_145__2015,Plectropomus leopardus,35,1.25,2667.3354999999997,10.183333333333334,0.12274959083469722
-14_144__2015,Plectropomus leopardus,50,1.5,4060.0485,7,0.21428571428571427
-10_144__2015,Plectropomus leopardus,35,2.4285714285714284,9068.9409,15.95357142857143,0.15222744571300648
-12_143__2015,Plectropomus leopardus,20,2.25,1529.9478,10.416666666666666,0.21600000000000003
