gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-16_146__2010,Plectropomus maculatus,50,1,1322.5494,1,1
-17_146__2010,Plectropomus maculatus,30,1,747.8164,7,0.14285714285714285
-17_146__2010,Plectropomus maculatus,25,1,254.5726,7,0.14285714285714285
-17_146__2010,Plectropomus maculatus,40,1,664.0978,7,0.14285714285714285
-17_146__2010,Plectropomus maculatus,35,1,521.3262,7,0.14285714285714285
-17_146__2010,Plectropomus maculatus,62.5,1,2612.0857,7,0.14285714285714285
-21_117__2010,Plectropomus maculatus,87.5,1,14633.6406,13.619047619047619,0.07342657342657342
-21_117__2010,Plectropomus maculatus,40,1.6666666666666667,9961.4668,13.619047619047619,0.12237762237762238
-21_117__2010,Plectropomus maculatus,30,1.2857142857142858,3365.1738,13.619047619047619,0.09440559440559441
-21_117__2010,Plectropomus maculatus,50,1,5290.1976,13.619047619047619,0.07342657342657342
-21_117__2010,Plectropomus maculatus,35,1.1666666666666667,3649.2834999999995,13.619047619047619,0.08566433566433568
-21_117__2010,Plectropomus maculatus,20,2,332.2509,13.619047619047619,0.14685314685314685
-21_117__2010,Plectropomus maculatus,25,1,763.7178,13.619047619047619,0.07342657342657342
-21_117__2010,Plectropomus maculatus,62.5,2.5,13060.4287,13.619047619047619,0.18356643356643357
-21_117__2010,Plectropomus maculatus,75,1,4575.184,13.619047619047619,0.07342657342657342
-21_117__2010,Plectropomus maculatus,125,1,21806.195,13.619047619047619,0.07342657342657342
-21_116__2010,Plectropomus maculatus,30,2,747.8164,3,0.6666666666666666
-21_116__2010,Plectropomus maculatus,35,1,1042.6524,3,0.3333333333333333
-16_123__2010,Plectropomus maculatus,12.5,6,260.1537,16.5,0.36363636363636365
-16_123__2010,Plectropomus maculatus,10,2,43.907,16.5,0.12121212121212122
-16_123__2010,Plectropomus maculatus,62.5,1,2612.0857,16.5,0.06060606060606061
-16_123__2010,Plectropomus maculatus,35,1,1563.9786,16.5,0.06060606060606061
-16_123__2010,Plectropomus maculatus,25,2,2036.5808,16.5,0.12121212121212122
-16_123__2010,Plectropomus maculatus,30,2,2243.4492,16.5,0.12121212121212122
-16_123__2010,Plectropomus maculatus,20,1.5,498.3763,16.5,0.09090909090909091
-16_123__2010,Plectropomus maculatus,40,1,1328.1956,16.5,0.06060606060606061
-22_114__2010,Plectropomus maculatus,35,1,521.3262,1,1
-29_114__2008,Plectropomus maculatus,20,3,498.3763,4,0.75
-29_114__2008,Plectropomus maculatus,25,1,254.5726,4,0.25
-20_118__2010,Plectropomus maculatus,40,1,664.0978,6,0.16666666666666666
-20_118__2010,Plectropomus maculatus,75,5,22875.92,6,0.8333333333333334
-20_119__2010,Plectropomus maculatus,20,1,166.1254,10,0.1
-20_119__2010,Plectropomus maculatus,30,5,1869.5409,10,0.5
-20_119__2010,Plectropomus maculatus,35,2,1042.6524,10,0.2
-20_119__2010,Plectropomus maculatus,40,1,664.0978,10,0.1
-20_119__2010,Plectropomus maculatus,50,1,1322.5494,10,0.1
-12_131__2008,Plectropomus maculatus,30,1,373.9082,2,0.5
-12_131__2008,Plectropomus maculatus,40,1,664.0978,2,0.5
-12_131__2009,Plectropomus maculatus,20,1.75,1162.8780000000002,10,0.175
