gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-36_150__2010,Pseudocaranx georgianus,35,1,1862.6088,114.83333333333334,0.008708272859216255
-36_150__2010,Pseudocaranx georgianus,30,3.25,8670.1731,114.83333333333334,0.028301886792452827
-34_151__2009,Pseudocaranx georgianus,12.5,15,1148.6683,72,0.20833333333333334
-34_151__2009,Pseudocaranx georgianus,25,29,13145.065400000001,72,0.4027777777777778
-34_151__2009,Pseudocaranx georgianus,30,2,666.9364,72,0.027777777777777776
-35_151__2009,Pseudocaranx georgianus,20,47.888888888888886,63618.8119,235.6888888888889,0.20318687535357344
-35_151__2009,Pseudocaranx georgianus,25,22.3,50540.5104,235.6888888888889,0.09461625495002829
-35_151__2009,Pseudocaranx georgianus,12.5,80,6126.2308,235.6888888888889,0.3394305110314916
-35_151__2009,Pseudocaranx georgianus,15,67,13454.9086,235.6888888888889,0.28427305298887423
-34_151__2009,Pseudocaranx georgianus,15,5,1338.7969,72,0.06944444444444445
-34_151__2009,Pseudocaranx georgianus,20,11,4871.0461,72,0.1527777777777778
-35_151__2010,Pseudocaranx georgianus,20,1.6,1180.8598,32.1,0.04984423676012461
-35_151__2010,Pseudocaranx georgianus,25,3,1359.8343,32.1,0.09345794392523364
-30_153__2009,Pseudocaranx georgianus,12.5,6.5,497.75620000000004,122.33333333333333,0.05313351498637602
-30_153__2009,Pseudocaranx georgianus,10,27.5,1062.9278,122.33333333333333,0.2247956403269755
-35_151__2010,Pseudocaranx georgianus,15,8,3748.6312,32.1,0.24922118380062305
-34_151__2010,Pseudocaranx georgianus,15,3.5,1405.7366,34.166666666666664,0.10243902439024391
-34_151__2010,Pseudocaranx georgianus,20,18,10627.736799999999,34.166666666666664,0.526829268292683
-34_151__2010,Pseudocaranx georgianus,7.5,3,48.0264,34.166666666666664,0.0878048780487805
-34_151__2010,Pseudocaranx georgianus,10,1.6666666666666667,96.62979999999999,34.166666666666664,0.04878048780487806
-34_151__2010,Pseudocaranx georgianus,30,2,666.9364,34.166666666666664,0.05853658536585366
-35_151__2008,Pseudocaranx georgianus,20,26,26864.5561,81.58571428571429,0.31868324286464716
-35_151__2008,Pseudocaranx georgianus,15,20.285714285714285,9505.4578,81.58571428571429,0.24864296970758185
-36_150__2010,Pseudocaranx georgianus,12.5,36.5,8385.2782,114.83333333333334,0.3178519593613933
-34_151__2009,Pseudocaranx georgianus,7.5,1,8.0044,72,0.013888888888888888
-34_151__2009,Pseudocaranx georgianus,40,5,2969.1804,72,0.06944444444444445
-30_153__2009,Pseudocaranx georgianus,15,24.25,6493.165000000001,122.33333333333333,0.19822888283378748
-30_153__2009,Pseudocaranx georgianus,20,23.333333333333332,10332.5219,122.33333333333333,0.19073569482288827
-30_153__2009,Pseudocaranx georgianus,25,24.25,21983.9889,122.33333333333333,0.19822888283378748
-36_150__2008,Pseudocaranx georgianus,20,4.6,3394.9716,129.85,0.03542549095109742
-30_153__2008,Pseudocaranx georgianus,5,1,2.3109,19,0.05263157894736842
-30_153__2008,Pseudocaranx georgianus,7.5,1,8.0044,19,0.05263157894736842
-36_150__2008,Pseudocaranx georgianus,15,104.25,27913.9147,129.85,0.8028494416634578
-35_151__2009,Pseudocaranx georgianus,7.5,1,8.0044,235.6888888888889,0.004242881387893645
-35_151__2009,Pseudocaranx georgianus,10,1,57.978,235.6888888888889,0.004242881387893645
-33_152__2009,Pseudocaranx georgianus,12.5,9.5,727.4898000000001,19.5,0.48717948717948717
-36_150__2009,Pseudocaranx georgianus,25,1,226.639,6,0.16666666666666666
-30_153__2008,Pseudocaranx georgianus,30,1,333.4682,19,0.05263157894736842
-36_150__2010,Pseudocaranx georgianus,40,1,593.8361,114.83333333333334,0.008708272859216255
-34_151__2010,Pseudocaranx georgianus,12.5,3,229.7337,34.166666666666664,0.0878048780487805
-36_150__2008,Pseudocaranx georgianus,25,6.666666666666667,9065.5625,129.85,0.05134129123347453
-36_150__2008,Pseudocaranx georgianus,30,7.333333333333333,7336.3004,129.85,0.05647542035682197
-36_150__2009,Pseudocaranx georgianus,30,1,333.4682,6,0.16666666666666666
-34_151__2009,Pseudocaranx georgianus,10,4,154.6077,72,0.05555555555555555
-32_153__2009,Pseudocaranx georgianus,20,4,1771.2895,12.5,0.32
-32_153__2009,Pseudocaranx georgianus,40,2,1187.6721,12.5,0.16
-35_151__2009,Pseudocaranx georgianus,35,1,465.6522,235.6888888888889,0.004242881387893645
-33_152__2010,Pseudocaranx georgianus,12.5,5.5,421.17830000000004,20.5,0.2682926829268293
-30_153__2009,Pseudocaranx georgianus,30,16.5,11004.4502,122.33333333333333,0.13487738419618528
-36_150__2008,Pseudocaranx georgianus,10,2,38.6519,129.85,0.015402387370042358
-36_150__2008,Pseudocaranx georgianus,12.5,2,76.5779,129.85,0.015402387370042358
-37_150__2008,Pseudocaranx georgianus,12.5,45,3446.0047000000004,166,0.2710843373493976
-37_150__2008,Pseudocaranx georgianus,15,30,6024.5859,166,0.18072289156626506
-30_153__2008,Pseudocaranx georgianus,20,6,885.6447,19,0.3157894736842105
-36_150__2009,Pseudocaranx georgianus,35,4,1862.6086,6,0.6666666666666666
-30_153__2008,Pseudocaranx georgianus,15,10,669.3984,19,0.5263157894736842
-35_151__2009,Pseudocaranx georgianus,40,15.5,18408.9181,235.6888888888889,0.0657646615123515
-32_153__2009,Pseudocaranx georgianus,25,3,679.9172,12.5,0.24
-33_152__2010,Pseudocaranx georgianus,15,2,133.8797,20.5,0.0975609756097561
-32_153__2009,Pseudocaranx georgianus,15,3.5,468.57890000000003,12.5,0.28
-37_150__2008,Pseudocaranx georgianus,7.5,10,80.044,166,0.060240963855421686
-37_150__2008,Pseudocaranx georgianus,10,1,19.326,166,0.006024096385542169
-35_151__2010,Pseudocaranx georgianus,40,7.5,17815.0818,32.1,0.2336448598130841
-35_151__2010,Pseudocaranx georgianus,35,6,2793.913,32.1,0.18691588785046728
-37_150__2008,Pseudocaranx georgianus,20,55,16236.8202,166,0.3313253012048193
-37_150__2008,Pseudocaranx georgianus,25,25,11331.9531,166,0.15060240963855423
-35_151__2010,Pseudocaranx georgianus,12.5,6,229.7337,32.1,0.18691588785046728
-35_151__2008,Pseudocaranx georgianus,25,15.8,17904.4857,81.58571428571429,0.1936613552792856
-35_151__2008,Pseudocaranx georgianus,5,1,6.9327000000000005,81.58571428571429,0.01225704780248643
-35_151__2008,Pseudocaranx georgianus,7.5,5.5,88.0484,81.58571428571429,0.06741376291367536
-35_151__2008,Pseudocaranx georgianus,12.5,1,76.5778,81.58571428571429,0.01225704780248643
-32_159__2010,Pseudocaranx georgianus,30,30,10004.046,100.66666666666666,0.2980132450331126
-32_159__2010,Pseudocaranx georgianus,5,32,73.9495,100.66666666666666,0.31788079470198677
-32_159__2009,Pseudocaranx georgianus,20,6,1771.2894999999999,9,0.6666666666666666
-32_159__2009,Pseudocaranx georgianus,40,3,1781.5082,9,0.3333333333333333
-32_159__2010,Pseudocaranx georgianus,35,1,465.6522,100.66666666666666,0.009933774834437087
-32_159__2010,Pseudocaranx georgianus,62.5,37.666666666666664,265601.466,100.66666666666666,0.3741721854304636
-29_168__2009,Pseudocaranx georgianus,35,2,931.3043,27,0.07407407407407407
-29_168__2009,Pseudocaranx georgianus,40,9,5344.5246,27,0.3333333333333333
-30_153__2010,Pseudocaranx georgianus,10,1,19.326,6,0.16666666666666666
-30_153__2010,Pseudocaranx georgianus,12.5,2,76.5778,6,0.3333333333333333
-30_153__2010,Pseudocaranx georgianus,15,1,66.9398,6,0.16666666666666666
