gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-32_153__2009,Rhabdosargus sarba,15,3,618.3091000000001,18,0.16666666666666666
-35_151__2008,Rhabdosargus sarba,20,2.2,2427.1306,15.95,0.13793103448275865
-35_151__2008,Rhabdosargus sarba,25,3.75,5001.3749,15.95,0.23510971786833856
-35_151__2009,Rhabdosargus sarba,30,4.8,11606.167399999998,27.614285714285714,0.17382307294361096
-35_151__2009,Rhabdosargus sarba,15,2.6,1339.6696,27.614285714285714,0.09415416451112261
-35_151__2009,Rhabdosargus sarba,20,1.4285714285714286,2206.4822,27.614285714285714,0.05173305742369374
-35_151__2009,Rhabdosargus sarba,35,2.5,3334.7219,27.614285714285714,0.09053285049146405
-35_151__2009,Rhabdosargus sarba,40,2,1685.7587,27.614285714285714,0.07242628039317124
-35_151__2009,Rhabdosargus sarba,50,7,11487.729,27.614285714285714,0.25349198137609935
-35_151__2009,Rhabdosargus sarba,25,5.285714285714286,12336.725,27.614285714285714,0.19141231246766685
-34_151__2009,Rhabdosargus sarba,15,8.428571428571429,6080.0393,24.317460317460316,0.3466057441253264
-34_151__2009,Rhabdosargus sarba,20,8.88888888888889,17651.8593,24.317460317460316,0.3655352480417755
-34_151__2009,Rhabdosargus sarba,25,3,2000.5499,24.317460317460316,0.12336814621409922
-34_151__2009,Rhabdosargus sarba,30,3,1450.7709,24.317460317460316,0.12336814621409922
-34_151__2010,Rhabdosargus sarba,7.5,1,13.3357,66.93333333333334,0.0149402390438247
-34_151__2010,Rhabdosargus sarba,12.5,15.6,4694.2293,66.93333333333334,0.23306772908366533
-34_151__2010,Rhabdosargus sarba,20,8.333333333333334,11032.4117,66.93333333333334,0.12450199203187251
-35_151__2010,Rhabdosargus sarba,12.5,2.3333333333333335,421.2771,35.65833333333333,0.06543584949754616
-35_151__2010,Rhabdosargus sarba,15,6.625,5461.7302,35.65833333333333,0.18579107268053285
-35_151__2010,Rhabdosargus sarba,20,12.8,28242.9746,35.65833333333333,0.35896237438653894
-36_150__2008,Rhabdosargus sarba,12.5,45,5416.418299999999,165.06666666666666,0.2726171243941842
-36_150__2008,Rhabdosargus sarba,15,41.666666666666664,12881.4393,165.06666666666666,0.2524232633279483
-36_150__2008,Rhabdosargus sarba,20,78.4,86494.11240000001,165.06666666666666,0.4749596122778676
-32_153__2009,Rhabdosargus sarba,20,4.5,3971.6683,18,0.25
-34_151__2010,Rhabdosargus sarba,15,28.666666666666668,17724.8604,66.93333333333334,0.42828685258964144
-30_153__2009,Rhabdosargus sarba,12.5,4.5,541.6418,35.833333333333336,0.1255813953488372
