gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-32_159__2009,Scarus altipinnis,12.5,1,48.9819,6,0.16666666666666666
-32_159__2009,Scarus altipinnis,15,1,84.7951,6,0.16666666666666666
-32_159__2009,Scarus altipinnis,5,2,12.4249,6,0.3333333333333333
-32_159__2010,Scarus altipinnis,2.5,1,0.3856,1,1
-32_159__2009,Scarus altipinnis,25,1,280.9871,6,0.16666666666666666
-32_159__2009,Scarus altipinnis,30,1,410.6296,6,0.16666666666666666
-17_146__2010,Scarus altipinnis,50,3,8571.4254,56.083333333333336,0.05349182763744428
-17_146__2010,Scarus altipinnis,25,1.75,1966.9099999999999,56.083333333333336,0.031203566121842496
-17_146__2010,Scarus altipinnis,30,2.1666666666666665,5338.1848,56.083333333333336,0.038632986627043085
-17_146__2010,Scarus altipinnis,15,1,84.7951,56.083333333333336,0.017830609212481426
-17_146__2010,Scarus altipinnis,20,2.5,1843.92,56.083333333333336,0.04457652303120357
-17_146__2010,Scarus altipinnis,2.5,40,15.424,56.083333333333336,0.7132243684992571
-17_146__2010,Scarus altipinnis,35,3.6666666666666665,6270.3894,56.083333333333336,0.06537890044576522
-17_146__2010,Scarus altipinnis,40,2,1447.69,56.083333333333336,0.03566121842496285
-10_106__2010,Scarus altipinnis,2.5,1,0.3856,1,1
6_95__2009,Scarus altipinnis,7.5,8,84.20939999999999,10,0.8
6_95__2009,Scarus altipinnis,5,2,6.2125,10,0.2
-15_145__2010,Scarus altipinnis,2.5,1.5,1.1568,2.5,0.6
-15_145__2010,Scarus altipinnis,5,1,3.1062,2.5,0.4
-23_151__2010,Scarus altipinnis,5,1,9.3186,1,1
-20_-175__2009,Scarus altipinnis,7.5,3,31.578599999999998,8.5,0.35294117647058826
-20_-175__2009,Scarus altipinnis,10,1,25.0228,8.5,0.11764705882352941
-20_-175__2009,Scarus altipinnis,5,2.5,15.5312,8.5,0.29411764705882354
-20_-175__2009,Scarus altipinnis,20,1,368.784,8.5,0.11764705882352941
-20_-175__2009,Scarus altipinnis,15,1,84.7951,8.5,0.11764705882352941
-19_-174__2009,Scarus altipinnis,25,1,280.9871,1,1
-16_-146__2009,Scarus altipinnis,20,1,184.392,1,1
-15_-148__2009,Scarus altipinnis,2.5,1,0.3856,2,0.5
-15_-148__2009,Scarus altipinnis,5,1,3.1062,2,0.5
-18_-150__2009,Scarus altipinnis,5,1,3.1062,1,1
-19_148__2012,Scarus altipinnis,5,1,3.1062,72.83333333333333,0.013729977116704806
-19_148__2012,Scarus altipinnis,10,12,300.2739,72.83333333333333,0.16475972540045766
-19_148__2012,Scarus altipinnis,12.5,5,244.9094,72.83333333333333,0.06864988558352403
-19_148__2012,Scarus altipinnis,25,5,1404.9358,72.83333333333333,0.06864988558352403
-19_148__2012,Scarus altipinnis,30,20,8212.592,72.83333333333333,0.2745995423340961
-19_148__2012,Scarus altipinnis,35,4.333333333333333,7410.4602,72.83333333333333,0.059496567505720827
-19_148__2012,Scarus altipinnis,40,22.5,32573.024999999998,72.83333333333333,0.30892448512585813
-19_148__2012,Scarus altipinnis,20,1,184.392,72.83333333333333,0.013729977116704806
-19_148__2012,Scarus altipinnis,7.5,1,10.5262,72.83333333333333,0.013729977116704806
-18_147__2012,Scarus altipinnis,5,1,3.1062,7.5,0.13333333333333333
-18_147__2012,Scarus altipinnis,30,2,821.2592,7.5,0.26666666666666666
-18_147__2012,Scarus altipinnis,12.5,1,97.9638,7.5,0.13333333333333333
-18_147__2012,Scarus altipinnis,20,1,184.392,7.5,0.13333333333333333
-18_147__2012,Scarus altipinnis,7.5,1,10.5262,7.5,0.13333333333333333
-18_147__2012,Scarus altipinnis,40,1.5,2171.535,7.5,0.2
-19_148__2012,Scarus altipinnis,15,1,169.5902,72.83333333333333,0.013729977116704806
-19_147__2012,Scarus altipinnis,7.5,2,21.0524,24,0.08333333333333333
-19_147__2012,Scarus altipinnis,10,5,125.1141,24,0.20833333333333334
-19_147__2012,Scarus altipinnis,12.5,6,293.8913,24,0.25
-19_147__2012,Scarus altipinnis,15,10,847.9515,24,0.4166666666666667
-19_147__2012,Scarus altipinnis,2.5,1,0.3856,24,0.041666666666666664
-13_-163__2012,Scarus altipinnis,35,1,1140.0708,1,1
-15_-168__2012,Scarus altipinnis,5,3.6,55.9123,6.6,0.5454545454545455
-15_-168__2012,Scarus altipinnis,2.5,2,2.3136,6.6,0.30303030303030304
-15_-168__2012,Scarus altipinnis,7.5,1,21.0524,6.6,0.15151515151515152
-18_-163__2012,Scarus altipinnis,20,3,1106.3519999999999,21.5,0.13953488372093023
-16_-174__2012,Scarus altipinnis,7.5,1,10.5262,3,0.3333333333333333
-16_-174__2012,Scarus altipinnis,5,1,6.2124,3,0.3333333333333333
-14_-172__2012,Scarus altipinnis,7.5,2,21.0524,2,1
-16_-174__2012,Scarus altipinnis,2.5,1,0.3856,3,0.3333333333333333
-18_-163__2012,Scarus altipinnis,30,3,1231.8888,21.5,0.13953488372093023
-18_-163__2012,Scarus altipinnis,35,6,3420.2124,21.5,0.27906976744186046
-18_-163__2012,Scarus altipinnis,40,5.5,7962.2955999999995,21.5,0.2558139534883721
-18_-163__2012,Scarus altipinnis,50,4,5714.2836,21.5,0.18604651162790697
-24_-179__2012,Scarus altipinnis,5,1,3.1062,5,0.2
-24_-179__2012,Scarus altipinnis,35,2,1140.0708,5,0.4
-24_-179__2012,Scarus altipinnis,40,2,2895.3801999999996,5,0.4
-23_-135__2012,Scarus altipinnis,30,5.666666666666667,6980.7029999999995,20.166666666666668,0.2809917355371901
-23_-135__2012,Scarus altipinnis,20,1.5,553.1759999999999,20.166666666666668,0.0743801652892562
-23_-135__2012,Scarus altipinnis,25,3.3333333333333335,2809.8715,20.166666666666668,0.1652892561983471
-23_-135__2012,Scarus altipinnis,35,2,4560.2832,20.166666666666668,0.09917355371900825
-23_-135__2012,Scarus altipinnis,40,3.6666666666666665,7962.2954,20.166666666666668,0.1818181818181818
-23_-135__2012,Scarus altipinnis,15,4,339.1806,20.166666666666668,0.1983471074380165
-18_-141__2012,Scarus altipinnis,25,1,280.9871,3,0.3333333333333333
-18_-141__2012,Scarus altipinnis,30,1,410.6296,3,0.3333333333333333
-18_-141__2012,Scarus altipinnis,35,1,570.0354,3,0.3333333333333333
-17_-144__2012,Scarus altipinnis,25,24,6743.692,43,0.5581395348837209
-17_-144__2012,Scarus altipinnis,30,16,6570.073200000001,43,0.37209302325581395
-17_-144__2012,Scarus altipinnis,35,2,1140.0708,43,0.046511627906976744
-17_-145__2012,Scarus altipinnis,25,14.333333333333334,12082.447400000001,39.416666666666664,0.36363636363636365
-16_-144__2012,Scarus altipinnis,25,2,561.9743,2,1
-17_-145__2012,Scarus altipinnis,7.5,2,21.0524,39.416666666666664,0.05073995771670191
-17_-145__2012,Scarus altipinnis,20,1.75,1290.744,39.416666666666664,0.04439746300211417
-17_-145__2012,Scarus altipinnis,30,9,14782.665500000001,39.416666666666664,0.22832980972515857
-17_-145__2012,Scarus altipinnis,35,4.333333333333333,7410.4602,39.416666666666664,0.10993657505285412
-16_-146__2012,Scarus altipinnis,30,4.75,7801.962399999999,15.416666666666666,0.3081081081081081
-16_-146__2012,Scarus altipinnis,40,4,2895.3801,15.416666666666666,0.2594594594594595
-16_-146__2012,Scarus altipinnis,20,2.6666666666666665,1475.136,15.416666666666666,0.17297297297297298
-16_-146__2012,Scarus altipinnis,35,2,1140.0708,15.416666666666666,0.12972972972972974
-17_-145__2012,Scarus altipinnis,15,4,339.1806,39.416666666666664,0.10147991543340382
-16_-146__2012,Scarus altipinnis,25,2,1123.9485,15.416666666666666,0.12972972972972974
-19_152__2012,Scarus altipinnis,40,2.5,3619.2252,7.5,0.3333333333333333
-19_152__2012,Scarus altipinnis,50,1,2857.1418,7.5,0.13333333333333333
-19_152__2012,Scarus altipinnis,25,1,280.9871,7.5,0.13333333333333333
-17_149__2012,Scarus altipinnis,40,1.25,3619.2250000000004,10.25,0.12195121951219512
-17_149__2012,Scarus altipinnis,7.5,1,10.5262,10.25,0.0975609756097561
-17_149__2012,Scarus altipinnis,15,1,84.7951,10.25,0.0975609756097561
-17_149__2012,Scarus altipinnis,25,1,561.9742,10.25,0.0975609756097561
-17_149__2012,Scarus altipinnis,12.5,5,244.9094,10.25,0.4878048780487805
-17_150__2012,Scarus altipinnis,15,1,84.7951,6,0.16666666666666666
-17_150__2012,Scarus altipinnis,35,1,1140.0708,6,0.16666666666666666
-17_-145__2012,Scarus altipinnis,50,2,2857.1418,39.416666666666664,0.05073995771670191
-17_-145__2012,Scarus altipinnis,40,2,1447.69,39.416666666666664,0.05073995771670191
-17_150__2012,Scarus altipinnis,40,2,2895.3801999999996,6,0.3333333333333333
-19_152__2012,Scarus altipinnis,35,2,1140.0708,7.5,0.26666666666666666
-17_150__2012,Scarus altipinnis,25,2,561.9742,6,0.3333333333333333
-5_150__2011,Scarus altipinnis,10,3,75.0685,3,1
-19_152__2012,Scarus altipinnis,30,1,410.6296,7.5,0.13333333333333333
-17_149__2012,Scarus altipinnis,10,1,25.0228,10.25,0.0975609756097561
-17_-144__2012,Scarus altipinnis,40,1,723.845,43,0.023255813953488372
-29_159__2013,Scarus altipinnis,25,1.3333333333333333,2247.897,14.770238095238096,0.09027162085919238
-29_159__2013,Scarus altipinnis,30,1.875,6159.4439999999995,14.770238095238096,0.1269444668332393
-29_159__2013,Scarus altipinnis,35,2.3,13110.814199999999,14.770238095238096,0.15571854598210685
-29_159__2013,Scarus altipinnis,40,2.9285714285714284,29677.6462,14.770238095238096,0.19827516724429756
-29_159__2013,Scarus altipinnis,50,1.3333333333333333,5714.2836,14.770238095238096,0.09027162085919238
-29_159__2013,Scarus altipinnis,62.5,1.5,8389.231899999999,14.770238095238096,0.10155557346659144
-29_159__2013,Scarus altipinnis,20,1.5,553.1759999999999,14.770238095238096,0.10155557346659144
-30_159__2013,Scarus altipinnis,35,2.4545454545454546,15390.9556,10.454545454545455,0.23478260869565218
-30_159__2013,Scarus altipinnis,40,2,17372.280600000002,10.454545454545455,0.19130434782608693
-29_159__2013,Scarus altipinnis,2.5,1,0.3856,14.770238095238096,0.06770371564439429
-30_159__2013,Scarus altipinnis,25,2.3333333333333335,1966.9099999999999,10.454545454545455,0.22318840579710145
-30_159__2013,Scarus altipinnis,30,1.6666666666666667,4106.296,10.454545454545455,0.15942028985507245
-30_159__2013,Scarus altipinnis,50,1,2857.1418,10.454545454545455,0.09565217391304347
-30_159__2013,Scarus altipinnis,20,1,184.392,10.454545454545455,0.09565217391304347
-29_159__2013,Scarus altipinnis,12.5,1,48.9819,14.770238095238096,0.06770371564439429
-32_159__2012,Scarus altipinnis,7.5,1,21.0524,7,0.14285714285714285
-32_159__2012,Scarus altipinnis,40,1,723.845,7,0.14285714285714285
-32_159__2012,Scarus altipinnis,10,1,50.0456,7,0.14285714285714285
-32_159__2012,Scarus altipinnis,12.5,1,48.9819,7,0.14285714285714285
-32_159__2012,Scarus altipinnis,15,1,84.7951,7,0.14285714285714285
-32_159__2012,Scarus altipinnis,30,2,821.2592,7,0.2857142857142857
-22_155__2013,Scarus altipinnis,50,1,2857.1418,20,0.05
-22_155__2013,Scarus altipinnis,25,1,561.9742,20,0.05
-22_155__2013,Scarus altipinnis,30,14,5748.814,20,0.7
-22_155__2013,Scarus altipinnis,35,2,1140.0708,20,0.1
-23_156__2013,Scarus altipinnis,2.5,1,0.3856,1,1
-22_155__2013,Scarus altipinnis,40,1,723.845,20,0.05
-22_154__2013,Scarus altipinnis,15,1,84.7951,6.833333333333333,0.14634146341463417
-22_154__2013,Scarus altipinnis,10,1,25.0228,6.833333333333333,0.14634146341463417
-22_154__2013,Scarus altipinnis,40,1.3333333333333333,2895.38,6.833333333333333,0.1951219512195122
-22_154__2013,Scarus altipinnis,2.5,1.5,1.1568,6.833333333333333,0.21951219512195122
-22_154__2013,Scarus altipinnis,50,1,1428.5709,6.833333333333333,0.14634146341463417
-22_154__2013,Scarus altipinnis,20,1,184.392,6.833333333333333,0.14634146341463417
-21_156__2013,Scarus altipinnis,20,1,184.392,1,1
-21_154__2013,Scarus altipinnis,40,1,2171.535,4.333333333333333,0.23076923076923078
-21_154__2013,Scarus altipinnis,25,1,280.9871,4.333333333333333,0.23076923076923078
-21_154__2013,Scarus altipinnis,30,1.3333333333333333,1642.5184,4.333333333333333,0.3076923076923077
-17_156__2013,Scarus altipinnis,50,2,8571.4254,16.5,0.12121212121212122
