gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-33_152__2010,Scarus ghobban,5,4,13.7993,4,1
-29_154__2010,Scarus ghobban,50,1,1652.5547,1,1
-32_159__2010,Scarus ghobban,35,1,1310.7946,22.566666666666666,0.04431314623338257
-32_159__2010,Scarus ghobban,20,2.4,2525.0460000000003,22.566666666666666,0.10635155096011817
-32_159__2009,Scarus ghobban,25,1,321.5496,7,0.14285714285714285
-32_159__2009,Scarus ghobban,35,3,3932.3841,7,0.42857142857142855
-32_159__2010,Scarus ghobban,7.5,4.333333333333333,153.2138,22.566666666666666,0.19202363367799113
-32_159__2010,Scarus ghobban,10,2.5,140.89280000000002,22.566666666666666,0.11078286558345643
-32_159__2009,Scarus ghobban,50,1,3305.1094,7,0.14285714285714285
-32_159__2010,Scarus ghobban,25,1.25,1607.7481,22.566666666666666,0.055391432791728215
-32_159__2010,Scarus ghobban,40,2.3333333333333335,5834.9324,22.566666666666666,0.103397341211226
-32_159__2010,Scarus ghobban,12.5,4,664.8710000000001,22.566666666666666,0.17725258493353027
-32_159__2010,Scarus ghobban,15,1.75,673.8657,22.566666666666666,0.0775480059084195
-32_159__2010,Scarus ghobban,50,1,1652.5547,22.566666666666666,0.04431314623338257
-32_159__2010,Scarus ghobban,30,2,942.1858,22.566666666666666,0.08862629246676514
-32_159__2009,Scarus ghobban,20,1,210.4205,7,0.14285714285714285
-32_159__2009,Scarus ghobban,40,1,833.5618,7,0.14285714285714285
-33_152__2011,Scarus ghobban,7.5,5,58.9284,11,0.45454545454545453
-33_152__2011,Scarus ghobban,5,3,10.3495,11,0.2727272727272727
-33_152__2011,Scarus ghobban,10,2,56.3572,11,0.18181818181818182
-17_146__2010,Scarus ghobban,12.5,4,221.6237,18.5,0.21621621621621623
-17_146__2010,Scarus ghobban,15,6.5,1251.4649,18.5,0.35135135135135137
-17_146__2010,Scarus ghobban,20,3,1262.5230000000001,18.5,0.16216216216216217
-17_146__2010,Scarus ghobban,35,1,655.3973,18.5,0.05405405405405406
-17_146__2010,Scarus ghobban,25,4,1286.1985,18.5,0.21621621621621623
-28_114__2010,Scarus ghobban,12.5,1,55.4059,12,0.08333333333333333
-28_114__2010,Scarus ghobban,25,5,1607.7482,12,0.4166666666666667
-28_114__2010,Scarus ghobban,30,5,2355.4646,12,0.4166666666666667
-28_114__2010,Scarus ghobban,35,1,655.3973,12,0.08333333333333333
-32_116__2009,Scarus ghobban,12.5,1.3333333333333333,221.6236,6.333333333333333,0.21052631578947367
-32_116__2010,Scarus ghobban,10,1,56.3572,13.833333333333334,0.07228915662650602
-32_116__2010,Scarus ghobban,12.5,2.6666666666666665,443.2473,13.833333333333334,0.19277108433734938
-22_114__2010,Scarus ghobban,7.5,2,23.5713,2,1
-32_116__2010,Scarus ghobban,20,1.6666666666666667,1052.1025,13.833333333333334,0.12048192771084337
-32_115__2009,Scarus ghobban,20,1,210.4205,1,1
-32_116__2009,Scarus ghobban,30,1,1413.2786999999998,6.333333333333333,0.15789473684210528
-32_116__2009,Scarus ghobban,35,1,1310.7946,6.333333333333333,0.15789473684210528
-32_116__2009,Scarus ghobban,10,1,56.3572,6.333333333333333,0.15789473684210528
-32_116__2010,Scarus ghobban,15,6.5,2502.9296,13.833333333333334,0.4698795180722891
-32_115__2010,Scarus ghobban,5,2,6.8997,9,0.2222222222222222
-32_115__2010,Scarus ghobban,7.5,5,58.9284,9,0.5555555555555556
-32_115__2010,Scarus ghobban,10,2,56.3571,9,0.2222222222222222
-32_116__2009,Scarus ghobban,15,1,96.2665,6.333333333333333,0.15789473684210528
-32_116__2009,Scarus ghobban,25,1,321.5496,6.333333333333333,0.15789473684210528
-21_117__2010,Scarus ghobban,20,2.75,4629.251,20.05,0.1371571072319202
-21_117__2010,Scarus ghobban,7.5,2.5,117.85679999999999,20.05,0.12468827930174563
-21_117__2010,Scarus ghobban,10,1.5,84.5357,20.05,0.07481296758104738
-21_117__2010,Scarus ghobban,5,2.3333333333333335,24.1489,20.05,0.11637572734829593
-21_117__2010,Scarus ghobban,12.5,2.8,775.6827000000001,20.05,0.1396508728179551
-21_117__2010,Scarus ghobban,30,1.5,2826.5573999999997,20.05,0.07481296758104738
-21_117__2010,Scarus ghobban,35,1,1966.1918999999998,20.05,0.04987531172069825
-28_114__2008,Scarus ghobban,30,1,471.0929,3,0.3333333333333333
-28_114__2008,Scarus ghobban,7.5,1,11.7857,3,0.3333333333333333
-21_117__2010,Scarus ghobban,15,4.666666666666667,2695.4628000000002,20.05,0.23275145469659186
-21_117__2010,Scarus ghobban,25,1,643.0992,20.05,0.04987531172069825
-21_116__2010,Scarus ghobban,20,1,210.4205,5,0.2
-21_116__2010,Scarus ghobban,30,1,471.0929,5,0.2
-21_116__2010,Scarus ghobban,25,3,964.6488999999999,5,0.6
-16_123__2010,Scarus ghobban,10,2,56.3571,22,0.09090909090909091
-16_123__2010,Scarus ghobban,20,5,4208.41,22,0.22727272727272727
