gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-22_114__2010,Scarus prasiognathos,20,1,192.8094,1,1
-23_114__2010,Scarus prasiognathos,15,4,1042.2498,34.05555555555556,0.11745513866231647
-23_114__2010,Scarus prasiognathos,20,10.555555555555555,18316.897399999998,34.05555555555556,0.3099510603588907
-23_114__2010,Scarus prasiognathos,25,13,23175.5277,34.05555555555556,0.3817292006525285
-23_114__2010,Scarus prasiognathos,35,1,614.2081,34.05555555555556,0.029363784665579117
-23_114__2010,Scarus prasiognathos,30,4,5263.312,34.05555555555556,0.11745513866231647
-23_114__2010,Scarus prasiognathos,40,1.5,2354.7126,34.05555555555556,0.04404567699836868
-10_106__2010,Scarus prasiognathos,30,17,NA,17,1
4_73__2012,Scarus prasiognathos,30,1,438.6093,11,0.09090909090909091
4_73__2012,Scarus prasiognathos,40,1,784.9042,11,0.09090909090909091
3_73__2012,Scarus prasiognathos,20,1,192.8094,1,1
-23_114__2012,Scarus prasiognathos,30,1.4,3070.2652000000003,23.473412698412698,0.05964194546345916
-22_114__2012,Scarus prasiognathos,20,3.5,2699.3322000000003,9.5,0.3684210526315789
-22_114__2012,Scarus prasiognathos,25,5,2971.2214999999997,9.5,0.5263157894736842
-23_114__2012,Scarus prasiognathos,20,2.6666666666666665,3084.9509000000003,23.473412698412698,0.11360370564468412
-23_114__2012,Scarus prasiognathos,25,2,2376.9773,23.473412698412698,0.08520277923351309
-23_114__2012,Scarus prasiognathos,15,2.7142857142857144,1650.229,23.473412698412698,0.11563234324548206
-23_114__2012,Scarus prasiognathos,5,1.8888888888888888,49.53790000000001,23.473412698412698,0.08046929149831793
-23_114__2012,Scarus prasiognathos,7.5,3.4285714285714284,244.8046,23.473412698412698,0.14606190725745102
-23_114__2012,Scarus prasiognathos,10,2.125,421.81080000000003,23.473412698412698,0.09052795293560767
-22_114__2012,Scarus prasiognathos,40,1,784.9042,9.5,0.10526315789473684
-23_114__2012,Scarus prasiognathos,2.5,1.75,2.3955,23.473412698412698,0.07455243182932396
-23_114__2012,Scarus prasiognathos,40,1,784.9042,23.473412698412698,0.042601389616756545
4_73__2012,Scarus prasiognathos,7.5,2,20.4004,11,0.18181818181818182
4_73__2012,Scarus prasiognathos,10,5,124.0619,11,0.45454545454545453
4_73__2012,Scarus prasiognathos,12.5,2,98.8896,11,0.18181818181818182
-23_114__2012,Scarus prasiognathos,12.5,3.5,692.2271,23.473412698412698,0.14910486365864792
-23_114__2012,Scarus prasiognathos,35,1,614.2081,23.473412698412698,0.042601389616756545
-12_123__2013,Scarus prasiognathos,5,2.3333333333333335,20.3979,6.333333333333334,0.3684210526315789
-12_123__2013,Scarus prasiognathos,7.5,3,30.6006,6.333333333333334,0.47368421052631576
-12_123__2013,Scarus prasiognathos,2.5,1,0.3422,6.333333333333334,0.15789473684210525
-14_122__2013,Scarus prasiognathos,35,1,1842.6243,35,0.02857142857142857
