gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-32_159__2010,Scarus rivulatus,12.5,15.5,1958.6765,30.5,0.5081967213114754
-32_159__2010,Scarus rivulatus,10,15,477.7256,30.5,0.4918032786885246
-17_146__2010,Scarus rivulatus,15,2,221.1656,12.666666666666666,0.15789473684210528
-17_146__2010,Scarus rivulatus,20,1.3333333333333333,976.8852,12.666666666666666,0.10526315789473684
-17_146__2010,Scarus rivulatus,25,6.333333333333333,7130.6359,12.666666666666666,0.5
-21_117__2010,Scarus rivulatus,20,5,1221.1065,6,0.8333333333333334
-22_114__2010,Scarus rivulatus,25,1,375.2966,2,0.5
-28_114__2008,Scarus rivulatus,30,1,1105.2302,4,0.25
-28_114__2008,Scarus rivulatus,35,3,2316.5154000000002,4,0.75
-21_117__2010,Scarus rivulatus,30,1,552.6151,6,0.16666666666666666
-21_116__2010,Scarus rivulatus,15,1,110.5828,3,0.3333333333333333
-21_116__2010,Scarus rivulatus,20,1,244.2213,3,0.3333333333333333
-21_116__2010,Scarus rivulatus,35,1,772.1717,3,0.3333333333333333
-23_114__2010,Scarus rivulatus,30,1,2210.4604,10.5,0.09523809523809523
-22_114__2010,Scarus rivulatus,30,1,552.6151,2,0.5
-23_114__2010,Scarus rivulatus,35,1,772.1717,10.5,0.09523809523809523
-23_114__2010,Scarus rivulatus,25,1.5,2251.7798000000003,10.5,0.14285714285714285
-23_114__2010,Scarus rivulatus,20,5,4884.4258,10.5,0.47619047619047616
-23_114__2010,Scarus rivulatus,40,1,985.2028,10.5,0.09523809523809523
-23_114__2008,Scarus rivulatus,5,40,151.6998,41,0.975609756097561
-23_114__2008,Scarus rivulatus,10,1,31.8484,41,0.024390243902439025
-22_114__2008,Scarus rivulatus,7.5,17,223.8589,42,0.40476190476190477
-22_114__2008,Scarus rivulatus,12.5,3,189.5494,42,0.07142857142857142
-22_114__2008,Scarus rivulatus,20,3,732.6639,42,0.07142857142857142
-22_114__2008,Scarus rivulatus,25,9,3377.6696,42,0.21428571428571427
-22_114__2008,Scarus rivulatus,30,1,552.6151,42,0.023809523809523808
-22_114__2008,Scarus rivulatus,5,3,11.3775,42,0.07142857142857142
-22_114__2008,Scarus rivulatus,15,2,221.1655,42,0.047619047619047616
-22_114__2008,Scarus rivulatus,35,3,2316.5154000000002,42,0.07142857142857142
-22_114__2008,Scarus rivulatus,40,1,985.2028,42,0.023809523809523808
-23_114__2010,Scarus rivulatus,15,1,110.5828,10.5,0.09523809523809523
-17_146__2010,Scarus rivulatus,30,1,1105.2302,12.666666666666666,0.07894736842105264
-17_146__2010,Scarus rivulatus,35,1,772.1717,12.666666666666666,0.07894736842105264
-17_146__2010,Scarus rivulatus,50,1,1970.9126,12.666666666666666,0.07894736842105264
-15_145__2010,Scarus rivulatus,25,1,375.2966,5.5,0.18181818181818182
-15_145__2010,Scarus rivulatus,35,2.5,3860.8589,5.5,0.45454545454545453
-15_145__2010,Scarus rivulatus,40,2,1970.4056,5.5,0.36363636363636365
-18_146__2010,Scarus rivulatus,25,4,6004.746099999999,17.833333333333332,0.22429906542056077
-18_146__2010,Scarus rivulatus,30,1.3333333333333333,2210.4604,17.833333333333332,0.07476635514018691
-18_146__2010,Scarus rivulatus,15,3,663.4965,17.833333333333332,0.16822429906542058
-18_146__2010,Scarus rivulatus,20,2.5,2442.213,17.833333333333332,0.14018691588785048
-18_146__2010,Scarus rivulatus,10,3,95.5451,17.833333333333332,0.16822429906542058
-18_146__2010,Scarus rivulatus,12.5,2,126.3662,17.833333333333332,0.11214953271028039
-18_146__2010,Scarus rivulatus,35,1,1544.3434,17.833333333333332,0.05607476635514019
-18_146__2010,Scarus rivulatus,40,1,985.2028,17.833333333333332,0.05607476635514019
-23_151__2010,Scarus rivulatus,12.5,2.5,315.9156,8.5,0.29411764705882354
-23_151__2010,Scarus rivulatus,20,6,2930.6556,8.5,0.7058823529411765
-20_148__2010,Scarus rivulatus,15,7,774.0793,32,0.21875
-20_148__2010,Scarus rivulatus,20,15,3663.3194000000003,32,0.46875
-20_148__2010,Scarus rivulatus,30,10,5526.151,32,0.3125
-20_149__2010,Scarus rivulatus,15,7.666666666666667,2543.4035000000003,29.666666666666668,0.25842696629213485
-20_149__2010,Scarus rivulatus,25,2,750.5933,29.666666666666668,0.06741573033707865
-20_149__2010,Scarus rivulatus,30,2,1105.2302,29.666666666666668,0.06741573033707865
-20_149__2010,Scarus rivulatus,40,1,985.2028,29.666666666666668,0.033707865168539325
-20_149__2010,Scarus rivulatus,12.5,17,2148.2259999999997,29.666666666666668,0.5730337078651685
-16_140__2010,Scarus rivulatus,25,1,375.2966,1,1
-16_139__2010,Scarus rivulatus,35,1.5,2316.5151,1.5,1
-19_148__2012,Scarus rivulatus,7.5,3,39.5045,33,0.09090909090909091
-19_148__2012,Scarus rivulatus,12.5,6,379.0987,33,0.18181818181818182
-19_148__2012,Scarus rivulatus,15,7,774.0793000000001,33,0.21212121212121213
-19_148__2012,Scarus rivulatus,20,15,3663.3193,33,0.45454545454545453
-19_148__2012,Scarus rivulatus,25,2,750.5933,33,0.06060606060606061
-22_114__2012,Scarus rivulatus,12.5,12.5,1579.578,111.45,0.11215791834903543
-22_114__2012,Scarus rivulatus,25,7.2,13510.6788,111.45,0.06460296096904442
-23_114__2012,Scarus rivulatus,25,8.545454545454545,35277.8829,46.73989898989899,0.18282997460694797
-23_114__2012,Scarus rivulatus,30,1.4444444444444444,7183.9963,46.73989898989899,0.030903884596682696
-22_114__2012,Scarus rivulatus,15,36.25,16034.5008,111.45,0.3252579632122028
-22_114__2012,Scarus rivulatus,10,14,891.7545,111.45,0.1256168685509197
-22_114__2012,Scarus rivulatus,20,15.5,15141.7203,111.45,0.13907581875280395
-22_114__2012,Scarus rivulatus,2.5,20,9.0322,111.45,0.1794526693584567
-22_114__2012,Scarus rivulatus,30,6,3315.6906,111.45,0.05383580080753701
-23_114__2012,Scarus rivulatus,15,5.125,4533.8935,46.73989898989899,0.10964935977092226
-23_114__2012,Scarus rivulatus,20,4.25,8303.5242,46.73989898989899,0.0909287373710087
-23_114__2012,Scarus rivulatus,12.5,4.375,2211.4092,46.73989898989899,0.09360311199956778
-23_114__2012,Scarus rivulatus,10,8,509.5741,46.73989898989899,0.1711599762277811
-23_114__2012,Scarus rivulatus,7.5,15,197.5225,46.73989898989899,0.32092495542708954
-22_153__2013,Scarus rivulatus,20,1,244.2213,1,1
-14_147__2013,Scarus rivulatus,25,1,375.2966,1,1
-12_143__2013,Scarus rivulatus,15,1,221.1656,12.333333333333334,0.08108108108108107
-12_143__2013,Scarus rivulatus,25,1.3333333333333333,1501.1865,12.333333333333334,0.1081081081081081
-12_143__2013,Scarus rivulatus,30,4,4420.9208,12.333333333333334,0.3243243243243243
-12_143__2013,Scarus rivulatus,35,3,2316.5152,12.333333333333334,0.24324324324324323
-12_143__2013,Scarus rivulatus,50,2,3941.8252,12.333333333333334,0.16216216216216214
-12_143__2013,Scarus rivulatus,20,1,244.2213,12.333333333333334,0.08108108108108107
-12_137__2013,Scarus rivulatus,40,1,1970.4056,9,0.1111111111111111
-11_137__2013,Scarus rivulatus,30,1,1657.8453,55.833333333333336,0.017910447761194027
-11_137__2013,Scarus rivulatus,15,13.333333333333334,4423.3106,55.833333333333336,0.23880597014925373
-11_137__2013,Scarus rivulatus,20,23.5,11478.4006,55.833333333333336,0.42089552238805966
-12_137__2013,Scarus rivulatus,35,2,1544.3435,9,0.2222222222222222
-11_137__2013,Scarus rivulatus,40,1,985.2028,55.833333333333336,0.017910447761194027
-12_137__2013,Scarus rivulatus,5,4,15.17,9,0.4444444444444444
-12_137__2013,Scarus rivulatus,7.5,2,26.3364,9,0.2222222222222222
-11_137__2013,Scarus rivulatus,7.5,4,105.34530000000001,55.833333333333336,0.07164179104477611
-11_137__2013,Scarus rivulatus,10,6,382.1805,55.833333333333336,0.10746268656716418
-11_137__2013,Scarus rivulatus,12.5,6,758.1975,55.833333333333336,0.10746268656716418
-11_137__2013,Scarus rivulatus,25,1,375.2966,55.833333333333336,0.017910447761194027
-32_159__2014,Scarus rivulatus,25,1,1125.8898,21.833333333333336,0.045801526717557245
-32_159__2014,Scarus rivulatus,20,1,1221.1065,21.833333333333336,0.045801526717557245
-32_159__2014,Scarus rivulatus,30,2,1105.2302,21.833333333333336,0.09160305343511449
-32_159__2014,Scarus rivulatus,15,2.5,1105.8277,21.833333333333336,0.11450381679389311
-32_159__2014,Scarus rivulatus,10,9.333333333333334,891.7546,21.833333333333336,0.42748091603053434
-32_159__2014,Scarus rivulatus,7.5,1,13.1682,21.833333333333336,0.045801526717557245
-32_159__2014,Scarus rivulatus,12.5,5,631.8311,21.833333333333336,0.22900763358778622
-20_119__2013,Scarus rivulatus,25,4.333333333333333,4878.8563,16.166666666666668,0.268041237113402
-20_119__2013,Scarus rivulatus,30,2,5526.150900000001,16.166666666666668,0.12371134020618556
-20_119__2013,Scarus rivulatus,35,2.3333333333333335,10810.4044,16.166666666666668,0.14432989690721648
-20_119__2013,Scarus rivulatus,20,2,488.4426,16.166666666666668,0.12371134020618556
-20_119__2013,Scarus rivulatus,40,3.5,6896.4199,16.166666666666668,0.21649484536082472
-20_119__2013,Scarus rivulatus,62.5,2,7820.0786,16.166666666666668,0.12371134020618556
-20_118__2013,Scarus rivulatus,20,1,244.2213,1,1
-20_117__2013,Scarus rivulatus,10,5.75,732.5128,48.53291316526611,0.11847630041122574
-20_117__2013,Scarus rivulatus,12.5,8.5,4296.4519,48.53291316526611,0.17513887886876847
-20_117__2013,Scarus rivulatus,20,10.235294117647058,42494.5056,48.53291316526611,0.21089387490080078
-20_117__2013,Scarus rivulatus,25,5.833333333333333,26270.7646,48.53291316526611,0.12019334824327248
-20_117__2013,Scarus rivulatus,15,10.833333333333334,14375.7593,48.53291316526611,0.22321621816607748
-20_117__2013,Scarus rivulatus,30,4.714285714285714,18236.2982,48.53291316526611,0.09713584878435899
-20_117__2013,Scarus rivulatus,35,2.6666666666666665,12354.748300000001,48.53291316526611,0.05494553062549599
-21_117__2013,Scarus rivulatus,20,7.2,8791.9667,53.35476190476191,0.13494578071310634
-21_117__2013,Scarus rivulatus,25,5.428571428571429,14261.272099999998,53.35476190476191,0.10174483466464367
-21_117__2013,Scarus rivulatus,30,2.3333333333333335,7736.6114,53.35476190476191,0.04373242893480298
-21_117__2013,Scarus rivulatus,35,2.5,7721.7177,53.35476190476191,0.04685617385871748
-20_116__2013,Scarus rivulatus,30,3,4973.5359,14.892857142857142,0.2014388489208633
-20_116__2013,Scarus rivulatus,20,6.142857142857143,10501.5156,14.892857142857142,0.4124700239808154
-20_116__2013,Scarus rivulatus,25,2,750.5933,14.892857142857142,0.1342925659472422
-20_116__2013,Scarus rivulatus,35,2.25,6949.5458,14.892857142857142,0.1510791366906475
-21_116__2013,Scarus rivulatus,20,6,14653.2778,38.08549783549783,0.15754028018527466
-20_116__2013,Scarus rivulatus,15,1.5,331.74830000000003,14.892857142857142,0.10071942446043165
-21_116__2013,Scarus rivulatus,15,3.5,3870.3966,38.08549783549783,0.09189849677474354
-21_116__2013,Scarus rivulatus,30,2.4545454545454546,14920.6078,38.08549783549783,0.06444829643943054
-21_116__2013,Scarus rivulatus,25,11.75,17638.9421,38.08549783549783,0.3085163820294962
-21_116__2013,Scarus rivulatus,35,2.7142857142857144,14671.2631,38.08549783549783,0.07126822198857663
-21_115__2013,Scarus rivulatus,20,2.6666666666666665,3907.5408,45.416666666666664,0.05871559633027523
-21_115__2013,Scarus rivulatus,30,1.75,3868.3057,45.416666666666664,0.03853211009174312
-21_115__2013,Scarus rivulatus,7.5,17,223.8589,45.416666666666664,0.3743119266055046
-21_115__2013,Scarus rivulatus,10,10,955.4514,45.416666666666664,0.22018348623853212
-21_115__2013,Scarus rivulatus,15,6.333333333333333,4202.1451,45.416666666666664,0.13944954128440368
-21_115__2013,Scarus rivulatus,25,1,750.5932,45.416666666666664,0.022018348623853212
-21_117__2013,Scarus rivulatus,10,12.75,1624.2672,53.35476190476191,0.23896648667945913
-21_117__2013,Scarus rivulatus,12.5,15,3790.9868,53.35476190476191,0.28113704315230487
-21_117__2013,Scarus rivulatus,15,8.142857142857142,6303.2176,53.35476190476191,0.1526172519969655
-21_115__2013,Scarus rivulatus,12.5,6.666666666666667,2527.3247,45.416666666666664,0.14678899082568808
-21_116__2013,Scarus rivulatus,7.5,2,52.6726,38.08549783549783,0.052513426728424885
-21_116__2013,Scarus rivulatus,12.5,4.666666666666667,884.5636999999999,38.08549783549783,0.12253132903299141
-21_116__2013,Scarus rivulatus,10,5,318.48380000000003,38.08549783549783,0.1312835668210622
-20_115__2013,Scarus rivulatus,30,1,1105.2302,4,0.25
-20_115__2013,Scarus rivulatus,35,2,3088.6868999999997,4,0.5
-20_115__2013,Scarus rivulatus,20,1,244.2213,4,0.25
-22_114__2013,Scarus rivulatus,20,2.875,5617.0898,22.808333333333334,0.12605042016806722
-1_131__2014,Scarus rivulatus,30,1,552.6151,11,0.09090909090909091
-23_114__2015,Scarus rivulatus,10,6.5,1656.1159,64.63279857397504,0.10056813480790977
-23_114__2015,Scarus rivulatus,12.5,6.75,3411.8883,64.63279857397504,0.10443613999282937
-23_114__2015,Scarus rivulatus,20,13.529411764705882,56170.8963,64.63279857397504,0.20932733941917872
-23_114__2015,Scarus rivulatus,25,4.588235294117647,29273.136899999998,64.63279857397504,0.07098927162911277
-23_114__2015,Scarus rivulatus,30,2.3333333333333335,15473.222600000001,64.63279857397504,0.03610138172591633
-22_114__2015,Scarus rivulatus,5,21,398.2122,86.13333333333333,0.24380804953560373
-22_114__2015,Scarus rivulatus,30,3.5,11604.9172,86.13333333333333,0.040634674922600623
-22_114__2015,Scarus rivulatus,35,1.2857142857142858,6949.5454,86.13333333333333,0.014927023440955332
-22_114__2015,Scarus rivulatus,20,7.2,8791.9666,86.13333333333333,0.08359133126934985
-22_114__2015,Scarus rivulatus,7.5,10.5,1106.1262000000002,86.13333333333333,0.12190402476780186
