gridyr,species_name,size_class,mean_abundance,mean_biomass,total_abun,p_obs
-17_146__2010,Scarus schlegeli,20,1.25,1180.477,10.583333333333334,0.11811023622047244
-17_146__2010,Scarus schlegeli,30,2,2114.2971,10.583333333333334,0.1889763779527559
-17_146__2010,Scarus schlegeli,12.5,1.6666666666666667,310.8319,10.583333333333334,0.15748031496062992
-17_146__2010,Scarus schlegeli,15,2.6666666666666665,864.1015,10.583333333333334,0.25196850393700787
-17_146__2010,Scarus schlegeli,5,1,3.8708,10.583333333333334,0.09448818897637795
-17_146__2010,Scarus schlegeli,7.5,1,13.2237,10.583333333333334,0.09448818897637795
-32_115__2010,Scarus schlegeli,30,1,528.5743,1,1
-21_117__2010,Scarus schlegeli,7.5,9,238.02710000000002,45.583333333333336,0.19744058500914075
-21_117__2010,Scarus schlegeli,15,11.75,5076.5962,45.583333333333336,0.25776965265082263
-21_117__2010,Scarus schlegeli,5,6,46.449200000000005,45.583333333333336,0.1316270566727605
-21_117__2010,Scarus schlegeli,10,2.5,158.084,45.583333333333336,0.054844606946983544
-21_117__2010,Scarus schlegeli,12.5,3,186.4991,45.583333333333336,0.06581352833638025
-21_117__2010,Scarus schlegeli,20,7.333333333333333,5194.0984,45.583333333333336,0.16087751371115172
-21_117__2010,Scarus schlegeli,30,1,528.5743,45.583333333333336,0.021937842778793418
-22_114__2010,Scarus schlegeli,15,6,648.0761,15,0.4
-22_114__2010,Scarus schlegeli,20,5,1180.4769,15,0.3333333333333333
-22_114__2010,Scarus schlegeli,25,2,721.5684,15,0.13333333333333333
-22_114__2010,Scarus schlegeli,30,1,1057.1486,15,0.06666666666666667
-22_114__2010,Scarus schlegeli,35,1,1470.734,15,0.06666666666666667
-28_114__2008,Scarus schlegeli,10,8.5,1612.4578999999999,77.575,0.10957138253303254
-28_114__2008,Scarus schlegeli,12.5,8.2,2548.8215,77.575,0.1057041572671608
-28_114__2008,Scarus schlegeli,15,10.875,9397.1033,77.575,0.14018691588785046
-28_114__2008,Scarus schlegeli,20,7.333333333333333,10388.196899999999,77.575,0.09453217316575356
-28_114__2008,Scarus schlegeli,5,3,23.2246,77.575,0.03867225265871737
-28_114__2008,Scarus schlegeli,7.5,24.666666666666668,1957.1116,77.575,0.31797185519389837
-21_116__2010,Scarus schlegeli,20,1,236.0954,1,1
-16_123__2010,Scarus schlegeli,5,2,7.7415,60.5,0.03305785123966942
-16_123__2010,Scarus schlegeli,7.5,10.5,277.6982,60.5,0.17355371900826447
-16_123__2010,Scarus schlegeli,10,6.5,411.01869999999997,60.5,0.10743801652892562
-16_123__2010,Scarus schlegeli,12.5,2,124.3328,60.5,0.03305785123966942
-23_114__2010,Scarus schlegeli,15,6.4,3456.4057000000003,21.166666666666668,0.30236220472440944
-23_114__2010,Scarus schlegeli,20,2,3777.5263,21.166666666666668,0.09448818897637795
-23_114__2010,Scarus schlegeli,25,1.6666666666666667,3607.842,21.166666666666668,0.07874015748031496
-23_114__2010,Scarus schlegeli,35,1.6,5882.936,21.166666666666668,0.07559055118110236
-21_117__2010,Scarus schlegeli,25,5,1803.9209,45.583333333333336,0.10968921389396709
-16_123__2010,Scarus schlegeli,25,25,9019.6045,60.5,0.4132231404958678
-16_123__2010,Scarus schlegeli,30,5,2642.8713,60.5,0.08264462809917356
-16_123__2010,Scarus schlegeli,15,6,1944.2282,60.5,0.09917355371900827
-16_123__2010,Scarus schlegeli,20,3.5,3305.3355,60.5,0.05785123966942149
-23_114__2010,Scarus schlegeli,30,1.5,4757.1687,21.166666666666668,0.07086614173228346
-23_114__2010,Scarus schlegeli,12.5,2,372.9984,21.166666666666668,0.09448818897637795
-23_114__2010,Scarus schlegeli,7.5,5,66.1186,21.166666666666668,0.23622047244094488
-23_114__2010,Scarus schlegeli,10,1,31.6168,21.166666666666668,0.047244094488188976
-29_114__2008,Scarus schlegeli,12.5,31.1,19333.7437,104.76666666666667,0.2968501431753102
-29_114__2008,Scarus schlegeli,15,16.75,21710.5488,104.76666666666667,0.15987909640470888
-29_114__2008,Scarus schlegeli,20,5.833333333333333,8263.3385,104.76666666666667,0.05567928730512249
-29_114__2008,Scarus schlegeli,2.5,7.333333333333333,10.4256,104.76666666666667,0.06999681832643971
-29_114__2008,Scarus schlegeli,5,8,247.72910000000002,104.76666666666667,0.07636016544702513
-29_114__2008,Scarus schlegeli,10,19.5,7398.3366,104.76666666666667,0.18612790327712378
-29_114__2008,Scarus schlegeli,7.5,12.25,1943.8878,104.76666666666667,0.11692650334075724
-26_113__2010,Scarus schlegeli,15,2.5,540.0634,7,0.35714285714285715
-26_113__2010,Scarus schlegeli,20,2.5,1180.477,7,0.35714285714285715
-28_114__2008,Scarus schlegeli,25,10,7215.6834,77.575,0.12890750886239122
-28_114__2008,Scarus schlegeli,30,5,2642.8713,77.575,0.06445375443119561
-29_114__2008,Scarus schlegeli,30,1,528.5743,104.76666666666667,0.009545020680878142
-26_113__2010,Scarus schlegeli,25,1,360.7842,7,0.14285714285714285
-26_113__2010,Scarus schlegeli,30,1,528.5743,7,0.14285714285714285
-29_114__2008,Scarus schlegeli,25,3,1082.3526,104.76666666666667,0.028635062042634427
-32_116__2011,Scarus schlegeli,30,1,1057.1486,12,0.08333333333333333
-32_116__2011,Scarus schlegeli,25,1,360.7842,12,0.08333333333333333
-32_115__2011,Scarus schlegeli,25,1,360.7842,4,0.25
-32_115__2011,Scarus schlegeli,30,2,1057.1486,4,0.5
-32_115__2011,Scarus schlegeli,35,1,735.367,4,0.25
-32_116__2011,Scarus schlegeli,10,10,316.1682,12,0.8333333333333334
-10_106__2009,Scarus schlegeli,20,1,236.0954,1,1
-32_115__2012,Scarus schlegeli,25,3,1082.3526,12,0.25
-32_115__2012,Scarus schlegeli,40,2,1870.5409,12,0.16666666666666666
-32_115__2012,Scarus schlegeli,15,1,216.0254,12,0.08333333333333333
-32_115__2012,Scarus schlegeli,20,2,944.3816,12,0.16666666666666666
-32_115__2012,Scarus schlegeli,35,1,735.367,12,0.08333333333333333
-32_116__2012,Scarus schlegeli,5,1,7.7416,14.333333333333332,0.06976744186046512
-32_116__2012,Scarus schlegeli,7.5,2,26.4475,14.333333333333332,0.13953488372093023
-32_116__2012,Scarus schlegeli,10,3,94.8505,14.333333333333332,0.20930232558139536
-32_116__2012,Scarus schlegeli,20,4.333333333333333,3069.2401,14.333333333333332,0.3023255813953488
-32_116__2012,Scarus schlegeli,40,1,935.2704,14.333333333333332,0.06976744186046512
-32_115__2012,Scarus schlegeli,12.5,1,62.1664,12,0.08333333333333333
-32_116__2012,Scarus schlegeli,25,2,721.5684,14.333333333333332,0.13953488372093023
-32_115__2012,Scarus schlegeli,2.5,2,0.9478,12,0.16666666666666666
-32_116__2012,Scarus schlegeli,2.5,1,0.4739,14.333333333333332,0.06976744186046512
-8_122__2009,Scarus schlegeli,20,1,236.0954,4,0.25
-8_122__2009,Scarus schlegeli,12.5,1,62.1664,4,0.25
-8_122__2009,Scarus schlegeli,15,2,216.0254,4,0.5
-17_146__2010,Scarus schlegeli,35,1,735.367,10.583333333333334,0.09448818897637795
-15_145__2010,Scarus schlegeli,25,1.6666666666666667,3607.8419,9.333333333333334,0.17857142857142858
-15_145__2010,Scarus schlegeli,30,1,1057.1486,9.333333333333334,0.10714285714285714
-15_145__2010,Scarus schlegeli,20,1.6666666666666667,1180.477,9.333333333333334,0.17857142857142858
-15_145__2010,Scarus schlegeli,10,1,31.6168,9.333333333333334,0.10714285714285714
-15_145__2010,Scarus schlegeli,12.5,2,248.6656,9.333333333333334,0.21428571428571427
-15_145__2010,Scarus schlegeli,40,1,935.2704,9.333333333333334,0.10714285714285714
-16_146__2010,Scarus schlegeli,25,2,1443.1368,3,0.6666666666666666
-16_146__2010,Scarus schlegeli,30,1,528.5743,3,0.3333333333333333
-15_145__2010,Scarus schlegeli,35,1,735.367,9.333333333333334,0.10714285714285714
-23_151__2010,Scarus schlegeli,12.5,5,310.8319,40,0.125
-23_151__2010,Scarus schlegeli,20,20,4721.9077,40,0.5
-18_146__2010,Scarus schlegeli,15,2,216.0254,3,0.6666666666666666
-18_146__2010,Scarus schlegeli,25,1,360.7842,3,0.3333333333333333
-23_151__2010,Scarus schlegeli,30,3,1585.7228,40,0.075
-23_151__2010,Scarus schlegeli,5,2,7.7415,40,0.05
-23_151__2010,Scarus schlegeli,15,10,1080.1268,40,0.25
-20_149__2010,Scarus schlegeli,30,1,528.5743,1,1
-20_-175__2009,Scarus schlegeli,20,1.3333333333333333,944.3816,2.333333333333333,0.5714285714285715
-19_-174__2009,Scarus schlegeli,20,1.75,1652.6678000000002,2.95,0.5932203389830508
-19_-174__2009,Scarus schlegeli,25,1.2,2164.7052,2.95,0.4067796610169491
-20_-175__2009,Scarus schlegeli,25,1,360.7842,2.333333333333333,0.4285714285714286
-19_-160__2009,Scarus schlegeli,25,1,721.5684,1,1
-16_-146__2009,Scarus schlegeli,15,2.25,972.1142,39.75,0.05660377358490566
-16_-146__2009,Scarus schlegeli,10,10.5,663.9533,39.75,0.2641509433962264
-16_-146__2009,Scarus schlegeli,12.5,15,932.4957,39.75,0.37735849056603776
-16_-146__2009,Scarus schlegeli,7.5,6,79.3424,39.75,0.1509433962264151
-16_-146__2009,Scarus schlegeli,20,5,2360.9539,39.75,0.12578616352201258
-16_-146__2009,Scarus schlegeli,25,1,360.7842,39.75,0.025157232704402517
-17_-151__2009,Scarus schlegeli,12.5,5,310.8319,5,1
-17_-154__2009,Scarus schlegeli,15,1,108.0127,2,0.5
-17_-154__2009,Scarus schlegeli,20,1,236.0954,2,0.5
-18_-150__2009,Scarus schlegeli,20,1,472.1908,1,1
-17_-150__2009,Scarus schlegeli,20,20,4721.9077,20,1
-15_-148__2009,Scarus schlegeli,20,2,472.1908,2,1
-19_-170__2011,Scarus schlegeli,30,1,528.5743,1,1
-19_148__2012,Scarus schlegeli,25,1,360.7842,6.666666666666667,0.15
-19_148__2012,Scarus schlegeli,15,1.6666666666666667,540.0635,6.666666666666667,0.25
-19_148__2012,Scarus schlegeli,20,1,472.1908,6.666666666666667,0.15
-19_148__2012,Scarus schlegeli,10,2,63.2336,6.666666666666667,0.3
-19_148__2012,Scarus schlegeli,30,1,528.5743,6.666666666666667,0.15
-23_114__2012,Scarus schlegeli,12.5,3.7,2300.1563,32.51313131313131,0.11380017397787998
-23_114__2012,Scarus schlegeli,15,5.111111111111111,4968.5833999999995,32.51313131313131,0.15720144153100535
-23_114__2012,Scarus schlegeli,20,5.181818181818182,13457.436899999999,32.51313131313131,0.15937616503044613
-22_114__2012,Scarus schlegeli,20,5,2360.9538000000002,11,0.45454545454545453
-22_114__2012,Scarus schlegeli,25,2,721.5684,11,0.18181818181818182
-23_114__2012,Scarus schlegeli,25,2.909090909090909,11545.0942,32.51313131313131,0.08947433826270661
-23_114__2012,Scarus schlegeli,10,6.75,853.654,32.51313131313131,0.20760842550018643
-23_114__2012,Scarus schlegeli,7.5,1.75,92.56620000000001,32.51313131313131,0.05382440661115944
-23_114__2012,Scarus schlegeli,30,2.111111111111111,10042.9115,32.51313131313131,0.06493103019758917
-23_114__2012,Scarus schlegeli,35,4,5882.936,32.51313131313131,0.12302721511122158
-23_114__2012,Scarus schlegeli,40,1,935.2704,32.51313131313131,0.030756803777805396
-22_114__2012,Scarus schlegeli,12.5,3,186.4991,11,0.2727272727272727
-22_114__2012,Scarus schlegeli,35,1,735.367,11,0.09090909090909091
-13_-163__2012,Scarus schlegeli,25,6.190476190476191,46901.9434,42.188165426353606,0.14673489894417635
-13_-163__2012,Scarus schlegeli,30,5.086956521739131,61843.1896,42.188165426353606,0.12057780826282317
-13_-163__2012,Scarus schlegeli,20,4.842105263157895,21720.775400000002,42.188165426353606,0.11477401812151769
-13_-163__2012,Scarus schlegeli,12.5,6.583333333333333,4911.1441,42.188165426353606,0.15604692137717213
-13_-163__2012,Scarus schlegeli,15,7.235294117647059,13285.5596,42.188165426353606,0.1715005628836233
-21_-160__2012,Scarus schlegeli,35,1,1470.734,1,1
-13_-163__2012,Scarus schlegeli,10,7,221.31779999999998,42.188165426353606,0.1659233088061071
-13_-163__2012,Scarus schlegeli,35,5.25,15442.707,42.188165426353606,0.12444248160458032
-15_-168__2012,Scarus schlegeli,25,1.2,2164.7052,5.2,0.23076923076923075
-15_-168__2012,Scarus schlegeli,20,1,472.1908,5.2,0.1923076923076923
-15_-168__2012,Scarus schlegeli,30,2,3171.4458,5.2,0.3846153846153846
-18_-163__2012,Scarus schlegeli,25,1,721.5684,1,1
-15_-168__2012,Scarus schlegeli,7.5,1,13.2237,5.2,0.1923076923076923
-14_-171__2012,Scarus schlegeli,20,1,236.0954,3,0.3333333333333333
-14_-171__2012,Scarus schlegeli,12.5,2,124.3328,3,0.6666666666666666
-16_-174__2012,Scarus schlegeli,35,1,735.367,2,0.5
-20_-174__2012,Scarus schlegeli,25,1.5,1082.3526,6.5,0.23076923076923078
-20_-174__2012,Scarus schlegeli,20,1,472.1908,6.5,0.15384615384615385
-20_-175__2012,Scarus schlegeli,25,2.5,3607.8418,16.5,0.15151515151515152
-20_-175__2012,Scarus schlegeli,30,2,1057.1486,16.5,0.12121212121212122
-20_-175__2012,Scarus schlegeli,15,12,1296.1521,16.5,0.7272727272727273
-21_-175__2012,Scarus schlegeli,25,1.5,1082.3526,7.5,0.2
-21_-175__2012,Scarus schlegeli,15,1,108.0127,7.5,0.13333333333333333
-21_-175__2012,Scarus schlegeli,20,5,1180.4769000000001,7.5,0.6666666666666666
-24_-179__2012,Scarus schlegeli,12.5,15.714285714285714,6838.3016,82.62698412698413,0.19018345980213236
-16_-174__2012,Scarus schlegeli,25,1,360.7842,2,0.5
