Species,status,rls_name
Acanthopagrus australis,fished,Acanthopagrus australis
Arothron hispidus,Not likely fished in Aus,Arothron hispidus
Arothron nigropunctatus,Not likely fished in Aus,Arothron nigropunctatus
Arothron stellatus,Not likely fished in Aus,Arothron stellatus
Cheilodactylus spectabilis,fished, Chirodactylus spectabilis
Choerodon rubescens,fished,Choerodon rubescens
Choerodon schoenleinii,fished,Choerodon schoenleinii
Chrysophrys auratus,fished,Pagus auratus
Kyphosus bigibbus,Not likely fished in Aus,
Lethrinus miniatus,fished,Lethrinus miniatus
Lethrinus nebulosus,fished,Lethrinus nebulosus
Lutjanus carponotatus,fished,Lutjanus carponotatus
Lutjanus sebae,fished,Lutjanus sebae
Mendosoma lineatum,Not likely fished in Aus,Mendosoma lineatum
Nemadactylus douglasii,fished,Nemadactylus douglasii
Notolabrus tetricus,fished,Notolabrus tetricus
Othos dentex,fished,Othos dentex
Plectropomus leopardus,fished,Plectropomus leopardus
Plectropomus maculatus,fished,Plectropomus maculatus
Pseudocaranx georgianus,fished,Pseudocaranx georgianus
Rhabdosargus sarba,fished,Rhabdosargus sarba
Scarus altipinnis,Not likely fished in Aus,Scarus altipinnis
Scarus ghobban,Not likely fished in Aus,Scarus ghobban
Scarus prasiognathos,Not likely fished in Aus,Scarus prasiognathos
Scarus rivulatus,Not likely fished in Aus,Scarus rivulatus
Scarus schlegeli,Not likely fished in Aus,Scarus schlegeli
